target	query	requested	status	hits
ciphers/fr2980-gramont	"Gramont" AND "Villandry"	2026-09-24	done 2026-09-24	LE PARLEMENT DE PARIS AU XVI e SIÈCLE | Félix Aubert | Nouvelle revue historique de droit français et étranger | 1905 | 737-790 | https://www.jstor.org/stable/43841642 ; OFFICIERS ROYAUX SOUS HENRI II ET FRANÇOIS II (1547-1560) | Marie-Noëlle Baudouin-Matuszek | Annuaire-Bulletin de la Société de l'histoire de France | 2010 | 39-112 | https://www.jstor.org/stable/43663938 ; Bibliographie de la littérature française (XVI e -XX e siècles) | ÉRIC FÉREY, Sylvain Fort | Revue d'Histoire littéraire de la France | 2002 | 1, 3, 5, 7-559, 561-665, 667-700 | https://www.jstor.org/stable/45038312 ; Les richesses de la faveur à la Renaissance: Jean de Lorraine (1498-1550) et François Ier | Cédric Michon | Revue d'histoire moderne et contemporaine (1954-) | 2003 | 34-61 | https://www.jstor.org/stable/20530983
ciphers/fr2980-gramont	"évêque de Tarbes" AND 1530 AND chiffre	2026-09-24	done 2026-09-24	CHARLES-QUINT EN PROVENCE (1536) | V.-L. Bourrilly | Revue Historique | 1918 | 209-280 | https://www.jstor.org/stable/40942336 ; RECHERCHES SUR L'ORGANISATION DU PARLEMENT DE PARIS AU XVI e SIÈCLE (1515-1589) | Félix Aubert | Nouvelle revue historique de droit français et étranger | 1912 | 52-132 | https://www.jstor.org/stable/43892847
ciphers/fr2980-gramont	"fr. 2980"	2026-09-24	done 2026-09-24	16 results, first page: Eingegangene Bücher (Besprechung vorbehalten) | - | Die Unternehmung | 1976 | 335-337 | https://www.jstor.org/stable/24176030 ; Back Matter | - | Zeitschrift für Arabische Linguistik | 1995 | - | https://www.jstor.org/stable/43525659 ; Review: [Untitled] | Review by: J. W. G. Lund | Journal of Ecology | 1965 | 547 | https://www.jstor.org/stable/2257998 ; Publications Received April 1960 -- August 1960 | - | Isis | 1960 | 609-611 | https://www.jstor.org/stable/228642 ; BOOKS RECEIVED | - | Bulletin of the History of Medicine | 1996 | 172-179 | https://www.jstor.org/stable/44444628 ; Review: [Untitled] (Goethe by Pietro Citati) | Review by: Bruce Duncan | The Modern Language Journal | 1976 | 218 | https://www.jstor.org/stable/326352 ; Review: [Untitled] (Geschichte des deutschen Romans II by Emmel) | Review by: G. Brude Firnau | The Journal of English and Germanic Philology | 1977 | 75-77 | https://www.jstor.org/stable/27708126 ; Review: [Untitled] (Kleist by Spälti) | Review by: John Gearey | The Modern Language Journal | 1976 | 218 | https://www.jstor.org/stable/326353 ; Review: [Untitled] (Aufklärung und Revolution by Beyer) | Review by: W. M. Simon | The Journal of Modern History | 1961 | 318-319 | https://www.jstor.org/stable/1876155 ; Review: [Untitled] (Briefe von und an Ludwig Marcuse) | Review by: Jack Zipes | The Modern Language Journal | 1976 | 218-219 | https://www.jstor.org/stable/326354 ; Review: [Untitled] (Duinesian Elegies by Rilke/Boney) | Review by: Linda Schelbitzki Pickle | The Modern Language Journal | 1976 | 217-218 | https://www.jstor.org/stable/326351 ; Review: [Untitled] (Historia Mundi VII) | Review by: C. Vansteenkiste | Angelicum | 1959 | 482-485 | https://www.jstor.org/stable/44621423 ; Die geobotanische Landesaufnahme der Schweiz | Carl Troll | Erdkunde | 1966 | 305-307 | https://www.jstor.org/stable/25640566 ; BIBLIOGRAFIA METODICA: DEGLI STUDI DI EGITTOLOGIA E DI PAPIROLOGIA | Aristide Calderini | Aegyptus | 1923 | 344-369 | https://www.jstor.org/stable/41214872 ; Register | - | Monatshefte der kunstwissenschaftlichen Literatur | 1907 | I-XIX | https://www.jstor.org/stable/45009147 ; note: all 15 first-page hits are price/number matches (Fr. 2980), none about BnF fr. 2980
ciphers/fr2980-gramont	"Gabriel de Gramont" AND (Rome OR Clement) AND 1530	2026-09-24	done 2026-09-24	QUAND L'ÉGLISE FAIT L'ÉTAT | Cédric Michon | Annuaire-Bulletin de la Société de l'histoire de France | 2005 | 127-147 | https://www.jstor.org/stable/23408509 ; RIVALITÉ DE CHARLES-QUINT ET DE FRANÇOIS Ier: LE SIÉGE DE NAPLES. — PAIX DE CAMBRAI | M. Mignet | Revue des Deux Mondes (1829-1971) | 1867 | 382-426 | https://www.jstor.org/stable/44726292 ; THE FRENCH VERSION OF THE "PENITENCIA DE AMOR" | Denis L. Drysdall | Celestinesca | 1985 | 23-31 | https://www.jstor.org/stable/44282663 ; LISTE DES ARCHEVÊQUES ET ÉVÊQUES DE FRANCE, DISTRIBUÉS PAR PROVINCES ECCLÉSIASTIQUES | Jules Marion | Annuaire historique pour l'année ... | 1847 | 109-199 | https://www.jstor.org/stable/23400195 ; An Early Use of Devices: René Bertaut de la Grise, La Penitence Damour | D. L. Drysdall | Renaissance Quarterly | 1985 | 473-487 | https://www.jstor.org/stable/2861080 ; LISTE DES ARCHEVÊQUES ET ÉVÊQUES DE FRANCE: DISTRIBUÉS PAR PROVINCES ECCLÉSIASTIQUES | Jules Marion | Annuaire historique pour l'année ... | 1846 | 55-108 | https://www.jstor.org/stable/23399872 ; PLEURANT SON ROY PLUSCLER QUE NUL ANTICQUE: ÉDITION DE LA COMPLAINTE ET DE L'EPITAPHE DE CHARLES VIII PAR OCTOVIEN DE SAINT-GELAIS | Lucien Dugaz | Romania | 2022 | 378-440 | https://www.jstor.org/stable/45489639 ; LE PARLEMENT DE PARIS AU XVI e SIÈCLE | Félix Aubert | Nouvelle revue historique de droit français et étranger | 1906 | 179-209 | https://www.jstor.org/stable/43842721 ; LES LÉGATS A LATERE EN FRANCE ET LEURS FACULTÉS AUX XVI e ET XVII e SIÈCLES | Bernard Barbiche, Ségolène de Dainville-Barbiche | Archivum Historiae Pontificiae | 1985 | 93-165 | https://www.jstor.org/stable/23564223 ; RECHERCHES SUR L'ORGANISATION DU PARLEMENT DE PARIS AU XVI e SIÈCLE (1515-1589) | Félix Aubert | Nouvelle revue historique de droit français et étranger | 1912 | 52-132 | https://www.jstor.org/stable/43892847
ciphers/fr2980-gramont	"Gramont's cipher"	2026-09-24	done 2026-09-24	no hits
ciphers/fr2980-gramont	Lasry AND (Gramont OR "Francis I") in Cryptologia 2022-2026	2026-09-24	done 2026-09-24	Post Office London Directory, 1882 [Part 1] | - | Post Office London Directory, 1882 (community collection) | - | - | https://www.jstor.org/stable/community.30136523 ; Books Received | - | AJS Review | 1991 | 273-287 | https://www.jstor.org/stable/1487009 ; BIBLIOGRAPHIE DE LA LITTÉRATURE FRANÇAISE (XVI e -XX e SIÈCLES). Année 2004 | Éric Férey | Revue d'Histoire littéraire de la France | 2005 | 7-737 | https://www.jstor.org/stable/24721914 ; Back Matter | - | The Year's Work in Modern Language Studies | 1981 | - | https://www.jstor.org/stable/20867629 ; query run: Lasry AND (Gramont OR "Francis I") (Cryptologia is not a JSTOR title, no journal filter applied) ; note: none is Lasry's cryptology work, name-collision hits only
ciphers/bowes-walsingham-1583	"Bowes" AND "Walsingham" AND 1583 AND (cipher OR cypher)	2026-09-24	done 2026-09-24	54 results, first page: Robert Beale and the Queen of Scots | Patricia Basing | The British Library Journal | 1994 | 65-82 | https://www.jstor.org/stable/42554379 ; Greene's James IV and Contemporary Allusions to Scotland | Ruth Hudson | PMLA | 1932 | 652-667 | https://www.jstor.org/stable/457943 ; The history and antiquities of the county of Leicester: Vol. 1, Part 2 | Nichols, John | (1815), community collection | 1815 | - | https://www.jstor.org/stable/community.39293200 ; The history and antiquities of the county of Leicester: Vol. 4, Part 2 | Nichols, John | (1811), community collection | 1811 | - | https://www.jstor.org/stable/community.39293203 ; The history and antiquities of the county of Leicester: Vol. 3, Part 1 | Nichols, John | (1800), community collection | 1800 | - | https://www.jstor.org/stable/community.39293204 ; The Gentleman's Magazine, Vol. IV New Series, 1835 | - | (1835), community collection | 1835 | - | https://www.jstor.org/stable/community.35015805 ; Recent Literature of the English Renaissance | - | Studies in Philology | 1927 | 290-382 | https://www.jstor.org/stable/4171974 ; 1968 MLA International Bibliography | Harrison T. Meserole | PMLA | 1969 | 689-1176 | https://www.jstor.org/stable/1261115 ; Index to Vertue MSS. Volumes I-V | - | The Volume of the Walpole Society | 1942 | ix-xvi, 1-298 | https://www.jstor.org/stable/41830732 ; World Shakespeare Bibliography 1995 | James L. Harner, Priscilla J. Letterman, Harrison T. Meserole | Shakespeare Quarterly | 1996 | 498-836 | https://www.jstor.org/stable/44990758 ; Annual Bibliography of Shakespeariana for 1931 | Samuel A. Tannenbaum | The Shakespeare Association Bulletin | 1932 | 1-46 | https://www.jstor.org/stable/23675668 ; Kelly's Directory of Norfolk, 1912 | - | community collection | - | - | https://www.jstor.org/stable/community.30136127 ; Kelly's Directory of Norfolk, 1904 | - | community collection | - | - | https://www.jstor.org/stable/community.30136130 ; Kelly's Directory of Cambs, Norfolk & Suffolk, 1892 [Part 2: Norfolk] | - | community collection | - | - | https://www.jstor.org/stable/community.30136122 ; Post Office Directory of Cambs, Norfolk & Suffolk, 1869 [Part 2: Norfolk] | - | community collection | - | - | https://www.jstor.org/stable/community.30136117 ; Kelly's Directory of Norfolk, 1896 | - | community collection | - | - | https://www.jstor.org/stable/community.30136124 ; James VI and the Gowrie Mystery | Lang, Andrew | (1902), community collection | 1902 | - | https://www.jstor.org/stable/community.35014969 ; Slater's Manchester, Salford & Suburban Directory, 1909 [Part 3] | - | community collection | - | - | https://www.jstor.org/stable/community.30135962 ; Post Office London Directory, 1915 [Part 6] | - | community collection | - | - | https://www.jstor.org/stable/community.30136516 ; Kelly's Directory of Essex, 1882 | - | community collection | - | - | https://www.jstor.org/stable/community.30136267 ; Kelly's Directory of Devon & Cornwall, 1902 [Part 1: Devon] | - | community collection | - | - | https://www.jstor.org/stable/community.30136182 ; Kelly's Directory of Leicestershire & Rutland, 1895 | - | community collection | - | - | https://www.jstor.org/stable/community.30136065 ; Trades Directory of Wales, 1901 | - | community collection | - | - | https://www.jstor.org/stable/community.30136418 ; Kelly's Directory of Essex, 1902 | - | community collection | - | - | https://www.jstor.org/stable/community.30136276 ; Post Office London Directory, 1899 [Part 3] | - | community collection | - | - | https://www.jstor.org/stable/community.30136491 ; note: 54 results, Basing 1994 (Beale) is the only scholarly hit on the first page
ciphers/bowes-walsingham-1583	"Smallet" AND ("Maineville" OR "Mainville")	2026-09-24	done 2026-09-24	no hits
ciphers/bowes-walsingham-1583	"Caligula C. VII" AND (cipher OR decipher*)	2026-09-24	done 2026-09-24	no hits
ciphers/bowes-walsingham-1583	Tomokiyo AND Bowes	2026-09-24	done 2026-09-24	Individual Works (Shakespeare bibliography) | Harrison T. Meserole | Shakespeare Quarterly | 1978 | 543-590 | https://www.jstor.org/stable/2869465 ; note: name collision, not Tomokiyo's cipher work
