ciphertext_path	ct_status	key_path	key_office	key_years	key_lang	design	coverage	n_tokens	score	z_shuffled	z_valuefreq	stat	pass_real	pass_null	dictword_share	rank_of_this_key_for_ct	known_pair	verdict
ciphers/lodewijk-van-nassau-1573-74/ciphertext_4614.tsv	partial	ciphers/lodewijk-van-nassau-1573-74/key_4614.tsv	Nassau -> Willem van Oranje	1573-1574	fr	nomenclator	0.999	2456	-1.1262	32.18	6.53	32.18	False	True	0.877		no	hit
ciphers/lodewijk-van-nassau-1573-74/ciphertext_4614.tsv	partial	ciphers/lodewijk-van-nassau-1573-74/axmerge3/key_full_v2.tsv	Nassau -> Willem van Oranje	1573-1574	fr	nomenclator	0.994	2456	-1.1395	28.52	8.43	28.52	False	True	0.875		no	hit
ciphers/lodewijk-van-nassau-1573-74/ciphertext_7206.tsv	partial	ciphers/lodewijk-van-nassau-1573-74/key_4614.tsv	Nassau -> Willem van Oranje	1573-1574	fr	nomenclator	0.91	979	-1.0911	21.91	7.43	21.91	False	True	0.869		no	hit
ciphers/lodewijk-van-nassau-1573-74/ciphertext_sib.tsv	partial	ciphers/lodewijk-van-nassau-1573-74/axmerge3/key_full_v2.tsv	Nassau -> Willem van Oranje	1573-1574	fr	nomenclator	1.0	1107	-1.0615	21.48	6.99	21.48	False	True	0.896		no	hit
ciphers/lodewijk-van-nassau-1573-74/ax4612tr/ciphertext_5811_cut833.tsv	partial	ciphers/lodewijk-van-nassau-1573-74/axmerge3/key_full_v2.tsv	Nassau -> Willem van Oranje	1573-1574	fr	nomenclator	0.98	882	-1.3404	20.84	6.26	20.84	False	True	0.808		no	hit
ciphers/lodewijk-van-nassau-1573-74/ciphertext_7206.tsv	partial	ciphers/lodewijk-van-nassau-1573-74/key_full.tsv	Nassau -> Willem van Oranje	1573-1574	fr	nomenclator	0.945	979	-1.0846	20.31	7.44	20.31	False	True	0.851		no	hit
ciphers/lodewijk-van-nassau-1573-74/ciphertext_4614.tsv	partial	ciphers/lodewijk-van-nassau-1573-74/key_full.tsv	Nassau -> Willem van Oranje	1573-1574	fr	nomenclator	0.997	2456	-1.1497	20.06	6.48	20.06	False	True	0.87		no	hit
ciphers/lodewijk-van-nassau-1573-74/ciphertext_4614.tsv	partial	ciphers/lodewijk-van-nassau-1573-74/key_7206.tsv	Nassau -> Willem van Oranje	1573-1574	fr	nomenclator	0.975	2456	-1.2106	19.54	5.86	19.54	False	True	0.851		no	hit
ciphers/lodewijk-van-nassau-1573-74/ciphertext_7206.tsv	partial	ciphers/lodewijk-van-nassau-1573-74/key_7206.tsv	Nassau -> Willem van Oranje	1573-1574	fr	nomenclator	0.986	979	-1.1029	18.7	5.61	18.7	False	True	0.85		no	hit
ciphers/lodewijk-van-nassau-1573-74/ciphertext_4503.tsv	partial	ciphers/lodewijk-van-nassau-1573-74/key_4614.tsv	Nassau -> Willem van Oranje	1573-1574	fr	nomenclator	0.97	237	-1.03	18.3	4.09	18.3	False	True	0.923		no	hit
