# KEY-DESIGN-PRIORS.tsv -- tools/design_prior.py --unkeyed: every ciphertext in an open/partial folder that no usable key claims as its own text. A design prior to choose the first attack family, never a reading. Lead = nearest key in the same office (shared name or folder), same decade, same sign inventory.
ciphertext_path	folder	status	decade	n_tokens	distinct	inventory	plausible	excluded	not_above_null	class_ranking	family_ranking_advisory	fp_rate	nearest_keys	nearest_office_decade	same_office_decade_lead	note
ciphers/armstrong-madison-1808/ciphertext.txt	armstrong-madison-1808	open	1800s	404	219	digits	multi-sign (homophonic/nomenclator/syllabary)	letter-for-letter	mixed (partial table)	multi-sign (homophonic/nomenclator/syllabary)=0.63; code=1.89; mixed (partial table)=2.21; letter-for-letter=2.30	nomenclator=0.98; homophonic=1.33; syllabary=1.35; code numbers=1.89; mixed=2.21; alphabet substitution=2.30	0.055	ciphers/huntington-luzerne-destouches-1781/key.tsv [syllabary; French crown's American-theatre naval/diplomatic corresponde; 16 and 31 Jan 1781; d=0.46; real; inv=digits; num_in_range=0.73] || ciphers/vanbeuningen-dewitt-1657/key.tsv [nomenclator; Dutch States-General diplomatic circle around the Grand Pens; 19/29 Sept 1657; d=0.63; real; inv=mixed] || ciphers/thurloe-printed/key_montagu.tsv [mixed; Cromwellian Secretary of State's intelligence network (John ; 1650s; d=0.79; real; inv=digits; num_in_range=0.44]	French crown's American-theatre naval/diplomatic correspondence (Ameri (1780s) d=0.46 || Dutch States-General diplomatic circle around the Grand Pensionary (1650s) d=0.63 || Cromwellian Secretary of State's intelligence network (John Thurloe's  (1650s) d=0.79		
ciphers/armstrong-madison-1808/ciphertext_ms.txt	armstrong-madison-1808	open	1800s	578	218	mixed			letter-for-letter,multi-sign (homophonic/nomenclator/syllabary),mixed (partial table)	multi-sign (homophonic/nomenclator/syllabary)=2.76; code=2.78; letter-for-letter=2.86; mixed (partial table)=3.12	code numbers=2.78; syllabary=2.86; alphabet substitution=2.86; homophonic=2.89; nomenclator=2.92; mixed=3.12	0.070	ciphers/na-janssens-java-1811/key.tsv [syllabary; (folder) na-janssens-java-1811; 1811; d=2.64; synthetic; inv=digits; num_in_range=0.89] || ciphers/thurloe-printed/key_downing.tsv [code numbers; Cromwellian Secretary of State's intelligence network (John ; 1658-1660; d=2.78; real; inv=digits; num_in_range=0.37] || ciphers/jan-van-nassau-1572-75/key_1572.tsv [alphabet substitution; Nassau-Orange chancery (Jan van Nassau <-> William of Orange; 1572-1575 (seven let; d=2.79; synthetic; inv=digits; num_in_range=0.36]	(folder) na-janssens-java-1811 (1810s) d=2.64 || Cromwellian Secretary of State's intelligence network (John Thurloe's  (1650s) d=2.78 || Nassau-Orange chancery (Jan van Nassau <-> William of Orange) (1570s) d=2.79		
ciphers/august-van-saksen-1561-64/ciphertext_74.tsv	august-van-saksen-1561-64	partial	1560s	864	41	mixed	letter-for-letter,mixed (partial table)		multi-sign (homophonic/nomenclator/syllabary)	multi-sign (homophonic/nomenclator/syllabary)=0.41; letter-for-letter=0.54; mixed (partial table)=0.96; code=1.72	syllabary=0.44; nomenclator=0.47; alphabet substitution=0.54; homophonic=0.80; mixed=0.96; code numbers=1.72	0.045	ciphers/jan-van-nassau-1572-75/key_1572.tsv [alphabet substitution; Nassau-Orange chancery (Jan van Nassau <-> William of Orange; 1572-1575 (seven let; d=0.30; synthetic; inv=digits; num_in_range=0.95] || ciphers/huntington-luzerne-destouches-1781/key.tsv [syllabary; French crown's American-theatre naval/diplomatic corresponde; 16 and 31 Jan 1781; d=0.39; synthetic; inv=digits; num_in_range=0.95] || ciphers/clair1067-brienne-poland-1646/key_1646.tsv [syllabary; French Secretaire d'Etat aux Affaires Etrangeres (Brienne, p; 1646; d=0.42; synthetic; inv=mixed; num_in_range=0.45]	Nassau-Orange chancery (Jan van Nassau <-> William of Orange) (1570s) d=0.30 || French crown's American-theatre naval/diplomatic correspondence (Ameri (1780s) d=0.39 || French Secretaire d'Etat aux Affaires Etrangeres (Brienne, pere) (1640s) d=0.42		
ciphers/august-van-saksen-1561-64/ciphertext_98.tsv	august-van-saksen-1561-64	partial	1560s	184	33	mixed	letter-for-letter,multi-sign (homophonic/nomenclator/syllabary),mixed (partial table)			multi-sign (homophonic/nomenclator/syllabary)=0.19; code=0.51; letter-for-letter=0.81; mixed (partial table)=1.04	nomenclator=0.23; homophonic=0.41; syllabary=0.46; code numbers=0.51; alphabet substitution=0.81; mixed=1.04	0.080	ciphers/sforza-maino-1446/key.tsv [nomenclator; Milanese ducal chancery (Sforza) <-> Venetian/allied corresp; 4 May 1446; d=0.09; real; inv=mixed; num_in_range=0.62] || ciphers/thurloe-printed/key_johnson2.tsv [nomenclator; Cromwellian Secretary of State's intelligence network (John ; 1650s; d=0.14; synthetic; inv=digits; num_in_range=0.00] || ciphers/clair1067-brienne-poland-1646/key_brienne_1647.tsv [syllabary; French Secretaire d'Etat aux Affaires Etrangeres (Brienne, p; 1647; d=0.34; synthetic; inv=mixed; num_in_range=0.36]	Milanese ducal chancery (Sforza) <-> Venetian/allied correspondents (1440s) d=0.09 || Cromwellian Secretary of State's intelligence network (John Thurloe's  (1650s) d=0.14 || French Secretaire d'Etat aux Affaires Etrangeres (Brienne, pere) (1640s) d=0.34		
ciphers/berthier-napoleon-1812/ciphertext.txt	berthier-napoleon-1812	open	1810s	328	210	digits		letter-for-letter	multi-sign (homophonic/nomenclator/syllabary),mixed (partial table)	multi-sign (homophonic/nomenclator/syllabary)=0.75; letter-for-letter=2.13; code=2.46; mixed (partial table)=2.55	nomenclator=1.20; homophonic=1.44; syllabary=1.48; alphabet substitution=2.13; code numbers=2.46; mixed=2.55	0.050	ciphers/huntington-luzerne-destouches-1781/key.tsv [syllabary; French crown's American-theatre naval/diplomatic corresponde; 16 and 31 Jan 1781; d=0.28; real; inv=digits; num_in_range=0.99] || ciphers/vanbeuningen-dewitt-1657/key.tsv [nomenclator; Dutch States-General diplomatic circle around the Grand Pens; 19/29 Sept 1657; d=0.98; real; inv=mixed] || ciphers/thurloe-printed/key_montagu.tsv [mixed; Cromwellian Secretary of State's intelligence network (John ; 1650s; d=1.00; real; inv=digits; num_in_range=0.38]	French crown's American-theatre naval/diplomatic correspondence (Ameri (1780s) d=0.28 || Dutch States-General diplomatic circle around the Grand Pensionary (1650s) d=0.98 || Cromwellian Secretary of State's intelligence network (John Thurloe's  (1650s) d=1.00		
ciphers/berthier-napoleon-1812/ciphertext_full.tsv	berthier-napoleon-1812	open	1810s	326	208	digits		letter-for-letter	multi-sign (homophonic/nomenclator/syllabary),mixed (partial table)	multi-sign (homophonic/nomenclator/syllabary)=0.73; letter-for-letter=2.13; code=2.44; mixed (partial table)=2.54	nomenclator=1.19; homophonic=1.44; syllabary=1.46; alphabet substitution=2.13; code numbers=2.44; mixed=2.54	0.065	ciphers/huntington-luzerne-destouches-1781/key.tsv [syllabary; French crown's American-theatre naval/diplomatic corresponde; 16 and 31 Jan 1781; d=0.25; real; inv=digits; num_in_range=0.99] || ciphers/vanbeuningen-dewitt-1657/key.tsv [nomenclator; Dutch States-General diplomatic circle around the Grand Pens; 19/29 Sept 1657; d=0.96; real; inv=mixed] || ciphers/thurloe-printed/key_montagu.tsv [mixed; Cromwellian Secretary of State's intelligence network (John ; 1650s; d=0.99; real; inv=digits; num_in_range=0.38]	French crown's American-theatre naval/diplomatic correspondence (Ameri (1780s) d=0.25 || Dutch States-General diplomatic circle around the Grand Pensionary (1650s) d=0.96 || Cromwellian Secretary of State's intelligence network (John Thurloe's  (1650s) d=0.99		
ciphers/birago-nevers-1571/ciphertext.txt	birago-nevers-1571	open	1570s	8	8	glyphs										short: 8 tokens < 30, no statistics
ciphers/castelcicala-1816/ciphertext.txt	castelcicala-1816	partial	1810s	9428	1257	digits	letter-for-letter,multi-sign (homophonic/nomenclator/syllabary)		mixed (partial table)	multi-sign (homophonic/nomenclator/syllabary)=9.16; letter-for-letter=10.86; mixed (partial table)=11.14	nomenclator=9.16; homophonic=9.84; syllabary=9.91; alphabet substitution=10.86; mixed=11.14	0.055	ciphers/vanbeuningen-dewitt-1657/key.tsv [nomenclator; Dutch States-General diplomatic circle around the Grand Pens; 19/29 Sept 1657; d=8.60; synthetic; inv=mixed] || ciphers/thurloe-printed/key_montagu_extended.tsv [nomenclator; Cromwellian Secretary of State's intelligence network (John ; 1650s; d=9.32; synthetic; inv=digits; num_in_range=0.13] || ciphers/fr3985-nevers-revol-1593/key.tsv [nomenclator; Duke of Nevers' Rome embassy (seeking Henri IV's papal absol; Aug-Sep 1593 (letter; d=9.57; synthetic; inv=mixed; num_in_range=0.04]	Dutch States-General diplomatic circle around the Grand Pensionary (1650s) d=8.60 || Cromwellian Secretary of State's intelligence network (John Thurloe's  (1650s) d=9.32 || Duke of Nevers' Rome embassy (seeking Henri IV's papal absolution) (1590s) d=9.57		
ciphers/censorship-manual-stego/ciphertext.txt	censorship-manual-stego	open	?	36	28	mixed	code		letter-for-letter,multi-sign (homophonic/nomenclator/syllabary),mixed (partial table)	multi-sign (homophonic/nomenclator/syllabary)=0.30; mixed (partial table)=0.48; code=0.49; letter-for-letter=0.51	nomenclator=0.30; homophonic=0.40; syllabary=0.43; mixed=0.48; code numbers=0.49; alphabet substitution=0.51	0.140	ciphers/antt-fcc-costacabral-1865/key.tsv [code numbers; (folder) antt-fcc-costacabral-1865; 1865; d=0.13; real; inv=digits; num_in_range=1.00] || ciphers/orange-nassau-1572/key_nepveu.tsv [alphabet substitution; William of Orange's secretariat, "Nepveu" cipher; 1572; d=0.22; real; inv=digits; num_in_range=1.00] || tools/keys/key60.tsv [nomenclator; Duke of Nevers' Rome embassy (seeking Henri IV's papal absol; Aug-Sep 1593 (letter; d=0.27; synthetic; inv=mixed; num_in_range=1.00]	(folder) antt-fcc-costacabral-1865 (1860s) d=0.13 || William of Orange's secretariat, "Nepveu" cipher (1570s) d=0.22 || Duke of Nevers' Rome embassy (seeking Henri IV's papal absolution) (1590s) d=0.27		
ciphers/clairambault1225-paget-1714/ciphertext.tsv	clairambault1225-paget-1714	partial	1710s	779	268	mixed	multi-sign (homophonic/nomenclator/syllabary)	letter-for-letter,mixed (partial table)		multi-sign (homophonic/nomenclator/syllabary)=0.94; code=1.78; letter-for-letter=2.24; mixed (partial table)=3.27	nomenclator=1.23; homophonic=1.27; code numbers=1.78; syllabary=2.05; alphabet substitution=2.24; mixed=3.27	0.045	ciphers/vanbeuningen-dewitt-1657/key.tsv [nomenclator; Dutch States-General diplomatic circle around the Grand Pens; 19/29 Sept 1657; d=0.47; real; inv=mixed] || ciphers/orange-nassau-1572/key_nepveu.tsv [alphabet substitution; William of Orange's secretariat, "Nepveu" cipher; 1572; d=0.68; real; inv=digits; num_in_range=0.40] || ciphers/jan-van-nassau-1572-75/key_5549.tsv [homophonic; Nassau-Orange chancery (Jan van Nassau <-> William of Orange; within 1572-1575 spa; d=1.15; real; inv=digits; num_in_range=0.99]	Dutch States-General diplomatic circle around the Grand Pensionary (1650s) d=0.47 || William of Orange's secretariat, "Nepveu" cipher (1570s) d=0.68 || Nassau-Orange chancery (Jan van Nassau <-> William of Orange) (1570s) d=1.15		
