target	title	years	langs	shelfmarks	class	fraction_read	profile_tokens	tok_unit	trans_files	file_tokens	gaps	outcome_notes	prior_solution_exists	prior_solution_where	prior_solution_used	system_summary	verification
abwehr	The Koehler cryptograms, Abwehr Hamburg -> Paris, February 1944 (Kahn, Cryptologia 5(2), 1981)	1944	unknown	British archives copy published by Kahn, Cryptologia 5(2), April 1981 (reference unknown); messages 237, 178, 137, 140, 229	not read	0	924	letters	abwehr/msgs.py(229)	229		Skipped as intractable: mixed-tableau running key or one-time pad, no crib. Reopens with the FBI case file, Kahn's source file or the prayer book.	no	No reading known; Schmeh Top 50 no. 47 lists it as unsolved	False	Letter cipher with near-flat letter counts (IC 0.0398); monoalphabetic, transposition, periodic, autokey, standard-tableau running key, Gronsfeld and Enigma excluded; mixed-tableau running key or one-	none
bagno1652	Niccolò Guidi di Bagno to the Secretariat of State, Paris, 5 January 1652 (AAV Francia 104; DECODE R5622)	1652	Italian	AAV Segreteria di Stato, Francia 104, ff. 5r-7v; DECODE R5622	not read	0.0	None	symbols		0	ciphertext on ff. 6r-7v: no-key-material (no matching key, decipherment or clear copy; Francia 346 excluded) | sign-level transcription: illegible (human-readable scans, but OCR and automatic segmentation are not reliable enough) | Secretariat register or 1652 Paris key: needs-physical-access (no digitised witness found)	Attempted, open. Francia 346 is excluded; needs a reliable manual transcription and the 1652 Paris nunciature key or Secretariat decipherment.	no	No edition or decipherment found; DECODE has no transcription or attached document.	False	Unseparated decimal stream with Italian words left clear; code boundaries and values are unknown.	none
bayard1526	Gilbert Bayard (Toledo) to Anne de Montmorency, 5 Jan 1526 (BnF Clairambault 325 f. 84; DECODE R2285)	1526	French	BnF Clairambault 325 f. 84 (17th-c. copy); DECODE R2285	not read	0	56	symbols	bayard1526/signs.txt(56)	56	cipher passage f. 84r ll. 17-19: no-key-material () | same passage: too-short ()	Blocked on key material and length; the original letter (V. 41 f. 4) might carry cleaner signs or a decipherment.	no	Tomokiyo lists it unsolved; Champollion-Figeac 1847 prints the letter omitting the cipher	False	Graphic-sign cipher, 56 signs of 29 kinds in a 17th-c. copy; same sign pool as the Raince and Calvimont alphabets of 1525-26, values unknown.	
birago	Lodovico Birago to the Duke of Nevers, Saluzzo, 13 Nov 1571, BnF fr. 3251 f. 119 (numeric cipher paragraph)	1571	Italian	BnF fr. 3251 f. 119 (Gallica btv1b9060248g, view 120)	not read	0	483	symbols	birago/ct2.txt(507)	507		Below the unicity distance of the available models at this homophony; needs a sibling letter, the key or a crib.	no	Tomokiyo lists it as unsolved; no comments, no GitHub prior art	False	Probably two-digit homophonic figures for letters with marked one- or two-digit code groups, a wavy inline word-sign and null letters; not established.	none
bl32305	Paris 1719 and 'Carré' 1742-45 code letters, BL Add MS 32305 (DECODE R2963-R2974)	1719;1742;1745	French;unknown	BL Add MS 32305 f. 6 (DECODE R2964);BL Add MS 32305 f. 7 (DECODE R2965);BL Add MS 32305 ff. 11-12 (DECODE R2968);BL Add MS 32305 ff. 14-17 (DECODE R2970);BL Add MS 32305 ff. 22-23 (DECODE R2972)	not read	0.09	1677	code groups	bl32305/R2964_transcription.txt(602);bl32305/carre/transcription_R2968.txt(461);bl32305/carre/transcription_R2970.txt(654);bl32305/carre/transcription_R2972.txt(559)	654		fraction_read counts the contemporary glosses in R2964 (33 of 354 groups). Needs a key, a clear copy or many more letters in the same code. The Carré letters (R2968/R2970/R2972) were transcribed in full (1323 groups) and tested; not read.	partial	contemporary interlinear glosses on R2964/R2965; R2963 and R2974 fully deciphered at the time	True	Two-part 3-figure codes of about 900 (1719) and 800 (1742-45) groups mixing words, syllables and letters.	none
blancmesnil	Nicolas Potier de Blancmesnil to the Duke of Nevers, 'ce dernier juin', BnF fr. 3633 f. 24 no. 15	unknown	French	BnF fr. 3633 f. 24, no. 15	offline only	None	None	letters		0		Blocked at the ciphertext: needs a reader's copy of fr. 3633 f. 24, then the Potier-Nevers key or the fr. 3616 decipherments.	no	No decipherment of this letter catalogued	False	Unknown; the Potier-Nevers homophonic letter-and-symbol cipher of 1589 (fr. 3987 f. 1) is the candidate key.	none
blume	'BLUME SALAMANCA' telegram 1, Zurich -> Salamanca via London, 8 Jan 1937 (Swiss Federal Police file on Werner Oswald)	1937	Spanish	Swiss Federal Police files on Werner Oswald (found by R. Bochsler); photograph from Schmeh's Facebook post	not read	0	615	letters	blume/ct1.txt(1)	1		Open: double columnar with two long keys; needs the second telegram or a crib.	no	Posted unsolved by Schmeh	False	Transposition of telegraphic Spanish (IC 0.0699, no bigram structure); single transpositions excluded, double columnar with long keys open.	none
breves1610	Marie de Médicis (Brulart) to Savary de Brèves, Rome, 15 Sept and 10 Nov 1610 (BnF fr. 3789)	1610	French	BnF fr. 3789, stamped f. 17r (notice no. 11); DECODE R2075;BnF fr. 3789, stamped f. 19r (notice no. 12, 'fol. 21'); DECODE R2076	not read	0	100	mixed	breves1610/ct_nov.txt(40);breves1610/ct_sept.txt(60)	60		Closed: key photo partial, reply of 9 Dec 1610 paraphrases only; 72 4 79 = [Conchine?] le pape avec is tentative. Reopen with Lasry's R2077 decryption or a BnF fr. 3642 image.	no	Tomokiyo (louisxiii.htm) and DECODE R2075/R2076: 'not deciphered'	False	Probably the Henri IV-Brèves 1610 cipher (key BnF fr. 3642, DECODE R2077): homophonic alphabet using Latin letters as signs, plain and overbarred numeric codes and comma-marked letter codes.	unknown
burghley1572	Lord Burghley to Francis Walsingham, Audley End, 2 Sept 1571 (BL Harley MS 260 ff. 143-145; DECODE R8357)	1571	English	British Library, Harley MS 260 ff. 143-145; DECODE R8357	not read	0	4	code groups	burghley1572/cipher_groups.txt(4)	4	f.143v item 1 ʒ368: no-key-material () | f.143v item 2 45 □477ה ⌐□⌐418: no-key-material ()	Two code items, no key anywhere; letter otherwise clear and printed by Digges. DECODE date/receiver/place corrections queued.	no	Digges, The Compleat Ambassador (1655) pp. 123-124 prints the letter with the cipher undeciphered	False	Numbered code groups with sign affixes, used in two short spots of an otherwise clear letter; key unknown.	
caprile1519	Giuliano Caprile and Alfonso Cistarelli (Eger, Buda) to Ferrara, 1519-1521, ASMo Ambasciatori Ungheria b. 4 (DECODE R1128-R1139; catalogue 157, 158)	1519;1520;1521	Italian	ASMo, Ambasciatori, Ungheria b. 4, Caprili 1519-20 no. 1 (DECODE R1128; Vestigia 1853);ASMo, Ambasciatori, Ungheria b. 4, Caprili 1519-20 no. 11 (DECODE R1136; Vestigia 1876);ASMo, Ambasciatori, Ungheria b. 4, Caprili 1520-21 no. 10 (DECODE R1138; Vestigia 1919);ASMo, Ambasciatori, Ungheria b. 4, Caprili 1520-21 no. 13 (DECODE R1139; Vestigia 1922);ASMo, Ambasciatori, Ungheria b. 4, Cistarelli no. 3 (DECODE R1137; Vestigia 1904)	read in part	0.3	2284	symbols		0	R1139 and R1136 (1520-21 sign cipher), unread stretches: illegible (notes: transcription errors leave many letters wrong; single-reader transcription not re-checked) | R1137 Cistarelli, 584 numeric groups: not-attempted (only a ciphertext-only anneal on one unchecked transcription; no crib or clear copy searched beyond ) | R1128 (9 Mar 1519, two-tier cipher): not-attempted (letter table and codebook incomplete; notes name the next step (careful transcription of R1133/R1131)	Key verified by reproducing Somogyi's plaintext (90% of aligned signs). R1139 and R1136 read in part; R1128 and R1137 open. fraction_read estimated from the notes (R1139 and R1136 phrases only, R1137 fragments, R1128 unread; R1129-R1135, R1138 read b	partial	1882 decipherments filed with nos. 3-8 and 10 (Vestigia); Somogyi 2025 for R1138; none for R1136, R1139, R1137, R1128	True	1520-21: homophonic substitution of about 49 invented signs for Italian letters, no word division, a null filler sign; 1519: a two-tier sign cipher; Cistarelli: two-digit figure cipher.	historical consistency
