page	line	pos	code	value	grade
m0113	1	1	99	con	C
m0113	1	2	629	fi	M
m0113	1	3	737	den	C
m0113	1	4	20	ci	C
m0113	1	5	428	ar|al	M
m0113	2	1	903	el	C
m0113	2	2	342	Rei	C
m0113	2	3	456	de	C
m0113	2	4	103	se	C
m0113	2	5	870	ja	C
m0113	3	1	1099	con	C
m0113	3	2	1124	bi	M
m0113	3	3	981	dar	C
m0113	3	4	342	Rei	C
m0113	3	5	456	de	C
m0113	4	1	133	li	M
m0113	4	2	397	la	C
m0113	4	3	892	li	C
m0113	4	4	60	a	C
m0113	4	5	419	pa	C
m0113	4	6	617	ra	C
m0113	5	1	419	pa	C
m0113	5	2	135	dri	C
m0113	5	3	151	nho	C
m0113	5	4	25	do|elo	M
m0113	5	5	204	prin	C
m0113	5	6	20	ci	C
m0113	6	1	1087	pe	C
m0113	6	2	617	ra	C
m0113	6	3	419	pa	C
m0113	6	4	115	tol	M
m0113	6	5	402	ar	C
m0113	7	1	984	ca	C
m0113	7	2	988	es	C
m0113	7	3	1068	cre	C
m0113	8	1	11	ou	C
m0113	8	2	204	prin	C
m0113	8	3	673	ce	C
m0113	8	4	206	?	U
m0113	8	5	708	que	C
m0113	9	1	103	se	C
m0113	9	2	988	es	C
m0113	9	3	1087	pe	C
m0113	9	4	617	ra	C
m0113	9	5	419	pa	C
m0113	10	1	115	tol	M
m0113	10	2	402	ar	C
m0113	10	3	980	ca	C
m0113	10	4	988	es	C
m0113	10	5	1068	cre	C
m0113	10	6	374	de	M
m0113	11	1	60	a	C
m0113	11	2	988	es	C
m0113	11	3	508	ke|te	M
m0113	11	4	243	reis	M
m0113	11	5	268	pei	M
m0113	11	6	110	to	C
m0113	12	1	1138	ao	M
m0113	12	2	419	pa	C
m0113	12	3	419	pa	C
m0113	12	4	550	lo	C
m0113	12	5	1194	go	M
m0113	12	6	708	que	C
m0114	1	1	618	sou	C
m0114	1	2	323	ber	C
m0114	1	3	428	ar|al	M
m0114	1	4	2111	ge	C
m0114	1	5	742	ma	C
m0114	2	1	1032	con	C
m0114	2	2	836	?	U
m0114	2	3	407	das	C
m0114	2	4	538	in	M
m0114	2	5	310	man	M
m0114	3	1	12	as	C
m0114	3	2	25	do|elo	M
m0114	3	3	419	pa	C
m0114	3	4	419	pa	C
m0114	3	5	926	di	C
m0114	3	6	923	ga	C
m0114	4	1	1212	mo	C
m0114	4	2	1087	pe	C
m0114	4	3	550	lo	C
m0114	4	4	508	ke|te	M
m0114	4	5	140	lho	M
