# tools/print_check.py, 25 Sep 2026. A search result, not a novelty verdict (CLAUDE.md rule 10).
phrase	source	result	detail	url
segredo ate o ministerio	ia:ocondedelinhares00func	no hits	downloaded djvu text; 	https://archive.org/details/ocondedelinhares00func
segredo até o ministério	ia:ocondedelinhares00func	no hits	downloaded djvu text; 	https://archive.org/details/ocondedelinhares00func
pela memoria do	ia:ocondedelinhares00func	no hits	downloaded djvu text; 	https://archive.org/details/ocondedelinhares00func
pela memória do	ia:ocondedelinhares00func	no hits	downloaded djvu text; 	https://archive.org/details/ocondedelinhares00func
supprir o seu lugar	ia:ocondedelinhares00func	no hits	downloaded djvu text; 	https://archive.org/details/ocondedelinhares00func
suprir o seu lugar	ia:ocondedelinhares00func	no hits	downloaded djvu text; 	https://archive.org/details/ocondedelinhares00func
seu lugar junto com	ia:ocondedelinhares00func	no hits	downloaded djvu text; 	https://archive.org/details/ocondedelinhares00func
para supprir o seu lugar	ia:ocondedelinhares00func	no hits	downloaded djvu text; 	https://archive.org/details/ocondedelinhares00func
segredo ate o ministerio	ia-global	no hits		https://be-api.us.archive.org/fts/v1/search?q=%22segredo%20ate%20o%20ministerio%22
segredo até o ministério	ia-global	no hits		https://be-api.us.archive.org/fts/v1/search?q=%22segredo%20at%C3%A9%20o%20minist%C3%A9rio%22
pela memoria do	ia-global	1647 item(s)	manualzilla-id-6076528 (MANUAL DE INSTRU&Ccedil;&Otilde;ES); inmemoriamjuliod00gran (In memoriam Julio de Castilho (2. visconde de Cast); f_2450000 (f_2450000); f_2450000 (f_2450000); politica-n-010_202509 (Revista Politica)	https://be-api.us.archive.org/fts/v1/search?q=%22pela%20memoria%20do%22
pela memória do	ia-global	1647 item(s)	manualzilla-id-6076528 (MANUAL DE INSTRU&Ccedil;&Otilde;ES); inmemoriamjuliod00gran (In memoriam Julio de Castilho (2. visconde de Cast); f_2450000 (f_2450000); f_2450000 (f_2450000); politica-n-010_202509 (Revista Politica)	https://be-api.us.archive.org/fts/v1/search?q=%22pela%20mem%C3%B3ria%20do%22
