leaf	entry_label	position	token	token_type	grade
m0280	Carta 13	1	7	num	H
m0280	Carta 13	2	4	num	H
m0280	Carta 13	3	a	ltr	H
m0280	Carta 13	4	7	num	H
m0280	Carta 13	5	4	num	H
m0280	Carta 13	6	18	num	H
m0280	Carta 13	7	m	ltr	H
m0280	Carta 13	8	8	num	H
m0280	Carta 13	9	4	num	H
m0280	Carta 13	10	a	ltr	H
m0280	Carta 13	11	52	num	H
m0280	Carta 13	12	15	num	H
m0280	Carta 13	13	4	num	H
m0280	Carta 13	14	7	num	H
m0280	Carta 13	15	4	num	H
m0280	Carta 13	16	a	ltr	H
m0280	Carta 13	17	y	ltr	H
m0280	Carta 13	18	18	num	H
m0280	Carta 13	19	13	num	H
m0280	Carta 13	20	c	ltr	H
m0280	Carta 13	21	7	num	H
m0280	Carta 13	22	18	num	H
m0280	Carta 13	23	15	num	H
m0280	Carta 13	24	4	num	H
m0280	Carta 13	25	5	num	H
m0280	Carta 13	26	15	num	H
m0280	Carta 13	27	m	ltr	H
m0280	Carta 13	28	c	ltr	H
m0280	Carta 13	29	7	num	H
m0280	Carta 13	30	m	ltr	H
m0280	Carta 13	31	5	num	H
m0280	Carta 13	32	7	num	H
m0280	Carta 13	33	18	num	H
m0280	Carta 13	34	y	ltr	H
m0280	Carta 13	35	8	num	H
m0280	Carta 13	36	4	num	H
m0280	Carta 13	37	15	num	H
m0280	Carta 13	38	4	num	H
m0280	Carta 13	39	55	num	H
m0280	Carta 13	40	2	num	M
m0280	Carta 13	41	y	ltr	M
m0280	Carta 13	42	2	num	H
m0280	Carta 13	43	7	num	H
m0280	Carta 13	44	10	num	H
m0280	Carta 13	45	7	num	H
m0280	Carta 13	46	4	num	H
m0280	Carta 13	47	7	num	H
m0280	Carta 13	48	18	num	H
m0280	Carta 13	49	y	ltr	M
m0280	Carta 13	50	8	num	H
m0280	Carta 13	51	12	num	M
m0280	Carta 13	52	8	num	H
m0280	Carta 13	53	a	ltr	H
m0280	Carta 13	54	7	num	H
m0280	Carta 13	55	7	num	H
m0280	Carta 13	56	8	num	H
m0280	Carta 13	57	a	ltr	H
m0280	Carta 13	58	7	num	H
m0280	Carta 13	59	4	num	H
m0280	Carta 13	60	7	num	H
m0280	Carta 13	61	4	num	H
m0280	Carta 13	62	a	ltr	H
m0280	Carta 13	63	y	ltr	H
m0280	Carta 13	64	18	num	H
m0280	Carta 13	65	y	ltr	H
m0280	Carta 13	66	11	num	M
m0280	Carta 13	67	7	num	H
m0280	Carta 13	68	9±	num	M
m0280	Carta 13	69	2	num	H
m0280	Carta 13	70	7	num	H
m0280	Carta 13	71	9±	num	M
m0280	Carta 13	72	7	num	H
m0280	Carta 13	73	y	ltr	H
m0280	Carta 13	74	4	num	H
m0280	Carta 13	75	7	num	H
m0280	Carta 13	76	e	ltr	H
m0280	Carta 13	77	c	ltr	H
m0280	Carta 13	78	8	num	H
m0280	Carta 13	79	z	ltr	M
m0280	Carta 13	80	15	num	H
m0280	Carta 13	81	5	num	H
m0280	Carta 13	82	7	num	H
m0280	Carta 13	83	c	ltr	H
m0280	Carta 13	84	6	num	H
m0280	Carta 13	85	52	num	H
m0280	Carta 13	86	15	num	H
m0280	Carta 13	87	8	num	H
m0280	Carta 13	88	7	num	H
m0280	Carta 13	89	5	num	H
m0280	Carta 13	90	a	ltr	H
m0280	Carta 13	91	15	num	H
m0280	Carta 13	92	15	num	H
m0280	Carta 13	93	a	ltr	H
m0280	Carta 13	94	10	num	H
m0280	Carta 13	95	7	num	H
m0280	Carta 13	96	4	num	H
m0280	Carta 13	97	15	num	H
m0280	Carta 13	98	e	ltr	H
m0280	Carta 13	99	z	ltr	M
m0280	Carta 13	100	7	num	H
m0280	Carta 13	101	8	num	H
m0280	Carta 13	102	z	ltr	M
m0280	Carta 13	103	15	num	H
m0280	Carta 13	104	2	num	H
m0280	Carta 13	105	y	ltr	H
m0280	Carta 13	106	c	ltr	H
m0280	Carta 13	107	8	num	H
m0280	Carta 13	108	2	num	H
m0280	Carta 13	109	y	ltr	H
m0280	Carta 13	110	7	num	H
m0280	Carta 13	111	2	num	H
m0280	Carta 13	112	y	ltr	H
m0280	Carta 13	113	10	num	H
m0280	Carta 13	114	15	num	H
m0280	Carta 13	115	m	ltr	H
m0280	Carta 13	116	7	num	M
m0280	Carta 13	117	y	ltr	H
m0280	Carta 13	118	7	num	M
m0280	Carta 13	119	7	num	H
m0280	Carta 13	120	4	num	H
m0280	Carta 13	121	8	num	H
m0280	Carta 13	122	e	ltr	H
m0280	Carta 13	123	8	num	H
m0280	Carta 13	124	y	ltr	H
m0280	Carta 13	125	18	num	H
m0280	Carta 13	126	y	ltr	H
m0280	Carta 13	127	4	num	H
m0280	Carta 13	128	c	ltr	H
m0280	Carta 13	129	y	ltr	H
m0280	Carta 13	130	e	ltr	H
m0280	Carta 13	131	8	num	H
m0280	Carta 13	132	m	ltr	H
m0280	Carta 13	133	e	ltr	H
m0280	Carta 13	134	y	ltr	H
m0280	Carta 13	135	m	ltr	M
m0280	Carta 13	136	5	num	H
m0280	Carta 13	137	y	ltr	H
m0281	Carta 15	1	2	num	H
m0281	Carta 15	2	y	ltr	H
m0281	Carta 15	3	g±	ltr	M
m0281	Carta 15	4	18	num	H
m0281	Carta 15	5	15	num	H
m0281	Carta 15	6	c	ltr	H
m0281	Carta 15	7	a	ltr	H
m0281	Carta 15	8	13	num	H
m0281	Carta 15	9	c	ltr	H
m0281	Carta 15	10	z±	ltr	M
m0281	Carta 15	11	y	ltr	H
m0281	Carta 15	12	g±	ltr	M
m0281	Carta 15	13	y	ltr	H
m0281	Carta 15	14	8	num	H
m0281	Carta 15	15	m	ltr	H
m0281	Carta 15	16	10	num	H
m0281	Carta 15	17	y	ltr	H
m0281	Carta 15	18	18	num	H
m0281	Carta 15	19	m	ltr	H
m0281	Carta 15	20	2	num	H
m0281	Carta 15	21	15	num	H
m0281	Carta 15	22	c	ltr	H
m0281	Carta 15	23	7	num	M
m0281	Carta 15	24	y	ltr	H
m0281	Carta 15	25	6	num	H
m0281	Carta 15	26	7	num	M
m0281	Carta 15	27	15	num	H
m0281	Carta 15	28	b±	ltr	M
m0281	Carta 15	29	15	num	H
m0281	Carta 15	30	7	num	M
m0281	Carta 15	31	y	ltr	H
m0281	Carta 15	32	7	num	H
m0281	Carta 15	33	4±	num	M
m0281	Carta 15	34	7	num	M
m0281	Carta 15	35	7	num	H
m0281	Carta 15	36	8	num	H
m0281	Carta 15	37	6	num	H
m0281	Carta 15	38	15	num	H
m0281	Carta 15	39	7	num	M
m0281	Carta 15	40	10	num	H
m0281	Carta 15	41	e	ltr	H
m0281	Carta 15	42	18	num	H
m0281	Carta 15	43	y	ltr	H
m0281	Carta 15	44	5	num	H
m0281	Carta 15	45	y	ltr	H
m0281	Carta 15	46	7	num	M
m0281	Carta 15	47	a	ltr	H
m0281	Carta 15	48	y	ltr	H
m0281	Carta 15	49	5	num	H
m0281	Carta 15	50	15	num	H
m0281	Carta 15	51	18	num	H
m0281	Carta 15	52	b	ltr	M
m0281	Carta 15	53	7	num	M
m0281	Carta 15	54	8	num	H
m0281	Carta 15	55	18	num	H
m0281	Carta 15	56	z	ltr	M
m0281	Carta 15	57	m	ltr	H
m0281	Carta 15	58	a	ltr	H
m0281	Carta 15	59	15	num	H
m0281	Carta 15	60	4	num	H
m0281	Carta 15	61	y	ltr	H
m0281	Carta 15	62	18	num	H
m0281	Carta 15	63	y	ltr	H
m0281	Carta 15	64	m	ltr	H
m0281	Carta 15	65	2	num	H
m0281	Carta 15	66	y	ltr	H
m0281	Carta 15	67	c	ltr	H
m0281	Carta 15	68	y	ltr	H
m0281	Carta 15	69	7	num	H
m0281	Carta 15	70	7	num	H
m0281	Carta 15	71	4	num	H
m0281	Carta 15	72	15	num	H
m0281	Carta 15	73	6	num	H
m0281	Carta 15	74	7	num	H
m0281	Carta 15	75	4	num	H
m0281	Carta 15	76	15	num	H
m0281	Carta 15	77	13	num	H
m0281	Carta 15	78	c	ltr	H
m0281	Carta 15	79	y	ltr	H
m0281	Carta 15	80	4	num	H
m0281	Carta 15	81	7	num	H
m0281	Carta 15	82	c	ltr	H
m0281	Carta 15	83	6	num	H
m0281	Carta 15	84	15	num	H
m0281	Carta 15	85	28	num	H
m0281	Carta 15	86	y	ltr	H
m0281	Carta 23	1	4	num	H
m0281	Carta 23	2	17	num	H
m0281	Carta 23	3	8	num	H
m0281	Carta 23	4	52	num	H
m0281	Carta 23	5	2	num	H
m0281	Carta 23	6	7	num	H
m0281	Carta 23	7	21	num	H
m0281	Carta 23	8	26	num	H
m0281	Carta 23	9	20	num	H
m0281	Carta 23	10	8	num	H
m0281	Carta 23	11	m	ltr	H
m0281	Carta 23	12	e	ltr	H
m0281	Carta 23	13	21	num	H
m0281	Carta 23	14	12	num	H
m0281	Carta 23	15	25	num	H
m0281	Carta 23	16	6	num	H
m0281	Carta 23	17	14	num	H
m0281	Carta 23	18	15	num	H
m0281	Carta 23	19	4	num	H
m0281	Carta 23	20	4	num	H
m0281	Carta 23	21	25	num	H
m0281	Carta 23	22	8	num	H
m0281	Carta 23	23	m	ltr	H
m0281	Carta 23	24	8	num	H
m0281	Carta 23	25	18	num	H
m0281	Carta 23	26	22	num	H
m0281	Carta 23	27	e	ltr	H
m0281	Carta 23	28	15	num	H
m0282	Carta 30	1	17	num	H
m0282	Carta 30	2	4	num	H
m0282	Carta 30	3	15	num	H
m0282	Carta 30	4	6	num	H
m0282	Carta 30	5	12	num	H
m0282	Carta 30	6	y	ltr	H
m0282	Carta 30	7	2	num	H
m0282	Carta 30	8	15	num	H
m0282	Carta 30	9	2	num	H
m0282	Carta 30	10	26	num	H
m0282	Carta 30	11	13	num	H
m0282	Carta 30	12	26	num	H
m0282	Carta 30	13	19	num	H
m0282	Carta 30	14	x	ltr	H
m0282	Carta 30	15	19	num	H
m0282	Carta 30	16	21	num	H
m0282	Carta 30	17	26	num	H
m0282	Carta 30	18	13	num	H
m0282	Carta 30	19	c	ltr	H
m0282	Carta 30	20	8	num	H
m0282	Carta 30	21	14	num	H
m0282	Carta 30	22	6	num	H
m0282	Carta 30	23	17	num	H
m0282	Carta 30	24	14	num	H
m0282	Carta 58	1	15	num	H
m0282	Carta 58	2	m	ltr	H
m0282	Carta 58	3	17	num	H
m0282	Carta 58	4	15	num	H
m0282	Carta 58	5	16	num	H
m0282	Carta 58	6	15	num	H
m0282	Carta 58	7	8	num	H
m0282	Carta 58	8	4	num	H
m0282	Carta 58	9	19	num	H
m0282	Carta 58	10	18	num	H
m0282	Carta 58	11	2	num	H
m0282	Carta 58	12	19	num	H
m0282	Carta 58	13	a	ltr	M
m0282	Carta 58	14	8	num	H
m0282	Carta 58	15	c	ltr	H
m0282	Carta 58	16	19	num	H
m0282	Carta 58	17	m	ltr	H
m0282	Carta 58	18	5	num	H
m0282	Carta 58	19	8	num	H
m0282	Carta 58	20	17	num	H
m0282	Carta 58	21	14	num	M
m0282	Carta 58	22	4	num	H
m0282	Carta 58	23	15	num	H
m0282	Carta 58	24	21	num	H
m0282	Carta 58	25	15	num	H
m0282	Carta 58	26	12	num	H
m0282	Carta 58	27	m	ltr	H
m0282	Carta 58	28	15	num	H
m0282	Carta 58	29	2	num	H
m0282	Carta 58	30	17	num	H
m0282	Carta 58	31	4	num	H
m0282	Carta 58	32	55	num	H
m0282	Carta 58	33	19	num	H
m0282	Carta 58	34	4	num	H
m0282	Carta 58	35	15	num	H
m0282	Carta 58	36	17	num	H
m0282	Carta 58	37	4	num	H
m0282	Carta 58	38	4	num	H
m0282	Carta 58	39	17	num	H
m0282	Carta 58	40	21	num	H
m0282	Carta 58	41	19	num	H
m0282	Carta 58	42	22	num	H
m0282	Carta 58	43	5	num	H
m0282	Carta 58	44	15	num	H
m0282	Carta 58	45	13	num	M
m0282	Carta 58	46	17	num	H
m0282	Carta 58	47	13	num	M
m0282	Carta 58	48	2	num	H
m0282	Carta 58	49	26	num	H
m0282	Carta 58	50	5	num	H
m0282	Carta 58	51	17	num	H
m0282	Carta 58	52	18	num	H
m0282	Carta 58	53	2	num	H
m0282	Carta 58	54	15	num	H
m0282	Carta 58	55	4	num	H
m0282	Carta 58	56	17	num	H
m0282	Carta 58	57	8	num	H
m0282	Carta 58	58	26	num	H
m0282	Carta 58	59	4	num	H
