leaf	entry_label	position	token	token_type
m0289	Carta 89	1	17	num
m0289	Carta 89	2	3	num
m0289	Carta 89	3	14	num
m0289	Carta 89	4	2	num
m0289	Carta 89	5	17	num
m0289	Carta 89	6	13	num
m0289	Carta 89	7	26	num
m0289	Carta 89	8	7	num
m0289	Carta 89	9	34	num
m0289	Carta 89	10	3	num
m0289	Carta 89	11	15	num
m0289	Carta 89	12	10	num
m0289	Carta 89	13	7	num
m0289	Carta 89	14	18	num
m0289	Carta 89	15	19	num
m0289	Carta 89	16	14	num
m0289	Carta 89	17	33	num
m0289	Carta 89	18	12	num
m0289	Carta 89	19	17	num
m0289	Carta 89	20	21	num
m0289	Carta 89	21	15	num
m0289	Carta 89	22	13	num
m0289	Carta 89	23	4	num
m0289	Carta 89	24	7	num
m0289	Carta 89	25	12	num
m0289	Carta 89	26	17	num
m0289	Carta 89	27	20	num
m0289	Carta 89	28	10	num
m0289	Carta 89	29	2	num
m0289	Carta 89	30	18	num
m0289	Carta 89	31	7	num
m0289	Carta 89	32	3	num
m0289	Carta 89	33	17	num
m0289	Carta 89	34	18	num
m0289	Carta 89	35	58	num
m0289	Carta 89	36	19?	num
m0289	Carta 89	37	2?	num
m0289	Carta 89	38	15	num
m0289	Carta 91	1	4	num
m0289	Carta 91	2	19	num
m0289	Carta 91	3	e	ltr
m0289	Carta 91	4	26	num
m0289	Carta 91	5	14	num
m0289	Carta 91	6	x	ltr
m0289	Carta 91	7	15	num
m0289	Carta 91	8	11	num
m0289	Carta 91	9	12	num
m0289	Carta 91	10	15	num
m0289	Carta 91	11	18	num
m0289	Carta 91	12	19	num
m0289	Carta 91	13	3	num
m0289	Carta 91	14	7	num
m0289	Carta 91	15	y	ltr
m0289	Carta 91	16	11	num
m0289	Carta 91	17	d	ltr
m0289	Carta 91	18	c	ltr
m0289	Carta 91	19	5	num
m0289	Carta 91	20	17	num
m0289	Carta 91	21	26	num
m0289	Carta 91	22	22	num
m0289	Carta 91	23	x	ltr
m0289	Carta 91	24	23	num
m0289	Carta 91	25	2	num
m0289	Carta 91	26	17	num
m0289	Carta 91	27	11?	num
m0289	Carta 91	28	8?	num
m0289	Carta 92	1	19	num
m0289	Carta 92	2	4	num
m0289	Carta 92	3	3	num
m0289	Carta 92	4	7	num
m0289	Carta 92	5	26	num
m0289	Carta 92	6	8	num
m0289	Carta 92	7	20	num
m0289	Carta 92	8	10	num
m0289	Carta 92	9	y	ltr
m0289	Carta 92	10	5	num
m0289	Carta 92	11	15	num
m0289	Carta 92	12	24	num
m0289	Carta 92	13	f	ltr
m0289	Carta 92	14	8	num
m0289	Carta 92	15	17	num
m0289	Carta 92	16	x	ltr
m0289	Carta 92	17	7	num
m0289	Carta 92	18	5	num
m0289	Carta 92	19	20	num
m0289	Carta 92	20	23	num
m0289	Carta 92	21	12	num
m0289	Carta 92	22	y	ltr
m0289	Carta 92	23	x	ltr
m0289	Carta 92	24	25	num
m0289	Carta 92	25	15	num
m0289	Carta 92	26	12	num
m0289	Carta 92	27	17	num
m0289	Carta 92	28	m	ltr
m0289	Carta 92	29	5	num
m0289	Carta 92	30	7	num
m0289	Carta 92	31	4	num
m0289	Carta 92	32	19	num
m0289	Carta 92	33	p	ltr
m0289	Carta 92	34	26	num
m0289	Carta 92	35	18	num
m0289	Carta 92	36	x	ltr
m0289	Carta 92	37	24	num
m0289	Carta 92	38	f	ltr
m0289	Carta 92	39	a	ltr
m0289	Carta 92	40	19	num
m0289	Carta 92	41	4	num
m0289	Carta 92	42	x	ltr
m0289	Carta 92	43	22	num
m0289	Carta 92	44	y	ltr
m0289	Carta 92	45	f	ltr
m0289	Carta 92	46	g	ltr
m0289	Carta 92	47	17	num
m0289	Carta 92	48	14	num
m0289	Carta 92	49	3	num
m0289	Carta 92	50	23	num
m0289	Carta 92	51	m	ltr
m0289	Carta 92	52	x	ltr
m0289	Carta 92	53	d	ltr
m0289	Carta 92	54	z	ltr
m0289	Carta 92	55	h	ltr
m0289	Carta 92	56	5	num
m0289	Carta 92	57	y	ltr
m0289	Carta 92	58	ff?	ltr
m0289	Carta 92	59	17	num
m0289	Carta 92	60	x	ltr
m0289	Carta 92	61	15	num
m0289	Carta 92	62	55?	num
m0289	Carta 92	63	6?	num
m0289	Carta 92	64	x	ltr
m0289	Carta 92	65	25	num
m0289	Carta 92	66	52?	num
m0289	Carta 92	67	1?	num
m0289	Carta 92	68	a	ltr
m0289	Carta 92	69	g	ltr
m0289	Carta 92	70	4	num
m0289	Carta 92	71	f	ltr
m0289	Carta 92	72	z	ltr
m0289	Carta 92	73	10	num
m0289	Carta 92	74	c	ltr
m0289	Carta 92	75	18	num
m0289	Carta 92	76	h	ltr
m0289	Carta 92	77	22	num
m0289	Carta 92	78	20	num
m0289	Carta 92	79	11	num
m0289	Carta 92	80	y	ltr
m0289	Carta 92	81	18	num
m0289	Carta 92	82	12	num
m0289	Carta 92	83	7	num
m0289	Carta 92	84	11	num
m0289	Carta 92	85	12	num
m0289	Carta 92	86	17	num
m0289	Carta 92	87	26	num
m0289	Carta 92	88	15	num
m0289	Carta 92	89	8	num
m0289	Carta 92	90	f	ltr
m0289	Carta 92	91	4	num
m0289	Carta 92	92	19	num
m0289	Carta 92	93	f	ltr
m0289	Carta 92	94	5	num
m0289	Carta 92	95	15	num
m0289	Carta 92	96	18	num
m0289	Carta 92	97	10	num
m0289	Carta 92	98	c	ltr
m0289	Carta 92	99	h	ltr
m0289	Carta 92	100	11	num
m0289	Carta 92	101	15	num
m0289	Carta 92	102	26	num
m0289	Carta 92	103	5	num
m0289	Carta 92	104	25	num
m0289	Carta 92	105	x	ltr
m0289	Carta 92	106	7	num
m0289	Carta 92	107	c	ltr
m0289	Carta 92	108	g	ltr
m0289	Carta 92	109	m	ltr
m0289	Carta 92	110	p	ltr
m0289	Carta 92	111	d	ltr
m0289	Carta 92	112	14	num
m0289	Carta 92	113	y	ltr
m0289	Carta 92	114	5	num
m0289	Carta 92	115	17	num
m0289	Carta 92	116	21	num
m0289	Carta 92	117	19	num
m0289	Carta 92	118	5	num
m0289	Carta 92	119	23	num
m0290	Carta 93	1	19	num
m0290	Carta 93	2	14	num
m0290	Carta 93	3	17	num
m0290	Carta 93	4	18	num
m0290	Carta 93	5	24	num
m0290	Carta 93	6	f	ltr
m0290	Carta 93	7	3	num
m0290	Carta 93	8	y	ltr
m0290	Carta 93	9	z	ltr
m0290	Carta 93	10	h	ltr
m0290	Carta 93	11	21	num
m0290	Carta 93	12	15	num
m0290	Carta 93	13	23	num
m0290	Carta 93	14	g?	ltr
m0290	Carta 93	15	m	ltr
m0290	Carta 93	16	a	ltr
m0290	Carta 93	17	z	ltr
m0290	Carta 93	18	h?	ltr
m0290	Carta 93	19	g	ltr
m0290	Carta 93	20	e	ltr
m0290	Carta 93	21	19	num
m0290	Carta 93	22	14	num
m0290	Carta 93	23	5	num
m0290	Carta 93	24	22	num
m0290	Carta 93	25	y	ltr
m0290	Carta 93	26	5	num
m0290	Carta 93	27	25	num
m0290	Carta 93	28	18?	num
m0290	Carta 93	29	15?	num
m0290	Carta 93	30	y?	ltr
m0290	Carta 93	31	16	num
m0290	Carta 93	32	d	ltr
m0290	Carta 93	33	12	num
m0290	Carta 93	34	a	ltr
m0290	Carta 93	35	z	ltr
m0290	Carta 93	36	h	ltr
m0290	Carta 93	37	26	num
m0290	Carta 93	38	20	num
m0290	Carta 93	39	g?	ltr
m0290	Carta 93	40	m	ltr
m0290	Carta 93	41	e	ltr
m0290	Carta 93	42	21	num
m0290	Carta 93	43	12	num
m0290	Carta 93	44	15	num
m0290	Carta 93	45	5	num
m0290	Carta 93	46	rr?	ltr
m0290	Passage 2a	1	13	num
m0290	Passage 2a	2	26	num
m0290	Passage 2a	3	19	num
m0290	Passage 2a	4	5	num
m0290	Passage 2a	5	c	ltr
m0290	Passage 2a	6	7	num
m0290	Passage 2a	7	20	num
m0290	Passage 2a	8	t?	ltr
m0290	Passage 2a	9	y	ltr
m0290	Passage 2a	10	25	num
m0290	Passage 2a	11	c	ltr
m0290	Passage 2a	12	d	ltr
m0290	Passage 2a	13	f	ltr
m0290	Passage 2a	14	24	num
m0290	Passage 2a	15	26	num
m0290	Passage 2a	16	11	num
m0290	Passage 2a	17	7	num
m0290	Passage 2a	18	11	num
m0290	Passage 2a	19	15	num
m0290	Passage 2a	20	x	ltr
m0290	Passage 2a	21	7	num
m0290	Passage 2a	22	12	num
m0290	Passage 2a	23	8	num
m0290	Passage 2a	24	y	ltr
m0290	Passage 2a	25	18	num
m0290	Passage 2a	26	19	num
m0290	Passage 2a	27	4	num
m0290	Passage 2a	28	3	num
m0290	Passage 2a	29	17	num
m0290	Passage 2a	30	12	num
m0290	Passage 2a	31	14	num
m0290	Passage 2a	32	24	num
m0290	Passage 2a	33	f	ltr
m0290	Passage 2a	34	7	num
m0290	Passage 2a	35	a	ltr
m0290	Passage 2a	36	19	num
m0290	Passage 2a	37	4	num
m0290	Passage 2a	38	11	num
m0290	Passage 2a	39	d	ltr
m0290	Passage 2a	40	16	num
m0290	Passage 2a	41	15	num
m0290	Passage 2a	42	12	num
m0290	Passage 2a	43	y	ltr
m0290	Passage 2a	44	7	num
m0290	Passage 2a	45	25	num
m0290	Passage 2a	46	4	num
m0290	Passage 2a	47	26	num
m0290	Passage 2a	48	m	ltr
m0290	Passage 2a	49	x	ltr
m0290	Passage 2a	50	7	num
m0290	Passage 2a	51	15	num
m0290	Passage 2a	52	c	ltr
