line	pos	sign	conf	value	grade
Carta 13	1	7		e	C
Carta 13	2	4		s	C
Carta 13	3	a		t	C
Carta 13	4	7		e	C
Carta 13	5	4		s	C
Carta 13	6	18		m	C
Carta 13	7	m		n	C
Carta 13	8	8		i	C
Carta 13	9	4		s	C
Carta 13	10	a		t	C
Carta 13	11	52		r	C
Carta 13	12	15		o	C
Carta 13	13	4		s	C
Carta 13	14	7		e	C
Carta 13	15	4		s	C
Carta 13	16	a		t	C
Carta 13	17	y		a	C
Carta 13	18	18		m	C
Carta 13	19	13		q	C
Carta 13	20	c		u	M
Carta 13	21	7		e	C
Carta 13	22	18		m	C
Carta 13	23	15		o	C
Carta 13	24	4		s	C
Carta 13	25	5		c	C
Carta 13	26	15		o	C
Carta 13	27	m		n	C
Carta 13	28	c		u	M
Carta 13	29	7		e	C
Carta 13	30	m		n	C
Carta 13	31	5		c	C
Carta 13	32	7		e	C
Carta 13	33	18		m	C
Carta 13	34	y		a	C
Carta 13	35	8		i	C
Carta 13	36	4		s	C
Carta 13	37	15		o	C
Carta 13	38	4		s	C
Carta 13	39	55		p	C
Carta 13	40	2		d	M
Carta 13	41	y		a	C
Carta 13	42	2		d	M
Carta 13	43	7		e	C
Carta 13	44	10		h	C
Carta 13	45	7		e	C
Carta 13	46	4		s	C
Carta 13	47	7		e	C
Carta 13	48	18		m	C
Carta 13	49	y		a	C
Carta 13	50	8		i	C
Carta 13	51	12		r	C
Carta 13	52	8		i	C
Carta 13	53	a		t	C
Carta 13	54	7		e	C
Carta 13	55	7		e	C
Carta 13	56	8		i	C
Carta 13	57	a		t	C
Carta 13	58	7		e	C
Carta 13	59	4		s	C
Carta 13	60	7		e	C
Carta 13	61	4		s	C
Carta 13	62	a		t	C
Carta 13	63	y		a	C
Carta 13	64	18		m	C
Carta 13	65	y		a	C
Carta 13	66	11		p	C
Carta 13	67	7		e	C
Carta 13	68	9±		r	C
Carta 13	69	2		d	M
Carta 13	70	7		e	C
Carta 13	71	9±		r	C
Carta 13	72	7		e	C
Carta 13	73	y		a	C
Carta 13	74	4		s	C
Carta 13	75	7		e	C
Carta 13	76	e		g	M
Carta 13	77	c		u	M
Carta 13	78	8		i	C
Carta 13	79	z		r	C
Carta 13	80	15		o	C
Carta 13	81	5		c	C
Carta 13	82	7		e	C
Carta 13	83	c		u	M
Carta 13	84	6		c	C
Carta 13	85	52		r	C
Carta 13	86	15		o	C
Carta 13	87	8		i	C
Carta 13	88	7		e	C
Carta 13	89	5		c	C
Carta 13	90	a		t	C
Carta 13	91	15		o	C
Carta 13	92	15		o	C
Carta 13	93	a		t	C
Carta 13	94	10		h	C
Carta 13	95	7		e	C
Carta 13	96	4		s	C
Carta 13	97	15		o	C
Carta 13	98	e		g	M
Carta 13	99	z		r	C
Carta 13	100	7		e	C
Carta 13	101	8		i	C
Carta 13	102	z		r	C
Carta 13	103	15		o	C
Carta 13	104	2		d	M
Carta 13	105	y		a	C
Carta 13	106	c		u	M
Carta 13	107	8		i	C
Carta 13	108	2		d	M
Carta 13	109	y		a	C
Carta 13	110	7		e	C
Carta 13	111	2		d	M
Carta 13	112	y		a	C
Carta 13	113	10		h	C
Carta 13	114	15		o	C
Carta 13	115	m		n	C
Carta 13	116	7		e	C
Carta 13	117	y		a	C
Carta 13	118	7		e	C
Carta 13	119	7		e	C
Carta 13	120	4		s	C
Carta 13	121	8		i	C
Carta 13	122	e		g	M
Carta 13	123	8		i	C
Carta 13	124	y		a	C
Carta 13	125	18		m	C
Carta 13	126	y		a	C
Carta 13	127	4		s	C
Carta 13	128	c		u	M
Carta 13	129	y		a	C
Carta 13	130	e		g	M
Carta 13	131	8		i	C
Carta 13	132	m		n	C
Carta 13	133	e		g	M
Carta 13	134	y		a	C
Carta 13	135	m		n	C
Carta 13	136	5		c	C
Carta 13	137	y		a	C
Carta 15	1	2		d	M
Carta 15	2	y		a	C
Carta 15	3	g±		?	U
Carta 15	4	18		m	C
Carta 15	5	15		o	C
Carta 15	6	c		u	M
Carta 15	7	a		t	C
Carta 15	8	13		q	C
Carta 15	9	c		u	M
Carta 15	10	z±		?	U
Carta 15	11	y		a	C
Carta 15	12	g±		?	U
Carta 15	13	y		a	C
Carta 15	14	8		i	C
Carta 15	15	m		n	C
Carta 15	16	10		h	C
Carta 15	17	y		a	C
Carta 15	18	18		m	C
Carta 15	19	m		n	C
Carta 15	20	2		d	M
Carta 15	21	15		o	C
Carta 15	22	c		u	M
Carta 15	23	7		e	C
Carta 15	24	y		a	C
Carta 15	25	6		c	C
Carta 15	26	7		e	C
Carta 15	27	15		o	C
Carta 15	28	b±		g	M
Carta 15	29	15		o	C
Carta 15	30	7		e	C
Carta 15	31	y		a	C
Carta 15	32	7		e	C
Carta 15	33	4±		?	U
Carta 15	34	7		e	C
Carta 15	35	7		e	C
Carta 15	36	8		i	C
Carta 15	37	6		c	C
Carta 15	38	15		o	C
Carta 15	39	7		e	C
Carta 15	40	10		h	C
Carta 15	41	e		g	M
Carta 15	42	18		m	C
Carta 15	43	y		a	C
Carta 15	44	5		c	C
Carta 15	45	y		a	C
Carta 15	46	7		e	C
Carta 15	47	a		t	C
Carta 15	48	y		a	C
Carta 15	49	5		c	C
Carta 15	50	15		o	C
Carta 15	51	18		m	C
Carta 15	52	b		?	U
Carta 15	53	7		e	C
Carta 15	54	8		i	C
Carta 15	55	18		m	C
Carta 15	56	z		r	C
Carta 15	57	m		n	C
Carta 15	58	a		t	C
Carta 15	59	15		o	C
Carta 15	60	4		s	C
Carta 15	61	y		a	C
Carta 15	62	18		m	C
Carta 15	63	y		a	C
Carta 15	64	m		n	C
Carta 15	65	2		d	M
Carta 15	66	y		a	C
Carta 15	67	c		u	M
Carta 15	68	y		a	C
Carta 15	69	7		e	C
Carta 15	70	7		e	C
Carta 15	71	4		s	C
Carta 15	72	15		o	C
Carta 15	73	6		c	C
Carta 15	74	7		e	C
Carta 15	75	4		s	C
Carta 15	76	15		o	C
Carta 15	77	13		q	C
Carta 15	78	c		u	M
Carta 15	79	y		a	C
Carta 15	80	4		s	C
Carta 15	81	7		e	C
Carta 15	82	c		u	M
Carta 15	83	6		c	C
Carta 15	84	15		o	C
Carta 15	85	28		?	U
Carta 15	86	y		a	C
Carta 23	1	4		s	C
Carta 23	2	17		a	C
Carta 23	3	8		i	C
Carta 23	4	52		r	C
Carta 23	5	2		d	M
Carta 23	6	7		e	C
Carta 23	7	21		b	C
Carta 23	8	26		u	M
Carta 23	9	20		l	C
Carta 23	10	8		i	C
Carta 23	11	m		n	C
Carta 23	12	e		g	M
Carta 23	13	21		b	C
Carta 23	14	12		r	C
Carta 23	15	25		o	C
Carta 23	16	6		c	C
Carta 23	17	14		n	C
Carta 23	18	15		o	C
Carta 23	19	4		s	C
Carta 23	20	4		s	C
Carta 23	21	25		o	C
Carta 23	22	8		i	C
Carta 23	23	m		n	C
Carta 23	24	8		i	C
Carta 23	25	18		m	C
Carta 23	26	22		i	C
Carta 23	27	e		g	M
Carta 23	28	15		o	C
Carta 30	1	17		a	C
Carta 30	2	4		s	C
Carta 30	3	15		o	C
Carta 30	4	6		c	C
Carta 30	5	12		r	C
Carta 30	6	y		a	C
Carta 30	7	2		d	M
Carta 30	8	15		o	C
Carta 30	9	2		d	M
Carta 30	10	26		u	M
Carta 30	11	13		q	C
Carta 30	12	26		u	M
Carta 30	13	19		e	C
Carta 30	14	x		d	C
Carta 30	15	19		e	C
Carta 30	16	21		b	C
Carta 30	17	26		u	M
Carta 30	18	13		q	C
Carta 30	19	c		u	M
Carta 30	20	8		i	C
Carta 30	21	14		n	C
Carta 30	22	6		c	C
Carta 30	23	17		a	C
Carta 30	24	14		n	C
Carta 58	1	15		o	C
Carta 58	2	m		n	C
Carta 58	3	17		a	C
Carta 58	4	15		o	C
Carta 58	5	16		f	M
Carta 58	6	15		o	C
Carta 58	7	8		i	C
Carta 58	8	4		s	C
Carta 58	9	19		e	C
Carta 58	10	18		m	C
Carta 58	11	2		d	M
Carta 58	12	19		e	C
Carta 58	13	a		t	C
