page	line	seq_start	seq_end	mark_count	file
1	L03	2	2	1	images/shorthand/page1_L03_seq2-2_1marks.jpg
1	L04	3	13	1	images/shorthand/page1_L04_seq3-13_1marks.jpg
1	L05	14	25	5	images/shorthand/page1_L05_seq14-25_5marks.jpg
1	L06	26	39	8	images/shorthand/page1_L06_seq26-39_8marks.jpg
1	L07	40	50	2	images/shorthand/page1_L07_seq40-50_2marks.jpg
1	L09	61	79	17	images/shorthand/page1_L09_seq61-79_17marks.jpg
1	L10	80	93	10	images/shorthand/page1_L10_seq80-93_10marks.jpg
1	L12	106	121	16	images/shorthand/page1_L12_seq106-121_16marks.jpg
1	L13	122	141	19	images/shorthand/page1_L13_seq122-141_19marks.jpg
1	L17	173	187	11	images/shorthand/page1_L17_seq173-187_11marks.jpg
2	L01	188	197	1	images/shorthand/page2_L01_seq188-197_1marks.jpg
2	L02	198	212	15	images/shorthand/page2_L02_seq198-212_15marks.jpg
2	L03	213	226	9	images/shorthand/page2_L03_seq213-226_9marks.jpg
2	L04	227	240	6	images/shorthand/page2_L04_seq227-240_6marks.jpg
2	L06	250	264	12	images/shorthand/page2_L06_seq250-264_12marks.jpg
2	L07	265	275	2	images/shorthand/page2_L07_seq265-275_2marks.jpg
2	L10	296	311	13	images/shorthand/page2_L10_seq296-311_13marks.jpg
2	L11	312	322	1	images/shorthand/page2_L11_seq312-322_1marks.jpg
2	L13	334	345	5	images/shorthand/page2_L13_seq334-345_5marks.jpg
3	L01	368	381	8	images/shorthand/page3_L01_seq368-381_8marks.jpg
3	L03	392	403	6	images/shorthand/page3_L03_seq392-403_6marks.jpg
3	L04	404	416	5	images/shorthand/page3_L04_seq404-416_5marks.jpg
3	L05	417	426	7	images/shorthand/page3_L05_seq417-426_7marks.jpg
3	L06	427	438	2	images/shorthand/page3_L06_seq427-438_2marks.jpg
3	L07	439	451	9	images/shorthand/page3_L07_seq439-451_9marks.jpg
3	L08	452	464	7	images/shorthand/page3_L08_seq452-464_7marks.jpg
3	L09	465	476	2	images/shorthand/page3_L09_seq465-476_2marks.jpg
3	L12	498	510	7	images/shorthand/page3_L12_seq498-510_7marks.jpg
3	L13	511	528	18	images/shorthand/page3_L13_seq511-528_18marks.jpg
