idx	page	sign	confidence	note
1	1	Sir	H	settled: clear cursive salutation, pass B misread as mark
2	1	The	H	
3	1	453	H	
4	1	240	H	
5	1	760	H	
6	1	1480	H	
7	1	*	H	
8	1	35	H	
9	1	681	H	
10	1	1752	H	
11	1	1843	H	
12	1	1314	H	
13	1	*	H	
14	1	*	H	
15	1	*	H	
16	1	*	H	
17	1	*	H	
18	1	384	H	
19	1	18	H	
20	1	681	H	
21	1	1340	H	
22	1	1628	H	
23	1	1267	H	
24	1	1180	H	
25	1	98	H	settled: confirmed by zoomed crop check
26	1	*	H	settled: confirmed 8 marks total by zoomed crop check
27	1	*	H	settled
28	1	*	H	
29	1	*	H	
30	1	*	H	
31	1	*	H	
32	1	*	H	
33	1	*	H	
34	1	388	H	
35	1	1320	H	
36	1	1254	H	
37	1	64	H	
38	1	1780	H	
39	1	38	H	
40	1	48	H	
41	1	56	H	
42	1	*	H	
43	1	200	H	
44	1	38	H	
45	1	*	H	
46	1	1141	H	
47	1	1848	H	
48	1	1541	H	
49	1	1638	H	
50	1	27	H	
51	1	121	H	
52	1	356	H	
53	1	454	H	
54	1	17	H	
55	1	1640	H	
56	1	1276	H	
57	1	14	H	
58	1	1760	H	
59	1	1267	H	
60	1	43	H	
61	1	*	H	
62	1	*	H	
63	1	*	H	
64	1	*	H	
65	1	*	H	
66	1	*	H	
67	1	*	H	
68	1	*	H	
69	1	*	H	
70	1	*	H	
71	1	*	H	
72	1	*	H	
73	1	*	H	
74	1	*	H	
75	1	*	H	
76	1	*	H	
77	1	*	H	
78	1	31	M	
79	1	*	M	
80	1	*	M	
81	1	*	M	
82	1	*	M	
83	1	*	M	
84	1	*	M	
85	1	*	H	
86	1	*	H	
87	1	*	H	
88	1	*	H	
89	1	48	H	
90	1	1360	H	
91	1	18	H	
92	1	1141	H	
93	1	436	H	
94	1	489	H	
95	1	17	H	
96	1	946	H	
97	1	496	H	
98	1	18	H	
99	1	36	H	
100	1	1900	H	
101	1	17	H	
102	1	1	H	
103	1	28	H	
104	1	14	H	
105	1	*	M	
106	1	*	H	
107	1	*	H	
108	1	*	H	
109	1	*	H	
110	1	*	H	
111	1	*	H	
112	1	*	H	
113	1	*	H	
114	1	*	H	
115	1	*	H	
116	1	*	H	
117	1	*	H	
118	1	*	H	
119	1	*	H	
120	1	*	H	
121	1	*	M	
122	1	*	M	
123	1	*	M	
124	1	*	M	
125	1	*	M	
126	1	*	M	
127	1	*	H	
128	1	*	H	
129	1	*	H	
130	1	*	H	
131	1	*	H	
132	1	*	H	
133	1	*	H	
134	1	*	H	
135	1	*	H	
136	1	*	H	
137	1	*	H	
138	1	*	H	
139	1	*	H	
140	1		M	
141	1	176	H	
142	1	564	H	
143	1	387	H	
144	1	840	H	
145	1	671	H	
146	1	41	H	
147	1	431	H	
148	1	18	H	
149	1	640	H	
150	1	1780	H	
151	1	73	H	
152	1	65	H	
153	1	381	H	
154	1	246	H	
155	1	384	H	
156	1	14	H	
157	1	1	H	
158	1	38	H	
159	1	1120	H	
160	1	1350	H	
161	1	14	H	
162	1	48	H	
163	1	370	H	
164	1	751	H	
165	1	18	H	
166	1	1540	H	
167	1	1320	H	
168	1	12	H	
169	1	1	H	
170	1	1170	H	
171	1	1842	H	
172	1	*	H	
173	1	*	H	
174	1	*	H	
175	1	*	H	
176	1	*	H	
177	1	*	H	
178	1	*	H	
179	1	*	H	
180	1	41	H	
181	1	1250	H	
182	1	17	H	
183	1	*	H	
184	1	*	H	
185	1	*	H	
186	1	1210	H	
187	2	54	H	
188	2	1631	H	
189	2	12	H	
190	2	78	H	
191	2	350	H	
192	2	1470	H	
193	2	764	H	
194	2	18	H	
195	2	1801	H	
196	2	*	H	
197	2	*	M	
198	2	*	H	
199	2	*	H	
200	2	*	H	
201	2	*	H	
202	2	*	H	
203	2	*	H	
204	2	*	H	
205	2	*	H	
206	2	*	H	
207	2	*	H	
208	2	*	H	
209	2	*	H	
210	2	*	H	
211	2	*	H	
212	2	*	M	
213	2	*	H	
214	2	*	H	
215	2	*	H	
216	2	78	H	
217	2	1364	H	
218	2	1751	H	
219	2	101	H	
220	2	421	H	
221	2	*	M	
222	2	*	H	
223	2	*	H	
224	2	*	H	
225	2	*	H	
226	2	17	H	
227	2	86	H	
228	2	316	H	
229	2	582	H	
230	2	1017	H	
231	2	18	H	
232	2	*	M	
233	2	*	H	
234	2	*	H	
235	2	*	H	
236	2	*	H	
237	2	*	H	
238	2	1248	H	
239	2		M	
240	2	1176	H	
241	2	1164	H	
242	2	1801	H	
243	2	1747	H	
244	2	672	H	
245	2	564	H	
246	2	481	H	
247	2	1267	H	
248	2		M	
249	2	*	H	
250	2	45	H	
251	2	147	H	
252	2	1158	H	
253	2	*	M	
254	2	*	M	
255	2	*	H	
256	2	*	H	
257	2	*	H	
258	2	*	H	
259	2	*	H	
260	2	*	H	
261	2	*	H	
262	2	*	H	
263	2	*	H	
264	2	*	H	
265	2	*	H	
266	2	48	H	
267	2	1240	H	
268	2	547	H	
269	2	864	H	
270	2	1762	H	
271	2	11	H	
272	2	1264	H	
273	2	156	M	
274	2		M	
275	2	45	H	
276	2	38	H	
277	2	18	H	
278	2	1741	H	
279	2	180	H	
280	2	150	H	
281	2	1161	H	
282	2	1240	H	
283	2	143	M	
284	2		M	
285	2	1776	H	
286	2	1830	H	
287	2	3	H	
288	2	1451	H	
289	2	28	H	
290	2	1540	H	
291	2	1537	H	
292	2	17	H	
293	2	18	M	
294	2		M	
295	2	*	M	
296	2	*	M	
297	2	*	M	
298	2	*	H	
299	2	*	H	
300	2	*	H	
301	2	*	H	
302	2	*	H	
303	2	13	H	
304	2	230	H	
305	2	481	H	
306	2	*	M	
307	2	*	H	
308	2	*	H	
309	2	*	H	
310	2	*	H	
311	2	1110	H	
312	2	1267	H	
313	2	84	H	
314	2	19	H	settled: crop confirms leading digit is 1
315	2	41	H	
316	2	364	H	
317	2	17	H	
318	2	*	H	
319	2	1480	H	
320	2	1762	H	
321	2		M	
322	2	1	H	
323	2	1471	H	
324	2	1480	H	
325	2	22	H	
326	2	561	H	
327	2	17	H	
328	2	1708	H	
329	2	11	H	
330	2	380	H	
331	2	460	H	
332	2		M	
333	2	17	H	
334	2	1640	H	settled: crop clearly shows 1640 not 1620
335	2	19	H	
336	2	47	H	
337	2	76	H	
338	2	230	H	
339	2	1540	H	
340	2	*	H	
341	2	*	H	
342	2	*	H	
343	2	*	H	
344	2	*	H	
345	2	1161	H	
346	2	14	H	
347	2	74	H	
348	2	1461	H	
349	2	1870	H	
350	2	12	H	
351	2	57	H	
352	2	1899	H	
353	2	3	H	
354	2	47	H	
355	2		M	
356	2	2	H	
357	2	471	H	
358	2	29	H	
359	2	390	H	
360	2	1164	H	
361	2	87	H	
362	2	576	H	
363	2	176	H	
364	2	18	H	
365	2	1480	H	
366	2		M	
367	3	760	H	settled: crop clearly shows 760
368	3	*	H	
369	3	*	H	
370	3	*	H	
371	3	*	H	
372	3	*	H	
373	3	47	H	
374	3	570	H	
375	3	230	H	
376	3	1254	H	
377	3	1	H	
378	3	*	H	
379	3	*	H	
380	3	*	M	
381	3	58	H	
382	3	620	H	
383	3	1307	H	
384	3	451	H	
385	3	576	H	
386	3	17	H	
387	3	680	H	
388	3	38	H	
389	3	36	H	
390	3	1658	H	
391	3	460	H	
392	3	365	H	
393	3	*	M	
394	3	*	M	
395	3	*	H	
396	3	*	H	
397	3	*	H	
398	3	*	H	
399	3	17	H	
400	3	561	H	
401	3	470	H	
402	3	1360	H	
403	3	170	H	
404	3	83	H	
405	3	570	H	
406	3	74	H	
407	3	85	H	
408	3	14	H	
409	3	740	H	
410	3	*	M	
411	3	3	M	
412	3	*	H	
413	3	*	H	
414	3	*	H	
415	3	*	M	
416	3	*	M	
417	3	*	H	
418	3	*	H	
419	3	*	H	
420	3	*	H	
421	3	*	H	
422	3	*	H	
423	3	67	H	
424	3	780	H	
425	3	1364	M	
426	3	*	M	
427	3	*	H	
428	3	1170	H	
429	3	1841	H	
430	3	1	H	
431	3	1161	H	
432	3	674	H	
433	3	701	H	
434	3	3	H	
435	3	61	H	
436	3	1580	H	
437	3	18	H	
438	3	170	H	
439	3	1767	H	
440	3	1870	H	
441	3	5	H	
442	3	*	M	
443	3	*	M	
444	3	*	H	
445	3	*	H	
446	3	*	H	
447	3	*	H	
448	3	*	H	
449	3	*	H	
450	3	*	H	
451	3	160	H	
452	3	240	H	
453	3	876	H	
454	3	1351	H	
455	3	1107	H	
456	3	1764	H	
457	3	*	M	
458	3	*	M	
459	3	*	H	
460	3	*	H	
461	3	*	H	
462	3	*	H	
463	3	*	M	
464	3	*	H	
465	3	*	H	
466	3	1472	H	
467	3	21	H	
468	3	76	H	
469	3	11	H	
470	3	180	H	
471	3	38	H	
472	3	1641	H	
473	3	15	H	
474	3	1354	H	
475	3	17	H	
476	3	170	H	
477	3	658	H	
478	3	49	H	
479	3	967	H	
480	3	1861	H	
481	3	16	H	
482	3	576	H	
483	3	1564	H	
484	3	12	H	
485	3	1310	H	
486	3	1461	H	settled: genuine leading group, pass B crop clipped it
487	3	740	H	settled: crop shows 740 not 74
488	3	11	H	
489	3	187	H	
490	3	641	H	
491	3	176	H	
492	3	437	H	
493	3	83	H	
494	3	1451	H	
495	3	1170	H	
496	3	1807	H	
497	3	110	H	
498	3	416	H	
499	3	38	H	
500	3	16	H	
501	3	1208	H	
502	3	141	H	
503	3	*	M	
504	3	*	H	
505	3	*	H	
506	3	*	H	
507	3	*	H	
508	3	*	H	
509	3	*	H	
510	3	*	M	
511	3	*	M	
512	3	*	M	
513	3	*	M	
514	3	*	M	
515	3	*	H	
516	3	*	H	
517	3	*	H	
518	3	*	H	
519	3	*	H	
520	3	*	H	
521	3	*	H	
522	3	*	H	
523	3	*	H	
524	3	*	H	
525	3	*	H	
526	3	*	H	
527	3	*	H	
528	3	130	H	
529	3	164	H	
530	3	180	H	
531	3	1767	H	
532	3	162	H	
533	3	38	H	
534	3	161	H	
535	3	15	H	
536	3	580	H	
537	3	1716	H	
538	3	10	M	
539	3	27	H	
540	3	614	H	
541	3	641	H	
542	3	110	H	
543	3	1345	H	
544	3	170	H	
545	3	687	H	
546	3	860	H	
547	3	310	H	
548	3	1900	H	settled: crop confirms final group 1900
