sign	value	grade	source	note
0	a	C	pairs_98.tsv	n=12 a:11,König~:1
1	h	C	pairs_98.tsv	n=7 h:6,t~:1
3	e	C	pairs_98.tsv	n=20 e:20
4	o	C	pairs_98.tsv	n=6 o:6
5	u	C	pairs_98.tsv	n=12 u:9,v:3
8	w	C	pairs_98.tsv	n=6 w:6
9	t	C	pairs_98.tsv	n=6 t:5,d~:1
BAR	hundert_pferde	M	pairs_98.tsv	n=1 hundert_pferde~:1
D	c	C	pairs_98.tsv	n=3 c:3
Dl	fendlein	M	pairs_98.tsv	n=1 fendlein~:1
Dp	p	C	pairs_98.tsv	n=1 p:1
EL8	das	M	pairs_98.tsv	n=1 das~:1
HX	uns	M	pairs_98.tsv	n=1 uns~:1
L	l	C	pairs_98.tsv	n=9 l:8,m~:1
Lf	m|l	M	pairs_98.tsv	n=7 m:5,l:1,l~:1
M	und	C	pairs_98.tsv	n=1 und:1
Ma	st	C	pairs_98.tsv	n=2 st:2
Mf	und	M	pairs_98.tsv	n=1 und~:1
N	n	C	pairs_98.tsv	n=14 n:13,n~:1
NW	wir	M	pairs_98.tsv	n=1 wir~:1
Or	r	C	pairs_98.tsv	n=12 r:12
Pb	b	C	pairs_98.tsv	n=7 b:7
Pf	f	C	pairs_98.tsv	n=7 f:7
Qf	f	M	pairs_98.tsv	n=1 f~:1
Qg	g	C	pairs_98.tsv	n=9 g:9
R	E.L.	M	pairs_98.tsv	n=1 E.L.~:1
Sb	s	C	pairs_98.tsv	n=9 s:7,landtsknecht~:1,zu_Frankreich~:1
Sg	b	M	pairs_98.tsv	n=1 b~:1
Td	d	C	pairs_98.tsv	n=4 d:3,t~:1
V	k	C	pairs_98.tsv	n=1 k:1
X	y	C	pairs_98.tsv	n=1 y:1
Yz	z	C	pairs_98.tsv	n=2 z:2
Z	i	C	pairs_98.tsv	n=11 i:11
