line	pos	sign	conf
53_L01	1	5	H
53_L01	2	1	H
53_L01	3	X	H
53_L01	4	7	H
53_L01	5	7	H
53_L01	6	1	H
53_L01	7	V	H
53_L01	8	DOT	H
53_L01	9	Zb	M
53_L01	10	1	H
53_L01	11	X	H
53_L01	12	Xk	M
53_L01	13	Xk	M
53_L01	14	7	H
53_L01	15	5	H
53_L01	16	0	H
53_L01	17	DOT	M
53_L01	18	G3	M
53_L01	19	3	H
53_L01	20	8	H
53_L01	21	DOT	M
53_L01	22	X	H
53_L01	23	4	H
53_L01	24	G4	M
53_L01	25	X	H
53_L01	26	Xk	M
53_L01	27	7	M
53_L02	1	F	H
53_L02	2	3	H
53_L02	3	SG	M
53_L02	4	G1	H
53_L02	5	5	H
53_L02	6	DOT	H
53_L02	7	X	H
53_L02	8	4	H
53_L02	9	G4	M
53_L02	10	Xk	M
53_L02	11	Z	H
53_L02	12	7	H
53_L02	13	9	H
53_L02	14	1	H
53_L02	15	X	H
53_L02	16	7	H
53_L02	17	DOT	M
53_L02	18	G3	M
53_L03	1	3	H
53_L03	2	SG	M
53_L03	3	G1	H
53_L03	4	5	H
53_L03	5	DOT	H
53_L03	6	X	H
53_L03	7	4	H
53_L03	8	G4	M
53_L03	9	Xk	M
53_L03	10	Z	H
53_L03	11	7	H
53_L03	12	8	H
53_L03	13	1	H
53_L03	14	V	H
53_L03	15	Z	H
53_L03	16	7	H
53_L03	17	G1	H
53_L03	18	4	H
53_L03	19	G4	M
53_L03	20	V	H
53_L03	21	1	H
53_L03	22	X	H
53_L03	23	8	H
53_L03	24	1	H
53_L03	25	5	H
53_L04	1	2	H
53_L04	2	3	H
53_L04	3	5	H
53_L04	4	DOT	H
53_L04	5	2	H
53_L04	6	3	H
53_L04	7	G1	H
53_L04	8	DOT	H
53_L04	9	2	H
53_L04	10	1	H
53_L04	11	F	H
53_L04	12	G4	M
53_L04	13	V	H
53_L04	14	X	H
53_L04	15	5	H
53_L04	16	Xk	M
53_L04	17	Z	H
53_L04	18	1	H
53_L04	19	S	H
53_L04	20	Z	H
53_L04	21	7	H
53_L04	22	G4	M
53_L04	23	X	H
53_L04	24	G1	H
53_L04	25	G4	M
53_L04	26	3	H
53_L04	27	5	H
53_L04	28	X	H
53_L04	29	1	H
53_L04	30	5	H
53_L05	1	G1	H
53_L05	2	1	H
53_L05	3	X	H
53_L05	4	5	H
53_L05	5	1	H
53_L05	6	G1	H
53_L05	7	G4	M
53_L05	8	1	H
53_L05	9	V	H
53_L05	10	5	H
53_L05	11	7	H
53_L05	12	3	H
53_L05	13	Xk	M
53_L05	14	Xk	M
53_L05	15	1	H
53_L05	16	V	H
53_L05	17	G1	H
53_L05	18	G1	H
53_L05	19	4	H
53_L05	20	G4	M
53_L05	21	7	H
53_L05	22	7	H
53_L05	23	1	H
