line	pos	sign	conf
53_L10	1	0	H
53_L10	2	7	H
53_L10	3	Xk	M
53_L10	4	1	H
53_L10	5	G2	M
53_L10	6	2	H
53_L10	7	1	H
53_L10	8	V	M
53_L10	9	G6	M
53_L10	10	V	M
53_L10	11	X	H
53_L10	12	0	H
53_L10	13	7	H
53_L10	14	7	H
53_L10	15	X	H
53_L10	16	1	H
53_L10	17	2	H
53_L10	18	1	H
53_L10	19	V	M
53_L10	20	G3	M
53_L10	21	G2	M
53_L10	22	6	M
53_L10	23	1	H
53_L10	24	S	M
53_L10	25	F	M
53_L10	26	G7	M
53_L10	27	4	H
53_L10	28	G3	M
53_L09	1	G7	M
53_L09	2	1	H
53_L09	3	X	H
53_L09	4	S	M
53_L09	5	G6	M
53_L09	6	G2	M
53_L09	7	S	M
53_L09	8	X	H
53_L09	9	0	H
53_L09	10	V	M
53_L09	11	1	H
53_L09	12	X	H
53_L09	13	4	H
53_L09	14	G3	M
53_L09	15	DOT	M
53_L09	16	S	M
53_L09	17	3	H
53_L09	18	7	H
53_L09	19	3	H
53_L09	20	V	M
53_L09	21	V	M
53_L09	22	3	H
53_L09	23	RAD	M
53_L09	24	F	M
53_L09	25	Xk	M
53_L09	26	2	H
53_L09	27	1	H
53_L09	28	V	M
53_L08	1	7	H
53_L08	2	7	H
53_L08	3	G2	M
53_L08	4	6	M
53_L08	5	SG	M
53_L08	6	1	H
53_L08	7	DOT	M
53_L08	8	2	H
53_L08	9	1	H
53_L08	10	V	M
53_L08	11	DOT	M
53_L08	12	G3	M
53_L08	13	1	H
53_L08	14	V	M
53_L08	15	Xk	M
53_L08	16	Z	M
53_L08	17	G2	M
53_L08	18	0	H
53_L08	19	7	H
53_L08	20	G2	M
53_L08	21	S	M
53_L08	22	DOT	M
53_L08	23	7	H
53_L08	24	3	H
53_L08	25	S	M
53_L08	26	2	H
53_L08	27	G2	M
53_L08	28	OQ	M
53_L08	29	G7	M
53_L08	30	1	H
53_L08	31	S	M
53_L07	1	7	H
53_L07	2	5	H
53_L07	3	2	H
53_L07	4	DOT	H
53_L07	5	2	H
53_L07	6	3	H
53_L07	7	5	H
53_L07	8	1	H
53_L07	9	X	H
53_L07	10	5	H
53_L07	11	DOT	H
53_L07	12	0	H
53_L07	13	1	H
53_L07	14	F	M
53_L07	15	1	H
53_L07	16	X	H
53_L07	17	5	H
53_L07	18	0	H
53_L07	19	1	H
53_L07	20	COL	M
53_L07	21	G1	M
53_L07	22	4	H
53_L07	23	G3	M
53_L07	24	V	M
53_L07	25	1	H
