line	pos	sign	conf
57_L07	1	E	M
57_L07	2	8	M
57_L07	3	1	H
57_L07	4	E	H
57_L07	5	T	H
57_L07	6	E	H
57_L07	7	4	H
57_L07	8	S	H
57_L07	9	E	H
57_L07	10	7	H
57_L07	11	7	H
57_L07	12	0	M
57_L07	13	1	H
57_L07	14	5	H
57_L07	15	1	H
57_L07	16	E	M
57_L07	17	OQ	M
57_L07	18	X	H
57_L07	19	X	H
57_L07	20	1	H
57_L07	21	V	H
57_L07	22	Z	H
57_L07	23	1	H
57_L07	24	7	H
57_L07	25	Zb	M
57_L07	26	5	H
57_L07	27	3	H
57_L07	28	THE	M
57_L07	29	G1	M
57_L07	30	1	H
57_L07	31	7	H
57_L07	32	X	H
57_L07	33	X	H
57_L07	34	E	H
57_L07	35	G4	M
57_L07	36	1	H
57_L07	37	7	H
57_L07	38	7	H
57_L06	1	2	H
57_L06	2	1	H
57_L06	3	V	H
57_L06	4	7	H
57_L06	5	BOX	H
57_L06	6	G1	M
57_L06	7	1	H
57_L06	8	7	H
57_L06	9	DOT	H
57_L06	10	0	H
57_L06	11	6	M
57_L06	12	1	H
57_L06	13	E	H
57_L06	14	4	H
57_L06	15	F	M
57_L06	16	1	H
57_L06	17	V	H
57_L06	18	0	H
57_L06	19	1	H
57_L06	20	T	H
57_L06	21	G1	M
57_L06	22	3	H
57_L06	23	THE	M
57_L06	24	G1	M
57_L06	25	7	H
57_L06	26	X	H
57_L06	27	4	H
57_L06	28	5	H
57_L06	29	0	H
57_L06	30	1	H
57_L06	31	T	H
57_L06	32	X	H
57_L06	33	4	H
57_L06	34	5	H
57_L06	35	G1	M
57_L06	36	X	H
57_L06	37	X	H
57_L06	38	1	H
57_L06	39	V	H
57_L06	40	Z	H
57_L06	41	1	H
57_L06	42	7	H
57_L06	43	DOT	H
57_L06	44	X	H
57_L06	45	X	H
57_L06	46	1	H
57_L06	47	6	M
57_L06	48	4	H
57_L06	49	5	H
57_L06	50	T	M
57_L05	1	G3	M
57_L05	2	G1	M
57_L05	3	1	H
57_L05	4	DOT	H
57_L05	5	Z	H
57_L05	6	Z	H
57_L05	7	1	H
57_L05	8	V	H
57_L05	9	X	H
57_L05	10	X	H
57_L05	11	1	H
57_L05	12	6	M
57_L05	13	1	H
57_L05	14	7	H
57_L05	15	X	H
57_L05	16	G6	M
57_L05	17	G2	M
57_L05	18	7	H
57_L05	19	7	H
57_L05	20	1	H
57_L05	21	7	H
57_L05	22	1	H
57_L05	23	V	H
57_L05	24	3	H
57_L05	25	4	H
57_L05	26	5	H
57_L05	27	G1	M
57_L05	28	1	H
57_L05	29	7	H
57_L05	30	T	H
57_L05	31	G2	M
57_L05	32	6	H
57_L05	33	4	H
57_L05	34	5	H
57_L05	35	T	H
57_L05	36	X	H
57_L05	37	X	H
57_L05	38	1	H
57_L05	39	V	H
57_L05	40	Z	H
57_L05	41	1	H
57_L05	42	8	H
57_L05	43	1	H
57_L05	44	G6	M
57_L05	45	Z	H
57_L05	46	1	H
57_L05	47	7	H
57_L05	48	3	H
57_L05	49	7	H
57_L04	1	G6	M
57_L04	2	SG	M
57_L04	3	G6	M
57_L04	4	6	H
57_L04	5	G6	M
57_L04	6	3	H
57_L04	7	7	H
57_L04	8	X	H
57_L04	9	SG	M
57_L04	10	7	H
57_L04	11	G2	M
57_L04	12	4	H
57_L04	13	5	H
57_L04	14	6	M
57_L04	15	1	H
57_L04	16	G6	M
57_L04	17	T	H
57_L04	18	1	H
57_L04	19	G6	M
57_L04	20	7	H
57_L04	21	1	H
57_L04	22	SG	M
57_L04	23	2	H
57_L04	24	1	H
57_L04	25	T	H
57_L04	26	THE	M
57_L04	27	T	H
57_L04	28	DOT	H
57_L04	29	6	H
57_L04	30	1	H
57_L04	31	8	H
57_L04	32	1	H
57_L04	33	7	H
57_L04	34	X	M
57_L04	35	G6	M
57_L04	36	1	H
57_L04	37	G6	M
57_L04	38	COL	M
57_L04	39	1	H
57_L04	40	SG	M
57_L04	41	V	H
57_L04	42	G2	M
57_L04	43	SG	M
57_L04	44	G6	M
57_L04	45	T	H
57_L04	46	4	H
57_L04	47	S	H
57_L04	48	1	H
57_L03	1	0	H
57_L03	2	1	H
57_L03	3	T	H
57_L03	4	3	H
57_L03	5	7	H
57_L03	6	2	H
57_L03	7	Z	H
57_L03	8	G1	M
57_L03	9	5	H
57_L03	10	1	H
57_L03	11	7	H
57_L03	12	7	H
57_L03	13	8	H
57_L03	14	1	H
57_L03	15	6	M
57_L03	16	X	H
57_L03	17	7	H
57_L03	18	T	H
57_L03	19	T	H
57_L03	20	X	H
57_L03	21	4	H
57_L03	22	5	H
57_L03	23	1	H
57_L03	24	7	H
57_L03	25	6	H
57_L03	26	3	H
57_L03	27	G4	M
57_L03	28	1	H
57_L03	29	7	H
57_L03	30	T	H
57_L03	31	1	H
57_L03	32	G6	M
57_L03	33	7	H
57_L03	34	1	H
57_L03	35	7	H
57_L03	36	T	H
57_L03	37	G2	M
57_L03	38	5	H
57_L03	39	7	H
57_L03	40	G3	M
57_L03	41	THE	M
57_L03	42	SG	M
57_L03	43	G1	M
57_L03	44	DOT	H
57_L02	1	8	H
57_L02	2	1	H
57_L02	3	V	H
57_L02	4	0	H
57_L02	5	1	H
57_L02	6	7	H
57_L02	7	Z	H
57_L02	8	3	H
57_L02	9	T	H
57_L02	10	Z	H
57_L02	11	1	H
57_L02	12	V	H
57_L02	13	THE	M
57_L02	14	G7	M
57_L02	15	X	H
57_L02	16	V	H
57_L02	17	X	H
57_L02	18	X	H
57_L02	19	1	H
57_L02	20	7	H
57_L02	21	G6	M
57_L02	22	THE	M
57_L02	23	G1	M
57_L02	24	3	H
57_L02	25	0	H
57_L02	26	1	H
57_L02	27	7	H
57_L02	28	Z	H
57_L02	29	X	H
57_L02	30	V	H
57_L02	31	4	H
57_L02	32	S	H
57_L02	33	T	H
57_L02	34	1	H
57_L02	35	G6	M
57_L02	36	7	H
57_L02	37	1	H
57_L02	38	T	H
57_L02	39	G1	M
57_L02	40	3	H
57_L02	41	Z	H
57_L02	42	G1	M
57_L02	43	6	H
57_L02	44	G6	M
57_L02	45	4	H
57_L02	46	S	H
57_L02	47	1	H
57_L01	1	3	H
57_L01	2	X	H
57_L01	3	G7	M
57_L01	4	G7	M
57_L01	5	DOT	H
57_L01	6	G7	M
57_L01	7	V	H
57_L01	8	1	H
