line	pos	sign	value	grade
1	1	NW	wir	M
1	3	V	k	C
1	4	4	o	C
1	5	N	n	C
1	6	N	n	C
1	7	3	e	C
1	8	N	n	C
1	10	0	a	C
1	11	5	u	C
1	12	D	c	C
1	13	1	h	C
1	15	R	E.L.	M
1	17	Z	i	C
1	18	N	n	C
1	20	Qf	f	M
1	21	Or	r	C
1	22	3	e	C
1	23	5	u	C
1	24	N	n	C
1	25	Td	d	C
1	26	9	t	C
1	27	L	l	C
1	28	Z	i	C
1	29	D	c	C
1	30	1	h	C
1	31	3	e	C
1	32	L	m	M
1	34	5	u	C
1	35	3	e	C
1	36	Or	r	C
1	37	9	t	C
1	38	Or	r	C
1	39	0	a	C
1	40	5	u	C
2	1	3	e	C
2	2	N	n	C
2	4	N	n	C
2	5	Z	i	C
2	6	9	t	C
2	8	5	u	C
2	9	3	e	C
2	10	Or	r	C
2	11	1	h	C
2	12	0	a	C
2	13	L	l	C
2	14	9	t	C
2	15	3	e	C
2	16	N	n	C
2	18	EL8	das	M
2	20	NW	wir	M
2	22	Sb	s	C
2	23	3	e	C
2	24	Z	i	C
2	25	Td	d	C
2	26	1	h	C
2	27	3	e	C
2	28	Or	r	C
2	29	4	o	C
2	31	0	a	C
2	32	5	u	C
2	33	Sb	s	C
2	34	Sb	s	C
3	1	1	h	C
3	2	Z	i	C
3	3	Sb	s	C
3	4	Dp	p	C
3	5	0	a	C
3	6	N	n	C
3	7	Z	i	C
3	8	3	e	C
3	9	N	n	C
3	11	0	a	C
3	12	N	n	C
3	13	Td	d	C
3	14	3	e	C
3	15	Or	r	C
3	16	3	e	C
3	18	Yz	z	C
3	19	3	e	C
3	20	Z	i	C
3	21	9	t	C
3	22	5	u	C
3	23	N	n	C
3	24	Qg	g	C
3	26	Pb	b	C
3	27	3	e	C
3	28	V	k	C
3	29	4	o	C
3	30	L	m	M
3	31	L	m	M
3	32	3	e	C
3	33	N	n	C
4	1	1	h	C
4	2	0	a	C
4	3	Pb	b	C
4	4	3	e	C
4	5	N	n	C
4	7	8	w	C
4	8	3	e	C
4	9	L	l	C
4	10	D	c	C
4	11	1	h	C
4	12	3	e	C
4	14	5	u	C
4	15	3	e	C
4	16	Or	r	C
4	17	L	m	M
4	18	3	e	C
4	19	L	l	C
4	20	Td	d	C
4	21	3	e	C
4	22	N	n	C
4	24	EL8	das	M
4	26	K	die	M
4	28	V	k	C
4	29	4	o	C
4	30	N	n	C
4	31	N	n	C
4	32	Z	i	C
4	33	Qg	g	C
4	34	Z	i	C
4	35	N	n	C
5	1	Sb	s	C
5	2	4	o	C
5	4	1	h	C
5	5	3	e	C
5	6	Pf	f	M
5	7	9	t	M
5	8	Z	i	C
5	9	Qg	g	C
5	11	ARR	k	M
5	12	Or	r	C
5	13	0	a	C
5	14	N	n	C
5	15	D	c	C
5	17	ARR	ge	M
5	18	8	w	C
5	19	4	o	C
5	20	Or	r	C
5	21	Td	d	C
5	22	3	e	C
5	23	N	n	C
5	25	Sb	s	C
5	26	3	e	C
5	27	Z	i	C
5	29	EL8	das	M
5	31	L	m	M
5	32	0	a	C
5	33	N	n	C
5	35	1	i	M
5	36	Or	r	C
6	1	K	die	M
6	3	0	a	C
6	4	Td	d	C
6	5	3	e	C
6	6	Sb	s	C
6	7	N	n	C
6	9	Yz	z	C
6	10	8	w	C
6	11	3	e	C
6	12	1	i	M
6	14	L	m	M
6	15	0	a	C
6	16	1	h	C
6	17	L	l	C
6	19	Sb	s	C
6	20	L	l	C
6	21	0	a	C
6	22	Qg	g	C
6	23	3	e	C
6	24	N	n	C
6	26	M	und	C
6	28	0	a	C
6	29	5	u	C
6	30	D	c	C
6	31	1	h	C
6	33	Yz	z	C
6	34	8	w	C
6	35	3	e	C
6	36	Z	i	C
6	38	L	m	M
6	39	0	a	C
6	40	1	h	C
6	41	L	l	C
7	1	Dp	p	C
7	2	5	u	C
7	3	Or	r	C
7	4	Qg	g	C
7	5	Z	i	C
7	6	3	e	C
7	7	Or	r	C
7	8	3	e	C
7	9	N	n	C
7	11	L	m	M
7	12	5	u	C
7	13	Sb	s	C
7	14	Sb	s	C
7	15	3	e	C
7	16	N	n	C
7	18	Td	d	C
7	19	3	e	C
7	20	Or	r	C
7	21	L	m	M
7	22	0	a	C
7	23	Sb	s	C
7	24	Sb	s	C
7	25	3	e	C
7	26	N	n	C
7	28	EL8	das	M
7	30	Sb	s	C
7	31	Z	i	C
7	32	3	e	C
8	1	Z	i	C
8	2	Or	r	C
8	3	3	e	C
8	4	Or	r	C
8	6	Pf	f	M
8	7	Or	r	C
8	8	5	u	C
8	9	D	c	C
8	10	1	h	C
8	11	9	t	C
8	13	3	e	C
8	14	Or	r	C
8	15	L	l	C
8	16	3	e	C
8	17	Td	d	C
8	18	Z	i	C
8	19	Qg	g	C
8	20	3	e	C
8	21	9	t	C
8	23	8	w	C
8	24	4	o	C
8	25	Or	r	C
8	26	Td	d	C
8	27	3	e	C
8	28	N	n	C
8	30	Sb	s	C
8	31	3	e	C
8	32	Z	i	C
