ia	correspondancede02will	Gachard, Correspondance de Guillaume le Taciturne t.2
ia	correspondanced01willgoog	Gachard, Correspondance t.1
ia	bub_gb_3N1SAAAAcAAJ	Kluckhohn, Briefe Friedrich des Frommen I (1868)
ia	wilhelmvonorani01rachgoog	Rachfahl, Wilhelm von Oranien I (1906)
ia	wilhelmvonorani00rachgoog	Rachfahl, Wilhelm von Oranien II (1908)
ia	annachurfrstin00webe	von Weber, Anna Churfürstin zu Sachsen (1865)
ia	bub_gb_EQ4MAAAAYAAJ	Raumer, Briefe aus Paris (1831)
openalex	Wilhelm von Oranien August von Sachsen 1564	scholarship
openalex	Anna von Sachsen Oranien Heirat Kursachsen	scholarship
crossref	Wilhelm von Oranien Kurfürst August Sachsen Briefwechsel	scholarship
