line	col	A	B	flagged	crop
f1v_L17	14	q	a		ciphers/beinecke-mellon29-elia/images/f1v_L17.jpg
f1v_L17	18	z	3		ciphers/beinecke-mellon29-elia/images/f1v_L17.jpg
f1v_L17	35	q	g		ciphers/beinecke-mellon29-elia/images/f1v_L17.jpg
f1v_L18	1	q	y		ciphers/beinecke-mellon29-elia/images/f1v_L18.jpg
f1v_L18	3	q	a		ciphers/beinecke-mellon29-elia/images/f1v_L18.jpg
f1v_L18	8	v	y		ciphers/beinecke-mellon29-elia/images/f1v_L18.jpg
f1v_L18	17	3	z		ciphers/beinecke-mellon29-elia/images/f1v_L18.jpg
f1v_L18	23	-	p		ciphers/beinecke-mellon29-elia/images/f1v_L18.jpg
f1v_L18	24	-	/		ciphers/beinecke-mellon29-elia/images/f1v_L18.jpg
f1v_L18	26	-	i		ciphers/beinecke-mellon29-elia/images/f1v_L18.jpg
f1v_L18	27	-	s		ciphers/beinecke-mellon29-elia/images/f1v_L18.jpg
f1v_L18	28	-	t		ciphers/beinecke-mellon29-elia/images/f1v_L18.jpg
f1v_L18	29	-	a		ciphers/beinecke-mellon29-elia/images/f1v_L18.jpg
f1v_L18	30	-	/		ciphers/beinecke-mellon29-elia/images/f1v_L18.jpg
f1v_L18	31	-	i		ciphers/beinecke-mellon29-elia/images/f1v_L18.jpg
f1v_L18	32	-	m		ciphers/beinecke-mellon29-elia/images/f1v_L18.jpg
f2r_L08	2	/	-		ciphers/beinecke-mellon29-elia/images/f2r_L08.jpg
f2r_L09	19	q	g	B	ciphers/beinecke-mellon29-elia/images/f2r_L09.jpg
f2r_L09	21	s	f		ciphers/beinecke-mellon29-elia/images/f2r_L09.jpg
f2r_L09	25	7	a		ciphers/beinecke-mellon29-elia/images/f2r_L09.jpg
f2r_L09	30	s	f		ciphers/beinecke-mellon29-elia/images/f2r_L09.jpg
f2r_L09	31	s	f		ciphers/beinecke-mellon29-elia/images/f2r_L09.jpg
f2v_L02	9	g	q		ciphers/beinecke-mellon29-elia/images/f2v_L02.jpg
f2v_L02	12	7	z		ciphers/beinecke-mellon29-elia/images/f2v_L02.jpg
f2v_L02	13	g	q		ciphers/beinecke-mellon29-elia/images/f2v_L02.jpg
f2v_L03	1	q	g		ciphers/beinecke-mellon29-elia/images/f2v_L03.jpg
f2v_L03	3	q	a		ciphers/beinecke-mellon29-elia/images/f2v_L03.jpg
f2v_L03	8	q	g		ciphers/beinecke-mellon29-elia/images/f2v_L03.jpg
f2v_L03	13	3	z		ciphers/beinecke-mellon29-elia/images/f2v_L03.jpg
f2v_L04	3	q	g		ciphers/beinecke-mellon29-elia/images/f2v_L04.jpg
f2v_L04	12	-	'		ciphers/beinecke-mellon29-elia/images/f2v_L04.jpg
f2v_L05	8	-	/		ciphers/beinecke-mellon29-elia/images/f2v_L05.jpg
f2v_L05	13	-	/		ciphers/beinecke-mellon29-elia/images/f2v_L05.jpg
f2v_L05	14	-	B		ciphers/beinecke-mellon29-elia/images/f2v_L05.jpg
f2v_L05	15	ß	l		ciphers/beinecke-mellon29-elia/images/f2v_L05.jpg
f2v_L06	2	q	a		ciphers/beinecke-mellon29-elia/images/f2v_L06.jpg
f2v_L06	4	-	g		ciphers/beinecke-mellon29-elia/images/f2v_L06.jpg
f2v_L06	5	q	/		ciphers/beinecke-mellon29-elia/images/f2v_L06.jpg
f2v_L06	7	q	a		ciphers/beinecke-mellon29-elia/images/f2v_L06.jpg
f2v_L06	9	-	'		ciphers/beinecke-mellon29-elia/images/f2v_L06.jpg
f2v_L06	13	s	f		ciphers/beinecke-mellon29-elia/images/f2v_L06.jpg
f2v_L07	1	-	9		ciphers/beinecke-mellon29-elia/images/f2v_L07.jpg
f2v_L07	2	q	/		ciphers/beinecke-mellon29-elia/images/f2v_L07.jpg
f2v_L07	10	-	'		ciphers/beinecke-mellon29-elia/images/f2v_L07.jpg
f2v_L07	12	3	z		ciphers/beinecke-mellon29-elia/images/f2v_L07.jpg
f2v_L08	4	-	/		ciphers/beinecke-mellon29-elia/images/f2v_L08.jpg
f2v_L08	7	-	a		ciphers/beinecke-mellon29-elia/images/f2v_L08.jpg
f2v_L08	8	q	/		ciphers/beinecke-mellon29-elia/images/f2v_L08.jpg
f2v_L09	1	x	X		ciphers/beinecke-mellon29-elia/images/f2v_L09.jpg
f2v_L09	2	i	I		ciphers/beinecke-mellon29-elia/images/f2v_L09.jpg
f2v_L09	6	-	/		ciphers/beinecke-mellon29-elia/images/f2v_L09.jpg
f2v_L09	8	-	/		ciphers/beinecke-mellon29-elia/images/f2v_L09.jpg
f2v_L09	10	g	q		ciphers/beinecke-mellon29-elia/images/f2v_L09.jpg
f2v_L10	3	g	/		ciphers/beinecke-mellon29-elia/images/f2v_L10.jpg
f2v_L10	5	-	g		ciphers/beinecke-mellon29-elia/images/f2v_L10.jpg
f2v_L10	8	-	/		ciphers/beinecke-mellon29-elia/images/f2v_L10.jpg
f2v_L11	3	-	/		ciphers/beinecke-mellon29-elia/images/f2v_L11.jpg
f2v_L11	10	v	y		ciphers/beinecke-mellon29-elia/images/f2v_L11.jpg
f2v_L11	11	a	n		ciphers/beinecke-mellon29-elia/images/f2v_L11.jpg
f2v_L12	3	-	/		ciphers/beinecke-mellon29-elia/images/f2v_L12.jpg
f2v_L12	8	q	g		ciphers/beinecke-mellon29-elia/images/f2v_L12.jpg
