f1v_L16	o l o r
f1v_L17	R e r p i j / l e o r / s a l g r 3 / h s h r / h y o r / l a r o h g t
f1v_L18	y s a / y h z y / s o l i r / t z 5 / n o y p / p i s t a / i m
f2r_L08	y l i o r
f2r_L09	l a y / g? n o t r h / g? h p l r / a g? k f r o / a s h u k f f
f2r_L10	q p r / s q r q h s / h r / h q i h z / y z / s e t / V z / V s / s n / q r p t
f2v_L01	f r c o n / p q q v
f2v_L02	l r q r l r p n q s r z q
f2v_L03	g r a r s i p g s o p / z g '
f2v_L04	i r g p s h k s c e l '
f2v_L05	r g l p s o n / s p y h / B l
f2v_L06	p a y g / p a s ' / q / f t
f2v_L07	9 / q s g q x q k ' b z
f2v_L08	p r k / s y a / s 7 q p
f2v_L09	X I / a k / 7 / s q o l
f2v_L10	7 n / q g p y / p e 7 r
f2v_L11	q k / s q r o n q y n
f2v_L12	7 t / h y / h g p q h / v v
