# Reading of Tomokiyo's eleven fragments with key.tsv, per token, 24 Sept 2026. Generated by check.py --write;
# check.py exits non-zero if this file no longer matches ciphertext.txt + key.tsv + the repairs in check.py.
fragment	pos	sign	value	grade	note
F1	1	07	s	S	
F1	2	16	i	S	
F1	3	06	r	S	
F1	4	17	h	S	
F1	5	10	e	S	
F1	6	11	n	S	
F1	7	11	n	I	key gives n (sign 11); 'Sir Henry Cobham' expects r: Henri read as Henni
F1	8	16	i	S	
F1	9	18	c	S	
F1	10	20	o	M	
F1	11	21	b	M	
F1	12	17	h	S	
F1	13	19	a	S	
F1	14	12	m	S	
F2	1	07	s	S	
F2	2	12	m	S	
F2	3	19	a	S	
F2	4	13	l	S	
F2	5	13	l	S	
F2	6	10	e	S	
F2	7	08	t	S	
F3	1	23	g	M	
F3	2	18	c	I	sign 18 (c) between the g-sign and 'lencarne'; not in 'Glencarne'; slip or misread
F3	3	13	l	S	
F3	4	10	e	S	
F3	5	11	n	S	
F3	6	18	c	S	
F3	7	19	a	S	
F3	8	06	r	S	
F3	9	11	n	S	
F3	10	10	e	S	
F4	1	12	m	S	
F4	2	19	a	S	
F4	3	22	g	S	
F4	4	11	n	S	
F4	5	24	y	M	
F4	6	09	u	S	
F4	7	16	i	S	
F4	8	13	l	S	
F4	9	17	h	S	
F4	10	06	r	I	key gives r (sign 06); 'Huntley' expects u
F4	11	11	n	S	
F4	12	08	t	S	
F4	13	13	l	S	
F4	14	10	e	S	
F4	15	24	y	M	
F4	16	20	o	M	
F4	17	22	g	S	
F4	18	13	l	S	
F4	19	10	e	S	
F4	20	11	n	S	
F4	21	18	c	S	
F4	22	19	a	S	
F4	23	06	r	S	
F4	24	11	n	S	
F4	25	10	e	S	
F4	26	27	?	-	
F5	1	28	?	-	
F6	1	12	m	S	
F6	2	19	a	S	
F6	3	09	u	S	
F6	4	09	u	S	
F6	5	16	i	S	
F6	6	07	s	S	
F6	7	07	s	S	
F6	8	16	i	S	
F6	9	10	e	S	
F6	10	06	r	S	
F7	1	07	s	S	
F7	2	12	m	S	
F7	3	19	a	S	
F7	4	13	l	S	
F7	5	13	l	S	
F7	6	14	e	M	
F7	7	08	t	S	
F8	1	15	?	-	
F8	2	22	g	S	
F8	3	13	l	S	
F8	4	10	e	S	
F8	5	11	n	S	
F8	6	18	c	S	
F8	7	26	a	M	
F8	8	06	r	S	
F8	9	11	n	S	
F9	1	17	h	S	
F9	2	16	i	S	
F9	3	07	s	S	
F9	4	06	r	S	
F9	5	09	u	S	
F9	6	08	t	S	
F9	7	17	h	S	
F9	8	10	e	S	
F9	9	11	n	S	
F10	1	02	?	-	
F10	2	02	?	-	
F10	3	03	?	-	
F11	1	03	?	-	
F11	2	25	?	-	
F11	3	17	h	S	
F11	4	16	i	S	
F11	5	12	m	S	
#fragment	decoded (key only)	as read	parallel Letter-Book text
#F1	sirhennicobham	sir henri cobham	CLXXXVII: 'Sir Henry Cobham with 870 and Smallet'
#F2	smallet	smallet	CLXXXVII: 'Smallet' (first mention)
#F3	gclencarne	glencarne	CLXXXVII: 'credit by and with Glencarne'
#F4	magnyuilhrntleyoglencarne?	magnyuil huntley ? glencarne ?	CLXXXVII: 'Manningvile, Huntley, Glencarne, and Montrosse'
#F5	?	?	code sign; CLXXXVII next has '870' (not verified)
#F6	mauuissier	mauuissier	CLXXXVII: 'offer himself to Mauvisier'
#F7	smallet	smallet	CLXXXVII: 'return of Smallet' (second mention, printed 'Smaller')
#F8	?glencarn	? glencarn	CCXL: 'This day Glencarne and 223'
#F9	hisruthen	his ruthen	CCXL: 'at Ruthen on his person' / 'his fault at Ruthen'
#F10	???	? ? ?	unread; pattern AAB fits the code number 223 of CCXL (not verified)
#F11	??him	? ? him	unread; last three signs decode to h i m
#grades	S 82	M 8	I 3	H 0	C 0	unread 8	total 101
