line	pos	token	conf	alt	note
f226r_C1	1	55	M	A:_35|B:35	both figures have the flat-topped 5 form; both passes 35
f226r_C1	2	18	H		
f226r_C1	3	_84	H		
f226r_C1	4	>	H	A:v	hook sign, distinct from the loop v (A v, B >)
f226r_C1	5	35	H		
f226r_C2	1	40	H	A:_40	
f226r_C2	2	54	H	A:_54	
f226r_C2	3	Z	H	A:63	Z present on the image, missed by A
f226r_C2	4	65	H	A:-	6 + flat-topped 5 (the hand writes 5 like a z with a flat top; 3 has a round top)
f226r_C2	5	64	H		
f226r_C2	6	_88	H		
f226r_C2	7	48	H	A:_48	
f226r_C2	8	Z	H		
f226r_C2	9	d	H		
f226r_C2	10	13	H		
f226r_C2	11	w	H	A:n	
f226r_C2	12	_27	H		
f226v_C01	1	_94	H	B:94	
f226v_C01	2	9_	H	A:9|B:9	bar through the tail at baseline
f226v_C01	3	y_	H	A:y|B:y	
f226v_C01	4	68	H		
f226v_C01	5	~	H	A:L|B:-	long swash; A L, B v
f226v_C01	6	v	H		small open loop; B c
f226v_C01	7	70	H		
f226v_C01	8	55	H		
f226v_C01	9	18	H		
f226v_C01	10	28	H		
f226v_C01	11	_99	H	B:99	
f226v_C01	12	Z	H		
f226v_C01	13	65	H	B:63	
f226v_C02	1	2#	H		2 followed by a double-barred cross; same sign at f226v_C12/8
f226v_C02	2	_81	H	A:81|B:81	
f226v_C02	3	77	H	A:99	A 99; two 7s on the crop
f226v_C02	4	~	H	A:L|B:c	swash omitted by A; B c
f226v_C02	5	v	H	A:-|B:-	
f226v_C02	6	X	H		
f226v_C02	7	65	H		
f226v_C02	8	Z	H		
f226v_C02	9	~	H	A:-|B:c	swash omitted by both passes
f226v_C02	10	y_	H	A:y|B:y	
f226v_C02	11	70	H		
f226v_C02	12	p	H		
f226v_C02	13	82	H		
f226v_C02	14	Z	H		
f226v_C03	1	w	H	B:un	
f226v_C03	2	Z	H		
f226v_C03	3	65	H	A:_64|B:63	flat-topped 5; A 64, B 63
f226v_C03	4	9	H		
f226v_C03	5	72	H		
f226v_C03	6	Z	H		
f226v_C03	7	v	H		
f226v_C03	8	60	H		
f226v_C03	9	Z	H		
f226v_C03	10	50	H		
f226v_C03	11	y	H		
f226v_C04	1	L	H		
f226v_C04	2	60	H		
f226v_C04	3	_71	H	B:71	
f226v_C04	4	9+	M	A:91|B:gt	9 followed by a cross (A 91, B gt); unlike the plain 91 at f226v_C10/1
f226v_C04	5	33	H		
f226v_C04	6	40	H	A:_40	slanting stroke over the 4 is the descender of the interlinear word above, not an overline
f226v_C04	7	Z	H		
f226v_C04	8	v	H		
f226v_C04	9	60	H		
f226v_C04	10	Z	H		
f226v_C04	11	_88	H	B:88	
f226v_C04	12	36	H		
f226v_C04	13	_88	H	B:88	
f226v_C05	1	31	H		
f226v_C05	2	y_	H	A:y|B:y	
f226v_C05	3	72	H		
f226v_C05	4	rr	H		
f226v_C05	5	9_	H	A:9|B:9	
f226v_C05	6	54	H	A:_54	
f226v_C05	7	y_	H	A:y|B:y	
f226v_C05	8	L	H		
f226v_C05	9	22	H		
f226v_C05	10	9	H		
f226v_C05	11	60	H		
f226v_C05	12	41	H	A:_41	
f226v_C05	13	rr	H		
f226v_C05	14	75	H		
f226v_C06	1	ff	H		
f226v_C06	2	24	H		
f226v_C06	3	62	H		
f226v_C06	4	~	H	A:v|B:c	
f226v_C06	5	9_	H	A:9|B:9	
f226v_C06	6	y_	H	A:y|B:y	
f226v_C06	7	v	H		
f226v_C06	8	29	H		
f226v_C06	9	Z	H		
f226v_C06	10	~	H	A:v|B:c	
f226v_C06	11	y_	H	A:y|B:y	
f226v_C06	12	Z	H		
f226v_C07	1	69	H		
f226v_C07	2	y_	H	A:y|B:y	
f226v_C07	3	_82	H	A:82|B:82	
f226v_C07	4	Z	H		
f226v_C08	1	69	H		
f226v_C08	2	rr	H		
f226v_C08	3	y	H		short unlooped y form (also f226v_C14/4, f227r_C04/6, f227r_C05/5)
f226v_C08	4	25	H	B:23	2 + flat-topped 5; B 23
f226v_C08	5	9_	H	A:9|B:9	
f226v_C08	6	X	H		
f226v_C08	7	_88	H	B:88	
f226v_C08	8	_82	H	A:82|B:82	
f226v_C08	9	ff	H		
f226v_C08	10	24	H		
f226v_C09	1	23	H		
f226v_C09	2	_94	H	B:94	
f226v_C09	3	w	H		
f226v_C09	4	~	H	A:-|B:c	swash omitted by A; B c
f226v_C09	5	y_	H	A:y|B:y	
f226v_C09	6	66	H		
f226v_C09	7	24	H		
f226v_C09	8	71	H		
f226v_C09	9	v	H		
f226v_C09	10	60	H		
f226v_C09	11	103	H		
f226v_C10	1	_91	H	B:91	
f226v_C10	2	9	H		
f226v_C10	3	rr	H		
f226v_C10	4	75	H		
f226v_C10	5	X	H		
f226v_C10	6	39	H		
f226v_C10	7	81	H		
f226v_C10	8	_88	H	B:88	
f226v_C10	9	40	H	A:_40	
f226v_C10	10	75	H	A:73|B:73	
f226v_C10	11	X	H		7 + flat-topped 5, the same form as pos 4; both passes 73
f226v_C10	12	41	H	A:_41	
f226v_C11	1	~	H	A:-|B:-	swash at line start omitted by both passes (visible on f226v_L17_s2)
f226v_C11	2	Z	H		
f226v_C11	3	65	H		
f226v_C11	4	v	H		
f226v_C11	5	62	H		
f226v_C11	6	rr	H		
f226v_C11	7	75	H	A:35	A 35
f226v_C11	8	59	H	A:39	A 39
f226v_C11	9	_100	H	A:100|B:100	
f226v_C11	10	X	H		
f226v_C11	11	71	H		
f226v_C11	12	m	H		
f226v_C12	1	_99	H	A:99|B:99	
f226v_C12	2	9_	H	A:9|B:9	
f226v_C12	3	_91	H	A:91|B:91	
f226v_C12	4	39	H		
f226v_C12	5	50	H		
f226v_C12	6	Z	H		
f226v_C12	7	65	H		
f226v_C12	8	2#	H		
f226v_C12	9	66	H		
f226v_C12	10	q	H	A:9	q with a slash; A 9
f226v_C12	11	y_	H	A:y|B:y	
f226v_C12	12	102	H		
f226v_C13	1	31	H		
f226v_C13	2	~	H	A:v|B:v	
f226v_C13	3	y_	H	A:y|B:y	
f226v_C13	4	70	H		
