leaf	line	pos	token	conf	layer	alt	note
f253L	R00	1	[B]oulogne	M	clear		faint dateline top left, partly lost; year from docket f.248v
f253L	R00	2	ce	M	clear		
f253L	R00	3	26e	M	clear		
f253L	R00	4	mars	M	clear		
f253L	R00	5	1696	M	clear		
f253L	R01	1	i'ay	H	clear		143: last digit overwritten (passA 148?)
f253L	R01	2	veu	H	clear		
f253L	R01	3	ce	H	clear		
f253L	R01	4	matin	H	clear		
f253L	R01	5	722	H	cipher		
f253L	R01	6	143	M	cipher		
f253L	R01	7	185	H	cipher		
f253L	R01	8	38	H	cipher		
f253L	R01	9	151	H	cipher		
f253L	R01	10	34	H	cipher		
f253L	R01	11	224	H	cipher		
f253L	R02	1	198	H	cipher		
f253L	R02	2	17	H	cipher		
f253L	R02	3	168	H	cipher		
f253L	R02	4	18	H	cipher		
f253L	R02	5	119	H	cipher		
f253L	R02	6	50	H	cipher		
f253L	R02	7	301	H	cipher		
f253L	R02	8	28	H	cipher		
f253L	R02	9	277	H	cipher		
f253L	R02	10	290	H	cipher		
f253L	R02	11	238	H	cipher		
f253L	R02	12	10	H	cipher		
f253L	R02	13	301	H	cipher		
f253L	R02	14	14	H	cipher		
f253L	R02	15	200	H	cipher		
f253L	R03	1	il	H	clear		
f253L	R03	2	m'a	H	clear		
f253L	R03	3	paru	H	clear		
f253L	R03	4	beaucoup	H	clear		
f253L	R03	5	249	H	cipher		
f253L	R03	6	18	H	cipher		
f253L	R03	7	15	H	cipher		
f253L	R03	8	24	H	cipher		
f253L	R03	9	267	H	cipher		
f253L	R03	10	30	H	cipher		
f253L	R03	11	278	H	cipher		
f253L	R03	12	259	H	cipher		
f253L	R04	1	133	H	cipher		145|146
f253L	R04	2	119	H	cipher		
f253L	R04	3	35	H	cipher		
f253L	R04	4	292	H	cipher		
f253L	R04	5	206	H	cipher		
f253L	R04	6	251	H	cipher		
f253L	R04	7	13	H	cipher		
f253L	R04	8	145	M	cipher		
f253L	R04	9	25	H	cipher		
f253L	R04	10	268	H	cipher		
f253L	R04	11	278	H	cipher		
f253L	R04	12	il	H	clear		
f253L	R04	13	m'a	H	clear		
f253L	R05	1	dit	H	clear		
f253L	R05	2	seulement	H	clear		
f253L	R05	3	qu'il	H	clear		
f253L	R05	4	croyoit	H	clear		
f253L	R05	5	et	H	clear		
f253L	R05	6	ie	H	clear		
f253L	R05	7	trouve	H	clear		
f253L	R05	8	que	H	clear		
