line	col	A	B	flagged	crop
01	4	-	S79		
01	7	X	|	A	
01	11	-	10		
01	12	104	4		
01	15	X	|	A	
01	16	S23	5		
01	20	15	-		
01	21	S33	S40		
01	23	X	|	A	
01	25	S51	-		
01	28	-	X	B	
01	29	-	S44		
01	30	9	S21		
01	31	5	05		
01	32	X	|	A	
02	1	102	-		
02	4	-	|		
02	5	-	6		
02	6	26	S13		
02	9	60	-		
02	10	S33	-		
02	12	-	|		
02	15	9	-		
02	17	X	-	A	
02	19	7	-		
02	20	6	-		
02	21	4	-		
02	22	11	|		
02	23	S13	S79		
02	24	104	64		
02	26	60	-		
02	27	S33	-		
02	28	X	-	A	
02	30	S28	S19		
02	31	S29	|		
02	33	9	-		
02	34	|	-		
02	35	5	S28		
02	38	S13	-		
02	39	X	-	A	
02	40	X	S44	A	
02	41	X	12	A	
03	1	S27	-		
03	2	4	-		
03	3	0	-		
03	5	|	-		
03	7	X	-	A	
03	9	-	S34		
03	10	6	|		
03	11	S13	64		
03	12	X	S63	A	
03	14	S40	|		
03	16	9	-		
03	17	S33	-		
03	18	X	-	A	
03	19	6	61		
03	21	-	9		
03	23	-	1		
03	24	16	6		
03	27	6	|		
03	30	60	-		
03	31	S44	-		
03	32	64	-		
03	33	S13	-		
03	34	4	X	B	
03	35	05	X	B	
03	39	-	1		
03	40	-	4		
03	41	-	S44		
03	42	14	12		
03	43	S69	S34		
04	1	S23	-		
04	2	S44	-		
04	3	8	-		
04	5	-	|		
04	8	52	|		
04	11	-	|		
04	12	-	S40		
04	13	-	5		
04	14	-	16		
04	15	S33	S54		
04	16	516	0		
04	17	S23	S13		
04	20	-	X	B	
04	21	S37	|		
04	23	-	5		
04	24	16	6		
04	25	X	S44	A	
04	27	S23	S13		
04	30	S13	S38		
04	33	-	S64		
05	1	-	S21		
05	2	26	6		
05	3	115	15		
05	5	X	-	A	
05	7	13	-		
05	8	23	S44		
05	10	9	-		
05	14	|	1		
05	15	8	S44		
05	16	12	|		
05	17	S33	X	B	
05	19	-	|		
05	21	27	X	B	
05	26	-	S21		
05	27	S51	5		
05	29	60	601		
05	30	12	2		
06	1	S23	S13		
06	2	S46	X	B	
06	5	23	-		
06	6	1	-		
06	7	S13	3		
06	8	60	X	B	
06	9	S40	69		
