line	pos	sign	conf	value	grade
01	1	64	M	i	M
01	2	12	H	a	C
01	3	73	H	y	C
01	4	S34	H	r	C
01	5	26	M	e	M
01	6	9	H	c	I
01	7	16	H	e	C
01	8	104	H	u	C
01	9	S27	H	l	C
01	10	62	H	e	M
01	11	S23	H	s	I
01	13	5	H	l	C
01	14	16	H	e	C
01	15	58	M	tt	M
01	16	S33	M	r	M
01	17	62	M	e	M
01	18	S32	M	que	I
01	19	S35	H	vous	I
01	21	12	H	a	C
01	22	S31	M	p	M
01	23	5	H	l	C
01	24	26	M	e	M
02	1	102	M	u	M
02	3	S29	H	m	M
02	4	26	M	e	M
02	5	S36	M	s	M
02	6	9	M	c	I
02	7	S34	H	r	C
02	8	60	M	i	M
02	9	S33	M	r	M
02	10	26	H	e	M
02	12	S16	H	d	I
02	13	102	M	u	M
02	15	7	H	u	C
02	16	64	M	i	M
02	17	15	H	n	C
02	18	S03	H	g	M
02	19	4	H	t	I
02	20	104	H	u	C
02	21	S30	H	n	C
02	22	S03	H	g	M
02	24	60	M	i	M
02	25	26	M	e	M
02	26	S36	M	s	M
02	27	S29	H	m	M
02	28	16	H	e	H
02	30	S16	H	d	I
02	31	104	H	u	C
02	33	S31	M	p	M
02	34	12	H	a	C
03	1	S36	M	s	M
03	2	62	H	e	H
03	4	22	H	pour	C
03	6	S34	M	r	M
03	7	26	M	e	M
03	8	S36	M	s	M
03	9	S31	H	p	C
03	10	82	M	o	M
03	11	15	H	n	C
03	12	9	M	c	M
03	13	S40	M	r	I
03	14	62	M	e	M
03	15	6	H	?	U
03	17	S16	M	d	I
03	18	16	M	e	M
03	19	9	M	c	I
03	20	26	M	e	M
03	21	S32	M	que	M
03	23	S36	M	s	M
03	24	9	H	c	C
03	25	60	M	i	M
03	26	S31	M	p	M
03	27	64	M	i	M
03	28	44	M	o	M
03	29	15	H	n	C
03	30	S35	H	vous	I
03	32	14	H	a	C
03	33	S34	M	r	M
03	34	16	M	e	M
04	1	S36	M	s	M
04	2	S31	H	p	C
04	3	82	H	o	C
04	4	S30	H	n	C
04	5	S16	M	d	I
04	6	104	H	u	C
04	7	S16	M	d	I
04	8	26	H	e	M
04	9	S36	M	s	M
04	11	7	H	u	C
04	12	S33	M	r	M
04	13	5	M	l	M
04	14	16	M	e	M
04	15	S02	M	f	M
04	16	14	H	a	C
04	17	64	M	i	M
04	18	S37	H	t	C
04	20	22	H	pour	C
04	21	5	H	l	C
04	22	16	M	e	M
04	23	S32	M	que	I
04	24	S44	M	NULL	M
04	26	62	M	e	M
04	27	S36	M	s	M
04	28	S37	H	t	C
04	29	82	H	o	C
04	30	60	M	i	M
04	31	S38	H	t	M
04	33	104	M	u	M
05	1	26	M	e	M
05	2	15	H	n	C
05	3	102	M	u	M
05	5	S31	H	p	C
05	6	28	H	a	C
05	7	S34	H	r	C
05	8	S16	M	d	I
05	9	26	H	e	M
05	10	9	M	c	M
05	11	14	H	a	C
05	13	S31	H	p	C
05	14	12	H	a	C
05	15	S33	M	r	M
05	16	S27	H	l	C
05	17	26	M	e	M
05	18	S36	M	s	M
05	19	S32	H	q	C
05	20	102	M	u	M
05	21	16	M	e	M
05	22	68	M	tt	I
05	23	62	M	e	M
05	24	S35	H	s	M
05	26	60	M	i	M
05	27	12	H	a	C
05	28	73	H	y	C
05	30	26	M	e	M
06	1	S36	M	s	M
06	2	S38	H	t	M
06	3	16	M	e	M
06	5	3	H	b	H
06	6	60	M	i	M
06	7	15	M	n	M
06	9	S42	H	NULL	H
06	10	26	M	e	M
06	11	S30	H	n	H
06	13	S02	M	f	M
06	14	44	M	o	M
06	15	S34	H	r	C
06	16	S37	H	t	C
06	18	12	H	a	C
06	19	7	M	u	M
06	20	?	M	?	U
06	21	S36	M	s	M
06	22	16	M	e	M
06	24	5	H	d	C
06	25	26	M	e	M
06	26	15	H	n	C
06	27	S37	H	t	C
06	28	62	M	e	M
06	29	11	H	n	I
06	30	5	H	d	C
06	31	S33	M	r	M
06	32	16	M	e	M
06	34	S32	M	que	M
06	35	5	M	l	M
06	36	16	M	e	M
06	37	S36	M	s	M
06	38	S02	M	f	M
07	1	82	M	o	M
07	2	S34	H	r	C
07	3	9	M	c	M
07	4	16	M	e	M
07	5	S36	M	s	M
07	7	S32	M	que	I
07	8	S35	H	vous	I
07	10	S29	H	m	M
07	11	26	M	e	M
07	12	15	H	n	C
07	13	16	M	e	M
07	14	S40	M	r	I
07	16	S35	H	s	M
07	17	44	M	o	M
07	18	60	H	i	M
07	19	26	M	e	M
07	20	15	H	n	C
07	21	S37	H	t	C
07	23	S37	H	t	C
07	25	26	M	e	M
07	26	68	H	ll	I
07	27	16	M	e	M
07	28	S36	M	s	M
07	30	S32	M	que	M
07	31	S35	H	vous	I
07	32	S29	H	m	M
07	33	12	H	a	C
07	34	15	H	n	C
07	35	5	H	d	C
07	36	16	M	e	M
08	1	75	M	?	U
08	3	S06	M	NULL	M
08	4	S40	H	r	I
08	5	S30	H	n	C
08	6	44	M	o	M
08	7	15	H	n	C
08	8	S36	M	s	M
08	9	16	M	e	M
08	10	104	H	u	C
08	11	68	H	ll	I
08	12	26	M	e	M
08	13	S29	H	m	M
08	14	62	M	e	M
08	15	15	H	n	C
08	16	S37	H	t	C
08	18	22	M	pour	M
08	20	S27	M	l	M
