canvas	line	idx	token	gloss	context_before	context_after
20	15	1	6	Je parle des Suedois	affaire a des gens	25
20	15	2	25		6	zz
20	15	3	zz		25	11
20	15	4	11		zz	83
20	15	5	83		11	v
20	15	6	v		83	44
20	15	7	44		v	w'
20	15	8	w'		44	85
20	15	9	85		w'	d
20	15	10	d		85	z
20	15	11	z		d	asseurez de leur
20	17	1	42		bonne fortune quils	e
20	17	2	e		42	gt
20	17	3	gt		e	m
20	17	4	m		gt	d
20	17	5	d		m	36
20	17	6	36		d	th
20	17	7	th		36	83
20	17	8	83		th	56
20	17	9	56		83	43
20	17	10	43		56	21
20	17	11	21		43	9o
20	17	12	9o		21	y
20	17	13	y		9o	49
20	17	14	49		y	21
20	17	15	21		49	32
20	17	16	32		21	c'
20	17	17	c'		32	th
20	17	18	th		c'	ne croyent
20	19	1	63	pour les Dannois qui; pas plus traitables	m'exercent Car	68
20	19	2	68		63	32
20	20	1	32	fy	Car 63 68	peut estre ne
20	20	2	25		ne seroient	v
20	20	3	v		25	m°
20	20	4	m°		v	14
20	20	5	14		m°	h'
20	20	6	h'		14	el
20	20	7	el		h'	35
20	20	8	35		el	d
20	20	9	d		35	45
20	20	10	45		d	g
20	20	11	g		45	11
20	20	12	11		g	v
20	20	13	v		11	42
20	21	1	42	leur place; ilz sont; abatuz	11 v (line20 end)	ilz estoient en
20	21	2	56		ilz estoient en	99
20	21	3	99		56	d
20	21	4	d		99	i"
20	21	5	i"		d	th
20	21	6	th		i"	43
20	21	7	43		th	gt
20	21	8	gt		43	el
20	21	9	el		gt	42
20	21	10	42		el	z
20	21	11	z		42	72
20	21	12	72		z	49
20	21	13	49		72	v
20	21	14	v		49	31 6 h (line22 start)
20	22	1	31	de ceste part la que le traite se rompra	veullent beaucoup (line18)	6
20	22	2	6		31	h
20	22	3	h		6	obtiens quasy tout
20	23	1	83	que l'on les [symbol] accule	ce ne Sera pas	46
20	23	2	46		83	25
20	23	3	25		46	y
20	23	4	y		25	cn
20	23	5	cn		y	10
20	23	6	10		cn	31
20	23	7	31		10	11
20	23	8	11		31	70
20	23	9	70		11	41
20	23	10	41		70	38
20	23	11	38		41	m+
20	23	12	m+		38	I
20	23	13	I		m+	35
20	23	14	35		I	Si ilz ne
20	24	1	31		Si ilz ne voyent	13
20	24	2	13		31	h
20	24	3	h		13	11
20	24	4	11		h	v
20	24	5	v		11	y
20	24	6	y		v	q
20	24	7	q		y	81
20	24	8	81	s'il fault perir (cross-marked)	q	11
20	24	9	11	s'il fault perir (cross-marked)	81	auquel cas ainsy
20	25	1	42		desja mande	y
20	25	2	y		42	87
20	25	3	87		y	&
20	25	4	&		87	11
20	25	5	11		&	ll
20	25	6	ll		11	26
20	25	7	26		ll	37
20	25	8	37		26	6
20	25	9	6	par les armes que par un accommodement (spans line25-26)	37	ilz aiment
20	26	1	25		mieux que ce soit	ee
20	26	2	ee		25	11
20	26	3	11		ee	y
20	26	4	y		11	z
20	26	5	z		y	ee
20	26	6	ee		z	16
20	26	7	16		ee	v
20	26	8	v		16	31
20	26	9	31		v	25
20	26	10	25	sera pas honteux	31	y
20	26	11	y		25	d
20	26	12	d		y	gt
20	26	13	gt		d	78
20	26	14	78		gt	(line27 start) pour ce qu'outre
20	27	1	41		qu'outre quil ne leur	35
20	27	2	35		41	25
20	27	3	25		35	v
20	27	4	v		25	100
20	27	5	100		v	h
20	27	6	h		100	46
20	27	7	46		h	&
20	27	8	&		46	q
20	27	9	q		&	(end of visible passage)
21	1	1	y	au moins ce peu de soulagement quilz en couvriront a leur	ilz auront	d
21	1	2	d		y	18
21	1	3	18		d	d
21	1	4	d		18	h
21	1	5	h		d	v
21	1	6	v		h	yz
21	1	7	yz		v	26
21	1	8	26		yz	47
21	1	9	47		26	cn
21	1	10	cn		47	43
21	1	11	43		cn	d
21	1	12	d		43	10
21	1	13	10		d	93
21	1	14	93		10	5e
21	1	15	5e		93	32
21	1	16	32		5e	7
21	1	17	7		32	w'
21	1	18	w'		7	h
21	1	19	h		w'	8
21	2	1	8		h	d
21	2	2	d	ennemy	8	h'
21	2	3	h'		d	46
21	2	4	46		h'	35
21	2	5	35		46	5
21	2	6	5		35	56
21	2	7	56		5	23
21	3	1	21	non viendra pas	Le que peut estre il	gt
21	3	2	gt		21	52
21	3	3	52		gt	w'
21	3	4	w'		52	L
21	3	5	L		w'	y
21	3	6	y		L	35
21	3	7	35		y	2
21	4	1	5	Sortir aultrement du fr. resserer dans leurs Isles	75	d
21	4	2	75		5	d
21	4	3	d		75	ll
21	4	4	ll		d	42
21	4	5	42		ll	48
21	4	6	48		42	f
21	4	7	f		48	uf
21	4	8	uf		f	Ilz se resoluent sil n'en peuvent
21	5	1	43	et les deffendre de bouchier	Ilz se resoluent sil n'en peuvent	6
21	5	2	6		43	47
21	5	3	47		6	re
21	5	4	re		47	y
21	5	5	y		re	d
21	5	6	d		y	ll
21	5	7	ll		d	36
21	5	8	36		ll	59
21	5	9	59		36	83
21	5	10	83		59	41
21	5	11	41		83	36
21	5	12	36		41	41
21	5	13	41		36	re
21	5	14	re		41	36
21	5	15	36		re	y
21	5	16	y		36	y2
21	5	17	y2		y	h
21	5	18	h		y2	h'
21	5	19	h'		h	y6
21	5	20	y6		h'	v
21	5	21	v		y6	d
21	5	22	d		v	f
21	6	1	w'	le passage du [?]tune et / laisser sans	f	ll
21	6	2	ll		w'	11
21	6	3	11		ll	h'
21	6	4	h'		11	23
21	6	5	23		h'	uy
21	6	6	uy		23	88
21	6	7	88		uy	h
21	6	8	h		88	y
21	6	9	y		h	36
21	6	10	36		y	83
21	6	11	83		36	75
21	6	12	75		83	gr
21	6	13	gr		75	q
21	6	14	q		gr	99
21	6	15	99		q	re
21	6	16	re		99	autant quilz pourront
21	7	1	11	combatre consommer leurs ennemis	autant quilz pourront	25
21	7	2	25		11	h'
21	7	3	h'		25	40
21	7	4	40		h'	93
21	7	5	93		40	86
21	7	6	86		93	0
21	7	7	0		86	K
21	7	8	K		0	L
21	7	9	L		K	cn
21	7	10	cn		L	Ell
21	7	11	Ell		cn	10
21	7	12	10		Ell	h'
21	7	13	h'		10	f
21	7	14	f		h'	41
21	7	15	41		f	re
21	7	16	re		41	40
21	7	17	40		re	deuant Eux
27	1	1	31	que le Comte de Trautmandorff (insertion)	lequel vient de Munster Cest	11
27	1	2	11		31	92
27	1	3	92		11	83
27	1	4	83		92	ll
27	1	5	ll		83	33
27	1	6	33		ll	0
27	1	7	0		33	15
27	1	8	15		0	h
27	1	9	h		15	S
27	1	10	S		h	83
27	1	11	83		S	6
27	1	12	6		83	a fait faire les expeditions
27	2	1	y	(cipher run continues after plain "en Duche et")	en Duche et	50
27	2	2	50		y	52
27	2	3	52		50	11
27	2	4	11		52	S
27	2	5	S		11	w
27	2	6	w		S	e
27	2	7	e		w	26
27	2	8	26		e	84
27	2	9	84		26	69
27	2	10	69		84	S
27	2	11	S		69	83
27	2	12	83		S	11
27	2	13	11		83	36
27	2	14	36		11	9
27	2	15	9		36	69
27	2	16	69		9	n
27	2	17	n		69	L
27	2	18	L		n	90
27	2	19	90		L	98
27	2	20	98		90	t
27	2	21	t		98	Ir
27	2	22	Ir		t	Principaulte de l'Empire du Comte de Meurs que appartient
27	3	1	37	(same hand, no separate note)	appartient	L
27	3	2	L		37	79
27	3	3	79		L	25
27	3	4	25		79	y
27	3	5	y		25	46
27	3	6	46		y	83
27	3	7	83		46	11
27	3	8	11		83	mf
27	3	9	mf		11	27
27	3	10	27		mf	36
27	3	11	36		27	86
27	3	12	86		36	92
27	3	13	92		86	83
27	3	14	83		92	16
27	3	15	16		83	D
27	3	16	D		16	6
27	3	17	6		D	37
27	3	18	37		6	a M. le P. Dorange
27	4	1	8		a M. le P. Dorange	17
