line	signs_A	signs_B	agree	columns	share
c4a_L01	14	14	5	15	0.333
c4a_L02	13	13	4	13	0.308
c4a_L03	13	13	4	13	0.308
c4a_L04	18	18	5	20	0.250
c4a_L05	18	18	5	21	0.238
c4a_L06	15	15	3	15	0.200
c4a_L07	14	14	4	14	0.286
c4a_L08	17	17	6	17	0.353
c4a_L09	15	15	2	17	0.118
c4a_L10	17	17	6	18	0.333
c4a_L11	11	11	1	11	0.091
c4a_L12	19	19	3	20	0.150
c4a_L13	17	17	7	17	0.412
c4a_L14	13	13	1	13	0.077
c4b_L01	11	11	2	11	0.182
c4b_L02	15	15	3	15	0.200
c4b_L03	13	13	1	13	0.077
c4b_L04	16	16	2	17	0.118
c4b_L05	14	14	2	14	0.143
