code	desc	count	pages	exemplars	marks_seen
AMP	ampersand-like ligature (loop + crossbar)	9	c2a,c2b	c2a_12_014,c2b_05_010,c2a_04_010,c2b_03_023,c2a_12_015,c2a_09_002	
BAR-SERIF	tall thin vertical stroke with small foot/serif	19	c1,c2a,c2b,c3	c2a_12_004,c2b_09_001,c2a_13_029,c2a_08_026,c2b_06_027,c2a_07_032	M-DOT:5 M-DASH-H:3 M-DOT-FLAG:2 M-TICK-V:1 M-RING:1
BAR-SOLID	fully-inked solid vertical bar/wedge	38	c1,c2a,c2b,c3	c2a_04_004,c2a_13_031,c2a_09_029,c3_04_017,c2a_13_004,c2a_09_016	M-DASH-H:2 M-TILDE:2 M-TICK-V:1 M-LOOP-SM:1
BAR-THIN	thin vertical stroke, some slightly curved like ( or l	27	c1,c2a,c2b,c3	c1_03_001,c1_04_006,c2a_06_004,c2a_02_015,c2a_04_025,c2b_01_037	M-TICK-V:6 M-DASH-H:3 M-DOT:1
CIRC-O	plain circle/donut (letter O / zero-like)	9	c2a,c2b	c2a_08_010,c2b_05_018,c2b_03_008,c2a_06_022,c2a_05_015,c2a_01_022	M-DASH-H:2 M-TILDE:1 MISC-M14:1 M-TICK-V:1 M-DOT-FLAG:1
CIRC-TAIL	circle or loop with a small tail/hook	19	c1,c2a,c2b,c3	c2a_10_003,c3_02_018,c1_06_012,c2b_07_018,c2b_01_002,c2b_07_019	M-DASH-H:3 M-DOT:2 M-LOOP-SM:1 M-TILDE:1
CRESCENT	crescent/C-shape, moon-like	9	c1,c2a,c2b	c2a_05_011,c2a_05_010,c1_06_007,c2a_09_028,c2b_07_022,c2b_01_034	M-LOOP-SM:1 M-TICK-V:1 M-DOT:1 MISC-M12:1
CROSS-T	Latin cross / dagger (cross with horizontal bar near top)	14	c1,c2a,c2b,c3	c2a_17_003,c2a_09_020,c2a_11_007,c2b_09_013,c2b_06_015,c2a_06_014	M-DOT:1 M-DOT-FLAG:1 M-DASH-H:1
DASH-H	short horizontal dash/bar	9	c1,c2a,c2b,c3	c2b_01_011,c3_04_009,c2b_07_007,c1_01_006,c1_04_011,c1_03_021	M-TILDE:3 M-DOT-FLAG:1 M-DOT:1
DASH-V	short vertical dash/tick (possibly punctuation)	8	c2a	c2a_12_036,c2a_17_031,c2a_01_034,c2a_02_028,c2a_09_041,c2a_04_027	M-DOT:4 M-DOT-FLAG:2 M-DASH-H:1
DELTA-TAIL	circle/loop with a tail, cursive-delta-like	19	c1,c2a,c2b,c3	c2a_04_018,c2b_04_018,c1_03_004,c2b_08_002,c2b_01_026,c2b_05_003	M-DOT:2 M-TILDE:1 M-RING:1
EYE-DOT	solid round shape with a white gap/dot (eye-like)	13	c1,c2a,c2b,c3	c3_01_023,c1_03_018,c2a_09_036,c2a_11_003,c2b_08_011,c2a_13_011	M-TILDE:2 M-DOT-FLAG:1 M-DASH-H:1
GEAR-DOT	small round sign with internal dot/spokes	6	c1,c2a,c2b,c3	c2b_06_002,c2a_08_015,c2b_03_028,c1_03_009,c2a_09_001,c3_04_002	M-TILDE:2 M-DASH-H:1
HOOK-L	small left-opening hook/curl (comma-like)	15	c1,c2a,c2b,c3	c3_01_019,c1_04_010,c2a_06_021,c2a_06_020,c2a_05_030,c2a_13_010	M-DASH-H:2 M-SLASH-SM:1
LOOP-TAIL	small loop with descending tail (a/d-like)	15	c1,c2a,c2b,c3	c2a_14_002,c1_04_005,c1_03_011,c2b_06_018,c2b_02_008,c2b_04_003	
MISC-00	small mixed junk (arrow/slash/dot/dbl-dash), n=4, not one shape	4	c1,c2a,c2b	c2b_04_026,c2a_17_027,c1_03_006,c2a_03_004	M-LOOP-SM:1
MISC-03	mixed small squiggles (numeral-like), n=5, not one shape	5	c1,c2a,c2b	c2b_01_031,c2a_11_012,c1_01_007,c1_04_012,c2a_01_031	M-TICK-V:1 M-RING:1
MISC-05	heterogeneous bucket (pct/square/triangle/circle-x/arrow), n=32 -- needs by-eye split, not one sign	32	c1,c2a,c2b,c3	c2a_15_016,c3_03_025,c2a_02_006,c1_02_013,c2b_07_004,c2a_03_018	M-RING:3 M-DASH-H:2 M-TICK-V:1 M-DOT:1 MISC-M12:1 M-LOOP-SM:1
MISC-06	mixed loopy shapes (ampersand/Venus/tally/z-curl), n=11 -- not one shape	11	c1,c2a,c2b,c3	c1_05_017,c2a_06_005,c2a_06_003,c2a_17_017,c2a_14_019,c2b_06_011	M-TICK-V:2 M-DOT:1
MISC-07	mixed complex glyphs (house-like/varied), n=11 -- not one shape	11	c1,c2a,c2b,c3	c2a_09_011,c2b_03_022,c2a_16_016,c2b_03_016,c1_05_020,c2b_02_011	M-SLASH-SM:1 M-RING:1 M-TICK-V:1 M-DOT-FLAG:1
MISC-11	mixed pictogram-like (sunburst-small/circle-P/figure), n=8 -- not one shape	8	c2a,c2b	c2a_11_020,c2b_08_013,c2a_17_018,c2a_14_005,c2b_06_023,c2a_15_029	M-DOT:2
MISC-13	mixed complex (figure-8/pct/key-like), n=21 -- not one shape	21	c1,c2a,c2b,c3	c2a_12_019,c2b_01_033,c2a_13_037,c2a_06_012,c1_06_015,c1_01_002	M-TICK-V:1
MISC-17	mixed diagonal strokes/arrows, n=16 -- not one shape	16	c1,c2a,c2b,c3	c1_06_016,c2a_12_008,c2a_07_029,c2a_10_005,c1_06_018,c1_02_021	M-DASH-H:3 M-TICK-V:2 MISC-M16:1 M-RING:1
MISC-20	mixed hook/circle shapes, n=10 -- not one shape	10	c1,c2a,c3	c3_04_006,c3_01_030,c3_01_009,c2a_16_013,c2a_04_017,c2a_02_004	M-TILDE:2 M-DOT:1 M-RING:1
MISC-21	mixed complex glyphs (E-bar/omega/P/tally), n=13 -- not one shape	13	c1,c2a,c2b,c3	c2a_09_014,c1_03_022,c3_02_011,c2b_07_016,c2a_13_033,c2a_01_002	M-DASH-H:1 M-TILDE:1 M-TICK-V:1
MISC-24	mixed pictogram-ish squiggles, n=13 -- not one shape	13	c2a,c2b	c2a_17_016,c2a_07_011,c2a_04_008,c2b_05_009,c2b_05_008,c2a_16_022	M-DOT:3
MISC-29	mixed pictogram squiggles (spider-like/circle-pct/infinity), n=18 -- not one shape	18	c1,c2a,c2b,c3	c2a_08_024,c1_02_016,c2a_08_019,c2a_08_023,c2b_02_012,c2a_17_006	M-DOT-FLAG:2 M-DASH-H:2 M-TICK-V:1
