sign	base	mark	count
X	X	none	201
PCT	PCT	none	63
Y-CURL	Y-CURL	none	48
BLOB	BLOB	none	42
BAR-THIN	BAR-THIN	none	39
BAR-SOLID	BAR-SOLID	none	38
CIRC-O	CIRC-O	none	36
PCT-SLASH	PCT	none	29
O-SLASH	O-SLASH	none	27
VENUS	VENUS	none	26
WAVE	WAVE	none	26
CC-DASH	CC	DASH	21
O-TILDE	O	TILDE	21
OX-TILDE	OX	TILDE	21
PHI	PHI	none	19
CROSS-T	CROSS-T	none	18
DAGGER-O	DAGGER-O	none	18
II-DASH	II	DASH	18
C-DOT	C	DOT	17
O-DASH2	O	DASH2	16
S-CURL	S-CURL	none	16
EIGHT	EIGHT	none	15
DBL-SLASH	DBL-SLASH	none	14
NOTE	NOTE	none	14
VEE	VEE	none	14
DASH-H	DASH-H	none	13
X-CURL	X-CURL	none	13
AMP	AMP	none	12
A-LOOP	A-LOOP	none	11
LOOP-STEM	LOOP-STEM	none	11
TRIDENT	TRIDENT	none	11
CHEVRON2	CHEVRON2	none	10
ARCH-DASH	ARCH	DASH	9
II-O	II	O	9
QUESTION	QUESTION	none	9
STAR	STAR	none	9
SUN	SUN	none	9
DASH-V	DASH-V	none	8
X-SLASH	X-SLASH	none	8
XX-TILDE	XX	TILDE	8
CC-O	CC	O	7
QQ-O	QQ	O	7
C-BAR-X	C	BAR-X	6
LOOP-TAIL	LOOP-TAIL	none	6
O-DASHBELOW	O	DASHBELOW	6
X-DASH	X	DASH	6
DIAMOND	DIAMOND	none	5
DOTS-TILDE	DOTS	TILDE	5
GEAR-DOT	GEAR-DOT	none	5
LAMBDA	LAMBDA	none	5
NINE	NINE	none	5
PICT-FACE	PICT-FACE	none	5
PICT-TREE	PICT-TREE	none	5
SCROLL-X	SCROLL-X	none	5
ARCH-O	ARCH	O	4
DOLLAR	DOLLAR	none	4
DOUBLE-LOOP	DOUBLE-LOOP	none	4
F-LETTER	F-LETTER	none	4
II-SLASH	II-SLASH	none	4
OX	OX	none	4
PICT-ARROW	PICT-ARROW	none	4
PICT-LEAF	PICT-LEAF	none	4
SLASH	SLASH	none	4
X-BAR-CC	X	BAR-CC	4
Y-LOOPS	Y-LOOPS	none	4
ARC-LOOPS	ARC-LOOPS	none	3
BOX-GRID	BOX-GRID	none	3
BUCKET	BUCKET	none	3
CHEVRON	CHEVRON	none	3
DELTA	DELTA	none	3
HOOK-L	HOOK-L	none	3
M-LETTER	M-LETTER	none	3
OO-TILDE	OO	TILDE	3
PICT-ANCHOR	PICT-ANCHOR	none	3
PICT-HOUSE	PICT-HOUSE	none	3
PICT-RUNNER	PICT-RUNNER	none	3
SIGMA	SIGMA	none	3
TAURUS	TAURUS	none	3
THETA-BAR	THETA	BAR	3
THREE	THREE	none	3
V-DOT	V-DOT	none	3
V-LOOP	V-LOOP	none	3
WAVE-V	WAVE-V	none	3
X-BAR	X	BAR	3
X-DOT	X	DOT	3
X-O	X	O	3
Z-CURL	Z-CURL	none	3
ARROW-O	ARROW-O	none	2
ARROW-UP	ARROW-UP	none	2
D-LETTER	D-LETTER	none	2
E-BAR	E	BAR	2
FIVE	FIVE	none	2
HASH	HASH	none	2
HOOK-P	HOOK-P	none	2
IOI-TILDE	IOI	TILDE	2
NINE-BAR	NINE	BAR	2
O-BAR-CC	O	BAR-CC	2
O-BAR-O	O	BAR-O	2
O-BRACKET	O	BRACKET	2
O-DOT-STEM	O	DOT-STEM	2
O-PLUS	O	PLUS	2
OMEGA	OMEGA	none	2
PICT-CROSSED	PICT-CROSSED	none	2
PICT-HORSE	PICT-HORSE	none	2
RAM	RAM	none	2
SIX-CURL	SIX-CURL	none	2
SMILE	SMILE	none	2
T-LETTER	T-LETTER	none	2
TWO	TWO	none	2
U-DASH	U	DASH	2
A-DASH	A	DASH	1
A-LETTER	A-LETTER	none	1
ARCH	ARCH	none	1
ARCH-DOTS	ARCH	DOTS	1
B-SCRIPT	B-SCRIPT	none	1
BLOB-LOOP	BLOB-LOOP	none	1
BOX-8	BOX-8	none	1
BOX-M	BOX-M	none	1
BOX-X	BOX-X	none	1
BRACKET	BRACKET	none	1
CC-DOT	CC	DOT	1
CHAIN	CHAIN	none	1
CRESCENT	CRESCENT	none	1
DOT-LINE-O	DOT-LINE-O	none	1
DOTS-DASH	DOTS	DASH	1
H-LETTER	H-LETTER	none	1
HOOK-O	HOOK-O	none	1
II-TILDE	II	TILDE	1
J-DOTS	J	DOTS	1
L-LETTER	L-LETTER	none	1
LAMBDA-DASH	LAMBDA	DASH	1
MARS	MARS	none	1
N-LETTER	N-LETTER	none	1
NINE-DASH	NINE	DASH	1
O-DASH-DOTS	O	DASH-DOTS	1
O-DOTS	O	DOTS	1
O-II	O	II	1
OMEGA-O	OMEGA	O	1
OO-DASH	OO	DASH	1
PICT-BARREL	PICT-BARREL	none	1
PICT-BIRD	PICT-BIRD	none	1
PICT-BOTTLE	PICT-BOTTLE	none	1
PICT-CROWN	PICT-CROWN	none	1
PICT-D	PICT-D	none	1
PICT-EAGLE	PICT-EAGLE	none	1
PICT-FIGURE	PICT-FIGURE	none	1
PICT-FISH	PICT-FISH	none	1
PICT-GLASS	PICT-GLASS	none	1
PICT-HEART	PICT-HEART	none	1
PICT-JUG	PICT-JUG	none	1
QQ-DASH	QQ	DASH	1
SEVEN	SEVEN	none	1
SLASH-BAR	SLASH-BAR	none	1
SLASH3	SLASH3	none	1
SQUIG-DOT	SQUIG-DOT	none	1
TILDE-DASH	TILDE	DASH	1
U-CROSS	U-CROSS	none	1
U-CUP	U-CUP	none	1
V-PCT-BLOB	V-PCT-BLOB	none	1
X-LOOP	X-LOOP	none	1
