sid	page	line	pos	sign	family	confidence	source
c1_01_001	c1	1	1	O-TILDE	O-TILDE	H	eye-split:MISC-33
c1_01_002	c1	1	2	PCT-SLASH	PCT	H	eye-split:MISC-13
c1_01_003	c1	1	3	TRIDENT	TRIDENT	H	cluster-map:39
c1_01_004	c1	1	4	X	X	H	cluster-map:4
c1_01_005	c1	1	5	LAMBDA	LAMBDA	H	eye-split:MISC-71
c1_01_006	c1	1	6	DASH-H	DASH-H	H	cluster-map:61
c1_01_007	c1	1	7	CC-O	CC-O	H	eye-split:MISC-03
c1_01_008	c1	1	8	Y-CURL	Y-CURL	H	cluster-map:19
c1_01_009	c1	1	9	II-DASH	II-DASH	H	eye-split:MISC-82
c1_01_010	c1	1	10	OX-TILDE	OX-TILDE	H	eye-split:MISC-31
c1_01_011	c1	1	11	PCT-SLASH	PCT	M	eye-split:MISC-46
c1_01_012	c1	1	12	O-SLASH	O-SLASH	H	eye-split:MISC-78
c1_01_013	c1	1	13	C-BAR-X	C-BAR-X	H	eye-split:MISC-36
c1_01_014	c1	1	14	X	X	M	cluster-map:26
c1_01_015	c1	1	15	XX-TILDE	XX-TILDE	H	eye-split:MISC-31
c1_01_016	c1	1	16	O-TILDE	O-TILDE	H	eye-split:MISC-33
c1_01_017	c1	1	17	PICT-HORSE	PICT-HORSE	H	eye-split:MISC-60
c1_01_018	c1	1	18	X	X	H	cluster-map:47
c1_01_019	c1	1	19	X	X	M	cluster-map:26
c1_01_020	c1	1	20	BAR-SOLID	BLOB	M	cluster-map:10
c1_01_021	c1	1	21	BLOB	BLOB	M	eye-split:MISC-55
c1_01_022	c1	1	22	X	X	M	cluster-map:28
c1_02_001	c1	2	1	SUN	SUN	H	eye-split:SUN
c1_02_002	c1	2	2	VENUS	VENUS	H	eye-split:MISC-87
c1_02_003	c1	2	3	PCT	PCT	H	cluster-map:66
c1_02_004	c1	2	4	PCT	PCT	M	cluster-map:57
c1_02_005	c1	2	5	O-TILDE	O-TILDE	M	eye-split:MISC-33
c1_02_006	c1	2	6	SIX-CURL	SIX-CURL	M	eye-split:MISC-87
c1_02_007	c1	2	7	A-LOOP	A-LOOP	H	eye-resplit:TRIPOD
c1_02_008	c1	2	8	X	X	M	cluster-map:62
c1_02_009	c1	2	9	X	X	H	eye-resplit:CIRC-TAIL
c1_02_010	c1	2	10	OO-TILDE	OO-TILDE	H	eye-split:MISC-31
c1_02_011	c1	2	11	O-PLUS	O-PLUS	M	eye-split:MISC-20
c1_02_012	c1	2	12	X	X	M	cluster-map:28
c1_02_013	c1	2	13	PCT-SLASH	PCT	H	eye-split:MISC-05
c1_02_014	c1	2	14	CC-O	CC-O	H	eye-split:MISC-13
c1_02_015	c1	2	15	Y-CURL	Y-CURL	H	cluster-map:19
c1_02_016	c1	2	16	_	_	L	eye-split:MISC-29
c1_02_017	c1	2	17	X	X	H	cluster-map:47
c1_02_018	c1	2	18	PCT	PCT	H	cluster-map:9
