line	box	pos	x	y	w	h	code	dist	share	cluster_code	marks
1	c4a_01_001	1	317	40	31	29	MISC-05	6.447	0.40	_	
1	c4a_01_002	2	353	42	21	28	_	6.220	0.44	_	
1	c4a_01_003	3	378	42	19	25	MISC-21	5.718	0.21	_	
1	c4a_01_004	4	399	31	24	56	PHI	3.816	0.44	_	
1	c4a_01_005	5	428	39	21	30	X	5.792	0.61	_	
1	c4a_01_006	6	462	35	23	31	_	6.296	0.59	_	
1	c4a_01_007	7	489	37	21	30	MISC-17	5.348	0.41	_	
1	c4a_01_008	8	505	59	11	18	BAR-SERIF	4.679	0.57	_	
1	c4a_01_009	9	519	50	15	29	LOOP-TAIL	5.124	0.58	_	
1	c4a_01_010	10	540	44	22	25	X	4.140	0.81	_	?
1	c4a_01_011	11	574	39	24	28	_	6.705	0.60	_	
1	c4a_01_012	12	605	42	19	24	X	2.231	0.51	_	?
1	c4a_01_013	13	632	40	20	27	PCT	5.086	0.42	_	
1	c4a_01_014	14	664	40	35	23	WAVE	5.307	0.40	_	?|?
2	c4a_02_001	1	327	108	37	26	MISC-24	5.907	0.41	_	
2	c4a_02_002	2	372	109	27	33	PCT	5.169	0.81	_	
2	c4a_02_003	3	412	114	27	26	X	6.397	0.39	_	
2	c4a_02_004	4	444	114	19	29	X	4.197	0.61	_	?
2	c4a_02_005	5	467	113	17	27	_	4.713	0.78	_	?
2	c4a_02_006	6	493	116	22	23	MISC-54	6.481	0.39	_	?
2	c4a_02_007	7	519	115	21	25	CROSS-T	6.043	0.60	_	
2	c4a_02_008	8	552	109	29	32	_	6.733	0.40	_	
2	c4a_02_009	9	587	112	28	29	_	6.282	0.41	_	
2	c4a_02_010	10	619	106	41	41	MISC-67	6.023	0.40	_	
2	c4a_02_011	11	666	117	19	35	_	4.545	0.80	_	
2	c4a_02_012	12	696	114	22	28	X	3.898	0.81	_	?
2	c4a_02_013	13	739	129	15	10	CIRC-TAIL	5.119	0.40	_	
3	c4a_03_001	1	304	162	95	72	SUN	5.360	1.00	_	
3	c4a_03_002	2	402	192	34	38	VEE	5.712	0.22	_	
3	c4a_03_003	3	431	206	10	11	MISC-55	2.978	0.63	_	
3	c4a_03_004	4	447	194	16	24	X	3.245	0.83	_	?
3	c4a_03_005	5	468	191	28	25	MISC-31	5.902	0.79	_	
3	c4a_03_006	6	505	191	21	26	X	6.401	0.20	_	
3	c4a_03_007	7	534	184	29	35	AMP	5.169	0.80	_	
3	c4a_03_008	8	568	187	30	29	X	5.000	0.61	_	
3	c4a_03_009	9	600	191	21	25	Y-CURL	6.386	0.39	_	
3	c4a_03_010	10	625	187	25	33	_	6.430	0.59	_	
3	c4a_03_011	11	653	186	29	31	PCT	7.091	0.40	_	
3	c4a_03_012	12	687	186	25	34	X	4.835	0.81	_	?
3	c4a_03_013	13	736	206	16	9	_	4.297	0.38	_	?
4	c4a_04_001	1	322	262	27	31	_	7.014	0.41	_	
4	c4a_04_002	2	355	270	22	25	PCT	5.894	0.59	_	
4	c4a_04_003	3	381	266	23	30	TRIPOD	4.746	0.56	_	
4	c4a_04_004	4	410	267	23	29	X	4.103	0.58	_	?
4	c4a_04_005	5	430	268	31	24	MISC-05	6.668	0.40	_	
4	c4a_04_006	6	465	261	26	30	MISC-05	5.128	0.59	_	
4	c4a_04_007	7	507	270	23	43	_	3.810	0.62	_	
4	c4a_04_008	8	538	268	29	28	_	6.514	0.61	_	
4	c4a_04_009	9	569	267	18	27	_	4.756	0.41	_	
4	c4a_04_010	10	584	278	6	11	BAR-SOLID	3.476	0.64	_	
4	c4a_04_011	11	599	263	37	29	WAVE	5.561	0.60	_	
