line	position	sign	confidence	source
c4a_L01	1	MISC-05	L	knn-xpage(share=0.40)
c4a_L01	2	_	M	knn-xpage(share=0.44)
c4a_L01	3	X	M	knn-xpage(share=0.40)
c4a_L01	4	PHI	M	knn-xpage(share=0.62)
c4a_L01	5	X	M	knn-xpage(share=1.00)
c4a_L01	6	MISC-05	L	knn-xpage(share=0.38)
c4a_L01	7	MISC-17	L	knn-xpage(share=0.41)
c4a_L01	8	BAR-SERIF	M	knn-xpage(share=0.60)
c4a_L01	9	LOOP-TAIL	M	knn-xpage(share=1.00)
c4a_L01	10	X	M	knn-xpage(share=1.00)
c4a_L01	11	X	M	knn-xpage(share=0.42)
c4a_L01	12	X	M	knn-xpage(share=0.60)
c4a_L01	13	PCT	M	knn-xpage(share=0.42)
c4a_L01	14	WAVE	M	knn-xpage(share=0.41)
c4a_L02	1	MISC-24	L	knn-xpage(share=0.41)
c4a_L02	2	PCT	M	knn-xpage(share=0.81)
c4a_L02	3	X	M	knn-xpage(share=0.39)
c4a_L02	4	X	M	knn-xpage(share=0.61)
c4a_L02	5	X	M	knn-xpage(share=0.80)
c4a_L02	6	MISC-54	L	knn-xpage(share=0.40)
c4a_L02	7	CROSS-T	M	knn-xpage(share=0.62)
c4a_L02	8	MISC-21	L	knn-xpage(share=0.22)
c4a_L02	9	MISC-33	L	knn-xpage(share=0.40)
c4a_L02	10	MISC-67	L	knn-xpage(share=0.40)
c4a_L02	11	VENUS	M	knn-xpage(share=0.43)
c4a_L02	12	X	M	knn-xpage(share=1.00)
c4a_L02	13	CIRC-TAIL	M	knn-xpage(share=0.44)
c4a_L03	1	SUN	M	knn-xpage(share=1.00)
c4a_L03	2	VEE	M	knn-xpage(share=0.22)
c4a_L03	3	MISC-55	L	knn-xpage(share=0.64)
c4a_L03	4	X	M	knn-xpage(share=0.83)
c4a_L03	5	MISC-31	L	knn-xpage(share=1.00)
c4a_L03	6	MISC-17	L	knn-xpage(share=0.39)
c4a_L03	7	AMP	M	knn-xpage(share=0.80)
c4a_L03	8	X	M	knn-xpage(share=0.62)
c4a_L03	9	Y-CURL	M	knn-xpage(share=0.59)
c4a_L03	10	LOOP-TAIL	M	knn-xpage(share=0.38)
c4a_L03	11	PCT	M	knn-xpage(share=0.60)
c4a_L03	12	X	M	knn-xpage(share=1.00)
c4a_L03	13	MISC-32	L	knn-xpage(share=0.43)
c4a_L04	1	LOOP-TAIL	M	knn-xpage(share=0.39)
c4a_L04	2	PCT	M	knn-xpage(share=0.59)
c4a_L04	3	TRIPOD	M	knn-xpage(share=0.58)
c4a_L04	4	X	M	knn-xpage(share=0.58)
c4a_L04	5	MISC-05	L	knn-xpage(share=0.60)
c4a_L04	6	MISC-05	L	knn-xpage(share=0.60)
c4a_L04	7	VENUS	M	knn-xpage(share=0.38)
c4a_L04	8	_	M	knn-xpage(share=0.21)
c4a_L04	9	PCT	M	knn-xpage(share=0.43)
c4a_L04	10	BAR-SOLID	M	knn-xpage(share=0.81)
c4a_L04	11	WAVE	M	knn-xpage(share=0.80)
c4a_L04	12	HOOK-L	M	knn-xpage(share=0.53)
c4a_L04	13	CIRC-O	M	knn-xpage(share=0.62)
c4a_L04	14	X	M	knn-xpage(share=1.00)
c4a_L04	15	MISC-31	L	knn-xpage(share=0.81)
c4a_L04	16	PCT	M	knn-xpage(share=0.41)
c4a_L04	17	MISC-55	L	knn-xpage(share=1.00)
c4a_L04	18	MISC-17	L	knn-xpage(share=0.41)
c4a_L05	1	VEE	M	knn-xpage(share=0.80)
c4a_L05	2	CRESCENT	M	knn-xpage(share=0.45)
c4a_L05	3	TRIPOD	M	knn-xpage(share=0.81)
c4a_L05	4	WAVE	M	knn-xpage(share=0.59)
c4a_L05	5	MISC-36	L	knn-xpage(share=0.22)
c4a_L05	6	_	M	knn-xpage(share=0.41)
c4a_L05	7	X	M	knn-xpage(share=1.00)
c4a_L05	8	GEAR-DOT	M	knn-xpage(share=0.41)
c4a_L05	9	MISC-55	L	knn-xpage(share=0.42)
c4a_L05	10	X	M	knn-xpage(share=0.81)
c4a_L05	11	MISC-54	L	knn-xpage(share=0.21)
c4a_L05	12	MISC-30	L	knn-xpage(share=0.40)
c4a_L05	13	CROSS-T	M	knn-xpage(share=0.61)
c4a_L05	14	BAR-SOLID	M	knn-xpage(share=0.61)
c4a_L05	15	_	M	knn-xpage(share=0.23)
c4a_L05	16	Y-CURL	M	knn-xpage(share=0.23)
c4a_L05	17	GEAR-DOT	M	knn-xpage(share=0.41)
c4a_L05	18	MISC-55	L	knn-xpage(share=0.40)
c4a_L06	1	_	M	knn-xpage(share=0.21)
c4a_L06	2	CROSS-T	M	knn-xpage(share=0.60)
c4a_L06	3	HOOK-L	M	knn-xpage(share=0.40)
c4a_L06	4	DASH-H	M	knn-xpage(share=0.62)
c4a_L06	5	DELTA-TAIL	M	knn-xpage(share=0.22)
c4a_L06	6	MISC-54	L	knn-xpage(share=0.41)
c4a_L06	7	_	M	knn-xpage(share=0.58)
c4a_L06	8	_	M	knn-xpage(share=0.60)
c4a_L06	9	VENUS	M	knn-xpage(share=0.42)
c4a_L06	10	PHI	M	knn-xpage(share=0.21)
c4a_L06	11	MISC-05	L	knn-xpage(share=0.80)
c4a_L06	12	_	M	knn-xpage(share=0.41)
c4a_L06	13	MISC-33	L	knn-xpage(share=0.21)
c4a_L06	14	MISC-05	L	knn-xpage(share=0.39)
c4a_L06	15	PCT	M	knn-xpage(share=0.21)
c4a_L07	1	PCT	M	knn-xpage(share=1.00)
c4a_L07	2	X	M	knn-xpage(share=0.61)
c4a_L07	3	MISC-20	L	knn-xpage(share=0.41)
c4a_L07	4	_	M	knn-xpage(share=0.22)
c4a_L07	5	MISC-46	L	knn-xpage(share=0.41)
c4a_L07	6	X	M	knn-xpage(share=0.61)
c4a_L07	7	PCT	M	knn-xpage(share=0.40)
c4a_L07	8	MISC-05	L	knn-xpage(share=0.60)
c4a_L07	9	TRIDENT	M	knn-xpage(share=0.41)
c4a_L07	10	PHI	M	knn-xpage(share=1.00)
c4a_L07	11	WAVE	M	knn-xpage(share=0.42)
c4a_L07	12	PCT	M	knn-xpage(share=0.41)
c4a_L07	13	MISC-33	L	knn-xpage(share=0.81)
c4a_L07	14	CIRC-TAIL	M	knn-xpage(share=0.47)
c4a_L08	1	MISC-17	L	knn-xpage(share=0.40)
c4a_L08	2	_	M	knn-xpage(share=0.43)
c4a_L08	3	DELTA-TAIL	M	knn-xpage(share=0.62)
c4a_L08	4	Y-CURL	M	knn-xpage(share=0.40)
c4a_L08	5	MISC-05	L	knn-xpage(share=0.62)
c4a_L08	6	X	M	knn-xpage(share=0.81)
c4a_L08	7	X	M	knn-xpage(share=0.59)
c4a_L08	8	GEAR-DOT	M	knn-xpage(share=0.63)
c4a_L08	9	WAVE	M	knn-xpage(share=0.79)
c4a_L08	10	CROSS-T	M	knn-xpage(share=1.00)
c4a_L08	11	X	M	knn-xpage(share=0.81)
c4a_L08	12	CROSS-T	M	knn-xpage(share=0.42)
c4a_L08	13	X	M	knn-xpage(share=0.40)
c4a_L08	14	X	M	knn-xpage(share=0.61)
c4a_L08	15	MISC-33	L	knn-xpage(share=1.00)
c4a_L08	16	LOOP-TAIL	M	knn-xpage(share=0.57)
