line	position	sign	confidence
c4a_L01	1	MISC-37	M
c4a_L01	2	HOOK-L	M
c4a_L01	3	BAR-THIN	M
c4a_L01	4	PHI	H
c4a_L01	5	X	H
c4a_L01	6	NOTE	H
c4a_L01	7	BAR-THIN	M
c4a_L01	8	BAR-THIN	M
c4a_L01	9	DASH-H	M
c4a_L01	10	X	H
c4a_L01	11	WAVE	M
c4a_L01	12	MISC-36	M
c4a_L01	13	X	M
c4a_L01	14	WAVE	H
c4a_L02	1	MISC-37	M
c4a_L02	2	BAR-THIN	M
c4a_L02	3	X	H
c4a_L02	4	X	M
c4a_L02	5	X	H
c4a_L02	6	TRIPOD	M
c4a_L02	7	MISC-32	M
c4a_L02	8	MISC-32	L
c4a_L02	9	BAR-THIN	L
c4a_L02	10	SUN	H
c4a_L02	11	CIRC-O	M
c4a_L02	12	X	H
c4a_L02	13	DASH-H	H
c4a_L03	1	SUN	H
c4a_L03	2	PCT	H
c4a_L03	3	MISC-50	M
c4a_L03	4	X	H
c4a_L03	5	CRESCENT	M
c4a_L03	6	BAR-SOLID	M
c4a_L03	7	MISC-36	M
c4a_L03	8	X	H
c4a_L03	9	HOOK-L	M
c4a_L03	10	DELTA-TAIL	M
c4a_L03	11	MISC-75	M
c4a_L03	12	X	H
c4a_L03	13	DASH-H	H
c4a_L04	1	DELTA-TAIL	M
c4a_L04	2	CIRC-O	M
c4a_L04	3	MISC-46	M
c4a_L04	4	X	H
c4a_L04	5	GEAR-DOT	M
c4a_L04	6	MISC-32	M
c4a_L04	7	RHO	H
c4a_L04	8	PCT	M
c4a_L04	9	Y-CURL	M
c4a_L04	10	DASH-H	M
c4a_L04	11	WAVE	H
c4a_L04	12	WAVE	M
c4a_L04	13	BAR-THIN	M
c4a_L04	14	MISC-32	M
c4a_L04	15	X	H
c4a_L04	16	MISC-31	M
c4a_L04	17	Y-CURL	H
c4a_L04	18	BAR-THIN	M
c4a_L05	1	VEE	M
c4a_L05	2	HOOK-L	M
c4a_L05	3	CIRC-O	M
c4a_L05	4	BAR-THIN	M
c4a_L05	5	CRESCENT	H
c4a_L05	6	MISC-32	H
c4a_L05	7	GEAR-DOT	M
c4a_L05	8	MISC-33	M
c4a_L05	9	X	H
c4a_L05	10	CIRC-O	M
c4a_L05	11	WAVE	M
c4a_L05	12	X	M
c4a_L05	13	WAVE	M
c4a_L05	14	X	M
c4a_L05	15	TRIDENT	H
c4a_L05	16	HOOK-L	M
c4a_L05	17	Y-CURL	M
c4a_L05	18	DASH-H	H
c4a_L06	1	RHO	M
c4a_L06	2	BAR-SOLID	M
c4a_L06	3	HOOK-L	M
c4a_L06	4	DASH-H	M
c4a_L06	5	BAR-SERIF	M
c4a_L06	6	DASH-H	L
c4a_L06	7	EYE-DOT	M
c4a_L06	8	X	M
c4a_L06	9	VENUS	H
c4a_L06	10	HOOK-L	M
c4a_L06	11	BAR-THIN	M
c4a_L06	12	X	H
c4a_L06	13	VENUS	M
c4a_L06	14	BAR-SOLID	M
c4a_L06	15	BAR-THIN	M
c4a_L07	1	PCT	H
