page	line	idx	token	doubt
f137r	1	1	p34	0
f137r	1	2	z6	0
f137r	1	3	m47	0
f137r	1	4	d36	0
f137r	1	5	g127	0
f137r	1	6	b8	0
f137r	1	7	t74	0
f137r	1	8	c170	0
f137r	1	9	q44	0
f137r	1	10	c170	0
f137r	1	11	t163	0
f137r	1	12	s113	0
f137r	1	13	r10	0
f137r	1	14	n8	0
f137r	1	15	s209	1
f137r	2	1	l29	1
f137r	2	2	m212	0
f137r	2	3	a204	0
f137r	2	4	d156	0
f137r	2	5	y17	0
f137r	2	6	b153	0
f137r	2	7	i286	0
f137r	2	8	n90	0
f137r	2	9	t74	0
f137r	2	10	s113	0
f137r	2	11	r296	0
f137r	2	12	i100	0
f137r	2	13	z15	0
f137r	2	14	s191	0
f137r	3	1	e140	0
f137r	3	2	n40	0
f137r	3	3	y13	0
f137r	3	4	m212	0
f137r	3	5	c125	0
f137r	3	6	m8	0
f137r	3	7	y18	0
f137r	3	8	a137	0
f137r	3	9	b211	0
f137r	3	10	m170	0
f137r	3	11	v13	0
f137r	3	12	r296	0
f137r	3	13	d8	0
f137r	3	14	L10	0
f137r	3	15	v7	0
f137r	4	1	t30	0
f137r	4	2	y15	0
f137r	4	3	q21	0
f137r	4	4	L107	0
f137r	4	5	f10	0
f137r	4	6	r296	0
f137r	4	7	t30	0
f137r	4	8	n38	0
f137r	4	9	z9	0
f137r	4	10	c208	0
f137r	4	11	f8	0
f137r	4	12	e44	0
f137r	4	13	r10	0
f137r	4	14	n7	0
f137r	4	15	n60	0
f137r	5	1	p313	0
f137r	5	2	i286	0
f137r	5	3	p5	0
f137r	5	4	q2	1
f137r	5	5	d36	0
f137r	5	6	L47	0
f137r	5	7	L99	0
f137r	5	8	q12	1
f137r	5	9	c242	0
f137r	5	10	r10	0
f137r	5	11	n85	0
f137r	5	12	f75	0
f137r	5	13	L27	0
f137r	5	14	d201	0
f137r	5	15	n8	0
f137r	6	1	s233	0
f137r	6	2	m107	0
f137r	6	3	s233	0
f137r	6	4	c227	0
f137r	6	5	s26	1
f137r	6	6	e106	0
f137r	6	7	m9	0
f137r	6	8	f10	0
f137r	6	9	r41	0
f137r	6	10	z6	0
f137r	6	11	m46	0
f137r	6	12	t74	0
f137r	6	13	s233	0
f137r	6	14	m107	0
f137r	7	1	f75	0
f137r	7	2	L27	0
f137r	7	3	y8	0
f137r	7	4	m170	0
f137r	7	5	v13	0
f137r	7	6	r296	0
f137r	7	7	s346	0
f137r	7	8	b9	0
f137r	7	9	L10	0
f137r	7	10	v116	0
f137r	7	11	d34	0
f137r	7	12	L97	0
f137r	7	13	d8	0
f137r	7	14	m168	0
f137r	7	15	d35	0
f137r	8	1	p255	0
f137r	8	2	L108	0
f137r	8	3	s316	0
f137r	8	4	z6	0
f137r	8	5	t89	0
f137r	8	6	c3	0
f137r	8	7	q6	0
f137r	8	8	p10	0
f137r	8	9	q7	0
f137r	8	10	n86	0
f137r	8	11	g3	0
f137r	8	12	n5	0
f137r	8	13	p4	0
f137r	8	14	a84	0
f137r	8	15	n6	0
f137r	8	16	r10	0
f137r	9	1	n9	1
f137r	9	2	e82	0
f137r	9	3	z9	0
f137r	9	4	t49	0
f137r	9	5	r41	0
f137r	9	6	s122	1
f137r	9	7	L27	1
f137r	9	8	z15	0
f137r	9	9	y20	0
f137r	9	10	L47	0
f137r	9	11	L99	0
f137r	9	12	m173	0
f137r	9	13	z1	1
f137r	9	14	i100	0
f137r	9	15	z15	0
f137r	10	1	s116	0
f137r	10	2	s9	0
f137r	10	3	y18	0
f137r	10	4	L47	0
f137r	10	5	c208	0
f137r	10	6	b228	0
f137r	10	7	s8	0
f137r	10	8	d36	0
f137r	10	9	q44	0
f137r	10	10	c170	0
f137r	10	11	t163	0
f137r	10	12	e82	0
f137r	10	13	i100	0
f137r	10	14	z15	0
f137r	10	15	s113	0
f137r	11	1	t19	0
f137r	11	2	c125	0
f137r	11	3	z6	0
f137r	11	4	m136	0
f137r	11	5	z8	0
f137r	11	6	e7	0
f137r	11	7	c208	0
f137r	11	8	s139	0
f137r	11	9	c170	0
f137r	11	10	q21	0
f137r	11	11	L47	0
