identifier	line	n_lines	numerals	distinct	repeat_rate	prose_words	context
despatchesinstru00fran	553	1	4	4	0.00	7	 / 9  No  2,  16  July  1778. / 
despatchesinstru00fran	576	1	4	4	0.00	8	 / 10  No  3,  18  July  1778. / 
despatchesinstru00fran	580	2	8	6	0.25	3	 / 12  No  4,  19  July  1778. /  / 13  No  5,  19  July  1778. / 
despatchesinstru00fran	587	1	4	4	0.00	6	 / 14  N°  6,  25  July  1778. / 
despatchesinstru00fran	592	2	8	6	0.25	5	 / 15  No  7,  25  July  1778. /  / 16  N°  8,  25  July  1778. / 
despatchesinstru00fran	608	1	4	4	0.00	5	 / 20  N°  10,  7   August   1778. / 
despatchesinstru00fran	628	1	4	3	0.25	6	 / 22  N°  12,  12    August    1778. / 
despatchesinstru00fran	694	1	4	4	0.00	12	 / 36  N°  24,  10    September    1778. / 
despatchesinstru00fran	701	2	8	7	0.12	4	 / 38  N°  26,  10  September  1778. /  / 39  N°  27,  12  September  1778. / 
despatchesinstru00fran	711	3	12	10	0.17	5	 / 41  N°  28,  18  September  1778. /  / 42  N°  29,  20  September  1778. /  / 43  N°  30,  24  September  1778. / 
despatchesinstru00fran	721	1	4	4	0.00	4	 / 45  No  32,  4  October  1778. / 
despatchesinstru00fran	751	1	4	4	0.00	7	 / 51  N°  35,  3   November   1778. / 
despatchesinstru00fran	756	2	8	7	0.12	7	 / 52  N«  36,  10  November  1778. /  / 53  N°  37,  14  November  1778. / 
despatchesinstru00fran	866	1	4	4	0.00	9	 / 72  N°  52,  10   January   1779. / 
despatchesinstru00fran	875	1	4	4	0.00	8	 / 73  N°  53,  17    January   1779. / 
despatchesinstru00fran	916	1	4	4	0.00	10	 / 74  N°  54,  17    January    1779. / 
despatchesinstru00fran	1069	1	4	4	0.00	2	 / 118  No  87,  21  May  1779. / 
despatchesinstru00fran	1073	1	4	4	0.00	2	 / 120  No  89,  21  May  1779. / 
despatchesinstru00fran	1111	1	4	4	0.00	8	 / 123  N°  91,  29  May  1779. / 
despatchesinstru00fran	1117	1	4	4	0.00	4	 / 124  N°  92,  29  May  1779. / 
despatchesinstru00fran	1121	1	4	4	0.00	6	 / 126  N°  94,  30  May  1779. / 
despatchesinstru00fran	1158	2	8	7	0.12	9	 / 130  No  98,  12  June  1779. /  / 131  No  99,  17  June  1779. / 
despatchesinstru00fran	1227	1	4	4	0.00	5	 / 140  No  105,  14  July  1779. / 
despatchesinstru00fran	1247	1	4	4	0.00	14	 / 141  N°  106,  18  July  1779. / 
despatchesinstru00fran	1260	1	4	4	0.00	10	 / 142  No  107,  18  July  1779. / 
despatchesinstru00fran	1266	1	4	4	0.00	9	 / 143  N°  108,  19  July   1779. / 
despatchesinstru00fran	1274	2	8	7	0.12	7	 / 144  N°  109,  20  July  1779. /  / 145  N°  110,  31  July  1779. / 
despatchesinstru00fran	1280	1	4	4	0.00	5	 / 147  No  112,  8  August  1779. / 
despatchesinstru00fran	1284	1	5	5	0.00	6	 / Holker,  26,  31  juillet,  3,  5  août  1779. / 
despatchesinstru00fran	1322	3	12	8	0.33	14	 / 148  N°  113,  8  August  1779. /  / 149  N°  114,  8  August  1779. /  / 150  N°  115,  8  August  1779. / 
despatchesinstru00fran	1397	1	4	4	0.00	4	 / 155  N°  120,  8    September    1779. / 
despatchesinstru00fran	1447	3	12	10	0.17	4	 / 157  No  121,  10  September  1779. /  / 158  N°  122,  17  September   1779. /  / 159  N°  123,  25  September  1779. / 
despatchesinstru00fran	4907	1	10	10	0.00	6	 / 1.  See  Journals,  17  April  1777  ;  n<>s  62,  63,  64,  66,  72,  73,  74,  post. / 
despatchesinstru00fran	5012	1	19	19	0.00	10	 / 1.  See  n°s  9,  12,  13,  26,  28,  29,  30,  33,  34,  35,  36,  39,  42,  43,  44,  45,  48,  52; / 53,  54,  75,  post.
despatchesinstru00fran	5070	1	6	6	0.00	5	 / 2.  See  n°s  62,   63,   66,   70,   73,   post. / 
despatchesinstru00fran	12289	1	11	11	0.00	24	the  same  date  as  this.  They  are  those  which  he  numbered  13,  14,  15,  16,  18, / 19,  21,  22  (nos  23,  24,  26,  28,  30,  31,  ante,  and  33,  34,  post).  The  newspapers / mentioned  as  being  enclosed  have  not  been  
despatchesinstru00fran	14816	1	4	4	0.00	20	ration [Journals,  XII,  1071).  Other  memorials  of  McNutt  are  in  PCC,  N°  41, / VII,  fî.  77,  99,  121,  125. / 
despatchesinstru00fran	18431	1	7	7	0.00	9	 / 2.  N«8  12,  13,  14,  15,  16,  19,  ante. / 
despatchesinstru00fran	19166	1	9	9	0.00	6	 / 2.  Cf.  Burnett,  III,  n™  568,  574,  576,  588,  595,  599,  618,  643. / 
despatchesinstru00fran	19275	1	13	13	0.00	12	 / 2.  Nos  9,  10,  23,  24,  26,  28,  30,  31,  32,  33,  34,  35,  ante.      This  first  paragraph / does  not  appear  in  the  copy.
despatchesinstru00fran	19341	1	5	5	0.00	3	 / 7.  See  n0B  26,  28,  33,  34,  ante. / 
despatchesinstru00fran	21473	1	6	6	0.00	15	request  of  the  delegates  from  Georgia  (Journals,  XII,  1188,  1195).  Cf.  Bur- / nett, III,  n°s  652,  655,  658,  662,  682,  686. / 
despatchesinstru00fran	21832	1	8	8	0.00	25	upon  the  letter  of  resignation  are  in  Burnett,  III,  n°  663.  See  also  ibid., / nos  662,  664-668,  671,  672,  676,  677,  680,  683,  687. / 
despatchesinstru00fran	23517	1	6	6	0.00	13	 / 2.  Nos  36?  37j  38,  39,  43,  44,  45,  ante. / 
despatchesinstru00fran	24660	1	8	6	0.25	21	7.  In  the  margin  of  the  original  appears  the  note  "  §  Toutes  ces  pieces  aux / 7  Xbre  1778       2.  6.  12  et  14  Jan'  N°s  6,  7  ". / 
despatchesinstru00fran	27798	1	14	14	0.00	13	J'ai  reçu,  M,  les  dépêches  que  vous  m'aviez  fait  l'hr  de  m'ecrire / sous  les  Nos  29.  33.  34.  35.  36.  37.  38.  39.  40.  41.  42.  43.  44.  45.  et / 46  2.  une  partie  desquelles  m'a  été  remise  par  M.  le  Mis  d
despatchesinstru00fran	27825	1	16	16	0.00	6	 / 2.  N«s  42,  47,  48,  51,  52,  53,  55,  56,  57,  58,  59,  60,  61,  62,  63.  ante. / 
despatchesinstru00fran	29370	1	7	6	0.14	5	 / 4.  See  Journals,  23,  27  February,  1,  3,  4  March  1779. / 
despatchesinstru00fran	30877	1	9	9	0.00	44	Carolina  voted  against  the  motion.  The  entire  correspondence  is  printed  in / Burnett,  IV,  n°s  177,  178,  181,  184,  185,  186,  187,  195,  196.  With  regard  to / the  date  of  the  final  vote  see  ibid.,  nos  167  n., 
