sid	cluster	dist
0	37	6.484
1	39	3.989
2	50	7.120
3	21	5.496
4	28	4.535
5	43	6.058
6	55	4.860
7	70	8.924
8	50	5.808
9	3	4.058
10	61	4.980
11	22	5.638
12	26	7.513
13	14	4.623
14	70	3.532
15	4	4.348
16	22	4.204
17	3	4.800
18	61	7.578
19	17	7.512
20	22	5.284
21	14	4.111
22	5	3.804
23	0	4.544
24	45	5.535
25	0	7.944
26	60	4.140
27	0	4.908
28	44	4.712
29	29	5.824
30	25	5.604
31	29	6.074
32	15	5.725
33	43	5.391
34	20	5.687
35	70	6.713
36	3	5.762
37	42	5.889
38	4	3.866
39	61	5.823
40	10	3.137
41	8	4.163
42	48	5.279
43	66	4.263
44	18	5.423
45	12	2.872
46	50	4.719
47	56	4.741
48	32	3.873
49	47	3.649
50	69	6.106
51	50	3.614
52	18	6.867
53	45	5.699
54	35	5.547
55	55	4.777
56	4	6.450
57	2	4.509
58	15	5.298
59	56	6.004
60	18	4.335
61	2	4.947
62	19	6.743
63	4	7.069
64	28	4.033
65	67	6.679
66	3	3.767
67	55	2.984
68	28	3.911
69	67	6.428
70	55	4.017
71	6	6.397
72	62	5.148
73	70	4.149
74	7	3.220
75	17	4.879
76	60	5.548
77	67	4.081
78	44	4.766
79	45	5.027
80	43	6.151
81	41	5.766
82	22	5.443
83	58	3.390
84	1	4.513
85	23	6.035
86	1	5.243
87	58	4.518
88	11	5.629
89	5	4.965
90	44	6.991
91	34	5.803
92	32	5.667
93	55	4.979
94	29	4.409
95	10	4.778
96	12	4.006
97	2	4.532
98	25	5.982
99	4	3.723
100	42	5.059
101	7	4.777
102	55	4.840
103	6	4.331
104	11	4.921
105	55	5.442
106	4	3.677
107	8	4.004
108	59	6.988
109	50	5.496
110	66	3.548
111	10	5.722
112	53	4.361
113	25	3.840
114	6	5.362
115	1	4.321
116	50	5.303
117	55	4.548
118	3	4.996
119	35	4.974
120	11	4.267
121	69	5.544
122	67	5.011
123	18	3.703
124	6	4.984
125	17	4.594
126	12	2.743
127	62	4.843
128	48	3.280
129	26	4.761
130	45	4.524
131	43	6.194
132	56	4.689
133	6	5.815
134	50	5.570
135	3	4.699
136	15	4.117
137	10	5.166
138	19	7.462
139	4	3.806
140	30	4.842
141	71	5.696
142	5	4.729
143	50	6.471
144	52	4.178
145	33	4.730
146	22	6.090
147	43	6.150
148	65	4.306
149	23	5.900
150	9	6.487
151	22	4.377
152	45	6.602
153	68	5.845
154	27	6.601
155	53	4.999
156	6	5.342
157	11	7.224
158	18	4.347
159	11	6.326
160	55	7.271
161	7	5.576
162	35	5.106
163	6	5.097
164	10	5.473
165	2	5.398
166	11	4.483
167	10	3.823
168	6	5.725
169	39	4.506
170	67	5.268
171	17	4.821
172	43	4.171
173	19	6.039
174	4	3.555
175	36	3.701
176	50	4.554
177	7	3.617
178	12	5.167
179	25	3.247
180	50	4.908
181	3	4.067
182	66	5.161
183	15	4.198
184	36	6.195
185	8	2.807
186	3	3.964
187	6	4.020
188	51	7.476
189	52	3.383
190	43	3.668
191	15	3.471
192	10	4.125
193	29	5.621
194	19	5.354
195	7	3.269
196	17	5.003
197	22	7.042
198	67	5.683
199	25	3.828
200	21	4.482
201	58	5.604
202	5	4.400
203	23	8.059
204	41	6.580
205	71	5.226
206	28	4.374
207	23	6.178
208	5	4.503
209	38	5.841
210	65	4.908
211	51	5.858
212	31	6.632
213	71	6.060
214	52	5.040
215	35	6.311
216	2	5.297
217	29	5.790
218	71	4.771
219	30	5.617
220	6	5.884
221	67	4.670
222	71	6.158
223	18	4.366
