sid	page	line	x	y	w	h	area	ncomp
0	f28r	12	6538	1919	37	60	1022	1
1	f28r	12	6580	1952	24	57	680	1
2	f28r	12	6610	1950	28	30	483	1
3	f28r	12	6652	1948	26	32	607	1
4	f28r	12	6682	1955	34	21	439	1
5	f28r	12	6720	1940	47	50	705	1
6	f28r	12	6762	1944	38	39	576	1
7	f28r	12	6811	1941	28	43	709	1
8	f28r	12	6851	1948	28	28	384	1
9	f28r	12	6877	1946	47	44	733	1
10	f28r	12	6940	1941	38	30	557	1
11	f28r	12	6987	1947	25	25	372	1
12	f28r	12	7021	1941	46	36	784	1
13	f28r	12	7077	1946	39	29	703	1
14	f28r	12	7118	1937	36	40	562	1
15	f28r	12	7172	1948	42	25	418	1
16	f28r	12	7221	1942	28	25	376	1
17	f28r	12	7251	1941	43	42	716	1
18	f28r	12	7300	1930	46	37	612	1
19	f28r	12	7355	1920	64	68	1439	1
20	f28r	12	7421	1943	27	22	385	1
21	f28r	12	7460	1941	38	25	609	1
22	f28r	12	7507	1940	38	46	616	1
23	f28r	12	7555	1939	29	26	341	1
24	f28r	12	7590	1940	30	35	465	1
25	f28r	12	7625	1919	34	43	418	1
26	f28r	12	7663	1938	32	24	431	1
27	f28r	12	7703	1936	31	27	362	1
28	f28r	12	7738	1930	46	32	851	1
29	f28r	13	5025	2088	33	33	555	1
30	f28r	13	5064	2091	44	43	839	1
31	f28r	13	5117	2087	32	27	434	1
32	f28r	13	5154	2090	42	24	601	1
33	f28r	13	5193	2076	47	51	829	1
34	f28r	13	5231	2080	37	41	695	1
35	f28r	13	5285	2077	30	39	640	1
36	f28r	13	5326	2083	42	39	772	1
37	f28r	13	5371	2074	41	39	781	1
38	f28r	13	5420	2084	43	27	501	1
39	f28r	13	5472	2078	42	32	713	1
40	f28r	13	5527	2083	43	26	648	1
41	f28r	13	5577	2081	48	48	896	1
42	f28r	13	5635	2077	40	29	679	1
43	f28r	13	5690	2081	32	54	765	1
44	f28r	13	5731	2077	43	44	765	1
45	f28r	13	5769	2077	64	52	791	1
46	f28r	13	5844	2075	29	26	391	1
47	f28r	13	5879	2071	27	27	471	1
48	f28r	13	5927	2076	36	28	399	1
49	f28r	13	5957	2068	45	37	653	1
50	f28r	13	6020	2072	29	25	479	1
51	f28r	13	6057	2072	30	26	378	1
52	f28r	13	6089	2067	51	57	919	2
53	f28r	13	6147	2075	25	37	482	1
54	f28r	13	6170	2040	41	58	818	1
55	f28r	13	6211	2066	35	37	524	1
56	f28r	13	6254	2078	33	22	342	1
57	f28r	13	6294	2060	50	48	614	1
58	f28r	13	6338	2078	41	18	388	1
59	f28r	13	6390	2071	24	23	430	1
60	f28r	13	6426	2072	42	47	742	1
61	f28r	13	6467	2057	47	51	765	1
62	f28r	13	6521	2062	23	32	531	1
63	f28r	13	6563	2067	39	23	417	1
64	f28r	13	6613	2067	33	21	417	1
65	f28r	13	6651	2065	34	24	332	1
66	f28r	13	6681	2059	51	46	854	1
67	f28r	13	6733	2055	41	43	707	1
68	f28r	13	6781	2063	35	22	479	1
69	f28r	13	6822	2061	31	23	339	1
70	f28r	13	6843	2053	37	40	636	1
71	f28r	13	6901	2063	23	24	373	1
72	f28r	13	6934	2063	30	27	381	1
73	f28r	13	6960	2054	33	42	608	1
74	f28r	13	6999	2059	51	42	860	1
75	f28r	13	7052	2029	53	55	940	1
76	f28r	13	7104	2062	31	26	467	1
77	f28r	13	7139	2062	33	26	402	1
78	f28r	13	7178	2055	41	36	791	1
79	f28r	13	7216	2064	41	44	511	1
80	f28r	13	7258	2041	48	64	717	1
81	f28r	13	7302	2034	16	8	72	1
82	f28r	13	7319	2057	23	22	333	1
83	f28r	13	7361	2053	40	26	425	1
84	f28r	13	7392	2056	50	55	751	1
85	f28r	13	7452	2053	25	32	394	1
86	f28r	13	7483	2055	38	50	671	1
87	f28r	13	7527	2052	38	22	362	1
88	f28r	13	7569	2049	35	27	340	1
89	f28r	13	7625	2051	45	43	653	1
90	f28r	13	7679	2038	63	41	1006	1
91	f28r	13	7751	2016	50	56	972	1
92	f28r	14	5028	2207	36	32	513	1
93	f28r	14	5056	2195	43	44	773	1
94	f28r	14	5114	2201	34	32	528	1
95	f28r	14	5154	2201	45	27	682	1
96	f28r	14	5172	2201	60	50	830	1
97	f28r	14	5237	2176	55	66	1006	1
98	f28r	14	5300	2199	43	43	737	1
99	f28r	14	5355	2197	41	26	456	1
100	f28r	14	5401	2182	46	37	759	1
101	f28r	14	5456	2186	51	40	978	1
102	f28r	14	5507	2185	40	41	708	1
103	f28r	14	5557	2194	27	24	437	1
104	f28r	14	5592	2183	36	35	481	1
105	f28r	14	5631	2178	41	43	714	1
106	f28r	14	5684	2187	41	27	453	1
107	f28r	14	5727	2183	48	40	804	1
108	f28r	14	5777	2152	90	62	1838	1
109	f28r	14	5880	2185	28	27	402	1
110	f28r	14	5916	2184	31	55	685	1
111	f28r	14	5957	2179	37	26	555	1
112	f28r	14	6005	2180	41	28	874	1
113	f28r	14	6058	2183	43	38	671	1
114	f28r	14	6121	2179	29	23	414	1
115	f28r	14	6154	2177	45	55	887	1
116	f28r	14	6203	2173	29	28	407	1
117	f28r	14	6228	2166	34	40	542	1
118	f28r	14	6271	2172	42	45	768	1
119	f28r	14	6325	2148	38	52	738	1
120	f28r	14	6359	2178	36	27	411	1
121	f28r	14	6418	2177	30	28	477	1
122	f28r	14	6453	2174	29	31	419	1
123	f28r	14	6488	2176	40	47	731	1
124	f28r	14	6544	2175	24	25	407	1
125	f28r	14	6576	2135	46	64	867	1
126	f28r	14	6626	2179	67	49	667	1
127	f28r	14	6627	2173	29	26	379	1
128	f28r	14	6700	2166	42	27	555	1
129	f28r	14	6757	2165	40	34	781	1
130	f28r	14	6799	2175	32	38	444	1
131	f28r	14	6827	2159	56	67	777	1
132	f28r	14	6896	2174	25	27	424	1
133	f28r	14	6945	2177	24	23	332	1
134	f28r	14	6977	2176	26	24	307	1
135	f28r	14	7005	2176	45	40	759	1
136	f28r	14	7054	2177	45	21	541	1
137	f28r	14	7102	2174	41	21	446	1
138	f28r	14	7159	2164	25	32	479	1
139	f28r	14	7209	2172	41	24	388	1
140	f28r	14	7251	2171	29	20	359	1
141	f28r	14	7282	2167	30	31	398	1
142	f28r	14	7332	2164	39	49	653	1
143	f28r	14	7385	2164	25	25	305	1
144	f28r	14	7424	2139	67	44	766	1
145	f28r	14	7503	2153	46	43	723	1
146	f28r	14	7560	2156	25	21	316	1
147	f28r	14	7583	2142	39	59	707	1
148	f28r	14	7639	2146	22	38	503	1
149	f28r	14	7676	2153	33	35	444	1
150	f28r	14	7713	2191	34	9	204	1
151	f28r	14	7722	2156	25	23	340	1
152	f28r	14	7748	2154	43	41	542	1
153	f28r	15	4989	2313	77	56	969	1
154	f28r	15	5074	2313	36	44	782	1
155	f28r	15	5119	2310	43	30	939	1
156	f28r	15	5169	2312	28	27	505	1
157	f28r	15	5196	2310	33	30	411	1
158	f28r	15	5245	2311	44	47	742	1
159	f28r	15	5290	2307	34	31	446	1
160	f28r	15	5329	2299	36	46	723	1
161	f28r	15	5376	2299	55	47	1041	1
162	f28r	15	5432	2275	51	57	956	1
163	f28r	15	5488	2305	28	24	446	1
164	f28r	15	5525	2303	44	26	612	1
165	f28r	15	5563	2285	55	54	899	1
166	f28r	15	5616	2297	35	30	442	1
167	f28r	15	5660	2300	45	26	610	1
168	f28r	15	5721	2300	30	23	433	1
169	f28r	15	5756	2300	29	55	709	1
170	f28r	15	5789	2296	30	26	362	1
171	f28r	15	5816	2262	48	60	1029	1
172	f28r	15	5854	2278	48	59	778	1
173	f28r	15	5913	2267	35	46	876	1
174	f28r	15	5963	2289	42	23	435	1
175	f28r	15	6004	2284	36	34	508	1
176	f28r	15	6050	2289	29	28	422	1
177	f28r	15	6075	2287	55	45	971	1
178	f28r	15	6124	2294	50	43	649	1
179	f28r	15	6184	2287	43	41	653	1
180	f28r	15	6232	2283	27	27	350	1
181	f28r	15	6261	2284	53	46	802	1
182	f28r	15	6337	2288	28	47	591	1
183	f28r	15	6373	2288	39	20	460	1
184	f28r	15	6422	2273	40	40	691	1
185	f28r	15	6477	2282	48	47	732	1
186	f28r	15	6524	2280	49	43	790	1
187	f28r	15	6602	2280	29	28	501	1
188	f28r	15	6623	2283	67	48	1289	1
189	f28r	15	6701	2261	71	45	924	1
190	f28r	15	6778	2266	45	57	685	1
191	f28r	15	6830	2283	41	21	448	1
192	f28r	15	6879	2282	38	22	426	1
193	f28r	15	6927	2275	30	29	408	1
194	f28r	15	6974	2269	27	36	611	1
195	f28r	15	7015	2275	49	43	849	1
196	f28r	15	7071	2248	43	55	846	1
197	f28r	15	7135	2276	26	25	435	1
198	f28r	15	7170	2273	31	26	415	1
199	f28r	15	7207	2273	43	49	788	1
200	f28r	15	7267	2270	30	27	550	1
201	f28r	15	7303	2274	36	23	392	1
202	f28r	15	7353	2270	44	42	606	1
203	f28r	15	7399	2265	31	47	488	1
204	f28r	15	7427	2255	18	7	66	1
205	f28r	15	7458	2268	33	25	319	1
206	f28r	15	7498	2269	37	19	351	1
207	f28r	15	7541	2268	34	36	571	1
208	f28r	15	7587	2261	44	47	656	1
209	f28r	15	7633	2247	46	58	683	1
210	f28r	15	7689	2252	23	36	497	1
211	f28r	15	7721	2261	57	49	723	1
212	f28r	15	7785	2261	16	35	272	2
213	f28r	16	5027	2415	42	32	630	1
214	f28r	16	5076	2397	75	49	1133	1
215	f28r	16	5154	2393	47	51	977	1
216	f28r	16	5184	2405	56	56	1057	1
217	f28r	16	5240	2414	32	35	492	1
218	f28r	16	5296	2413	37	34	539	1
219	f28r	16	5348	2416	29	28	525	1
220	f28r	16	5383	2409	32	31	693	1
221	f28r	16	5417	2410	32	27	449	1
222	f28r	16	5453	2407	34	32	502	1
223	f28r	16	5493	2406	44	53	798	1
224	f28r	16	5535	2396	46	55	827	1
225	f28r	16	5579	2398	38	46	762	1
226	f28r	16	5632	2409	54	53	922	1
227	f28r	16	5687	2404	37	34	479	1
228	f28r	16	5738	2402	46	48	730	1
229	f28r	16	5795	2391	41	34	702	1
230	f28r	16	5847	2396	27	28	543	1
231	f28r	16	5884	2399	47	49	821	1
232	f28r	16	5934	2400	56	49	1022	1
233	f28r	16	6004	2404	33	28	389	1
234	f28r	16	6049	2395	28	37	595	1
235	f28r	16	6096	2403	40	28	812	1
236	f28r	16	6143	2404	53	45	847	1
237	f28r	16	6200	2407	39	21	437	1
238	f28r	16	6244	2405	42	24	482	1
239	f28r	16	6293	2402	51	47	801	1
240	f28r	16	6353	2372	44	55	876	1
241	f28r	16	6388	2388	45	48	743	1
242	f28r	16	6440	2401	43	39	686	1
243	f28r	16	6484	2399	43	24	449	1
244	f28r	16	6536	2398	43	27	420	1
245	f28r	16	6593	2401	38	36	672	1
246	f28r	16	6628	2389	48	44	669	1
247	f28r	16	6681	2391	45	53	768	1
248	f28r	16	6732	2371	49	56	933	1
249	f28r	16	6778	2393	30	31	451	1
250	f28r	16	6814	2388	32	43	622	1
251	f28r	16	6862	2396	45	26	418	1
252	f28r	16	6911	2395	22	23	342	1
253	f28r	16	6941	2392	30	30	432	1
254	f28r	16	6994	2391	50	43	816	1
255	f28r	16	7056	2388	44	42	639	1
256	f28r	16	7108	2388	29	30	401	1
257	f28r	16	7143	2383	33	40	622	1
258	f28r	16	7183	2355	50	63	960	1
259	f28r	16	7236	2391	35	25	494	1
260	f28r	16	7282	2392	16	23	195	1
261	f28r	16	7301	2388	11	16	98	1
262	f28r	16	7321	2387	43	42	637	1
263	f28r	16	7359	2422	21	6	93	1
264	f28r	16	7385	2388	29	31	367	1
265	f28r	16	7425	2387	29	18	278	1
266	f28r	16	7458	2413	18	12	121	1
267	f28r	16	7468	2373	39	47	429	1
268	f28r	16	7508	2377	55	49	529	2
269	f28r	16	7577	2386	44	36	536	1
270	f28r	16	7626	2371	40	53	586	2
271	f28r	16	7685	2387	27	21	340	1
272	f28r	16	7723	2383	27	25	428	1
273	f28r	16	7755	2377	40	38	652	1
274	f28r	17	5026	2524	51	58	1136	1
275	f28r	17	5081	2522	30	53	761	1
276	f28r	17	5115	2524	29	30	444	1
277	f28r	17	5141	2492	52	58	1244	1
278	f28r	17	5193	2517	55	54	1083	1
279	f28r	17	5245	2508	42	52	871	1
280	f28r	17	5299	2515	27	33	632	1
281	f28r	17	5321	2522	64	52	920	1
282	f28r	17	5391	2520	27	27	468	1
283	f28r	17	5426	2522	40	22	549	1
284	f28r	17	5471	2520	33	27	420	1
285	f28r	17	5513	2523	40	27	483	1
286	f28r	17	5555	2519	33	27	447	1
287	f28r	17	5579	2513	43	45	706	1
288	f28r	17	5629	2522	43	23	530	1
289	f28r	17	5678	2515	48	32	874	1
290	f28r	17	5729	2505	38	44	742	1
291	f28r	17	5787	2512	49	43	877	1
292	f28r	17	5853	2512	44	46	842	1
293	f28r	17	5909	2515	35	25	490	1
294	f28r	17	5949	2515	33	25	407	1
295	f28r	17	5989	2514	37	24	526	1
296	f28r	17	6031	2514	38	28	440	1
297	f28r	17	6083	2519	37	32	460	1
298	f28r	17	6131	2507	26	40	658	1
299	f28r	17	6167	2485	44	59	971	1
300	f28r	17	6206	2500	50	64	881	1
301	f28r	17	6253	2508	38	44	662	1
302	f28r	17	6307	2513	42	44	750	1
303	f28r	17	6364	2507	28	37	525	1
304	f28r	17	6400	2516	39	26	416	1
305	f28r	17	6445	2513	35	28	421	1
306	f28r	17	6501	2477	45	57	996	1
307	f28r	17	6542	2496	36	43	720	1
