line	pos	token	value	grade	gloss
r02	8	V	i	H	in
r02	9	U	n	H	in
r02	10	Y	o	S	oppidum
r02	11	4	p	S	oppidum
r02	12	V	i	S	oppidum
r02	13	T	d	S	oppidum
r02	14	cc	u	S	oppidum
r02	15	D	m	S	oppidum
r02	16	g		M	
r03	1	L	c	H	cerbes
r03	2	q	e	H	cerbes
r03	3	R	r	H	cerbes
r03	4	7	b	H	cerbes
r03	5	q	e	H	cerbes
r03	6	P	s	H	cerbes
r03	7	P	s	S	
r03	8	q	e	H	et
r03	9	Po	t	H	et
r03	10	V	i	H	ibi
r03	11	7	b	H	ibi
r03	12	V	i	H	ibi
r03	13	q	e	H	erant
r03	14	R	r	H	erant
r03	15	6	a	H	erant
r03	16	U	n	H	erant
r03	17	Po	t	H	erant
r03	18	P	s	H	simul
r03	19	V	i	H	simul
r03	20	D	m	H	simul
r03	21	cc	u	H	simul
r03	22	9	l	H	simul
r03	23	HHH	?	unread	ma?ch??
r03	24	SX	=Saxonie	M	saxo
r03	25	F	=marchio	H	march
r04	1	O	=Luneburg	H	luneburg
r04	3	PW	=Mekleburg	H	mekleburgen
r04	4	q	e	H	et
r04	5	Po	t	H	et
r04	6	D	m	H	multi
r04	7	cc	u	H	multi
r04	8	9	l	H	multi
r04	9	Po	t	H	multi
r04	10	V	i	H	multi
r04	11	6	a	H	alij
r04	12	9	l	H	alij
r04	13	V	i	H	alij
r04	14	V	i	H	alij
r04	15	Y~	?	unread	t
r04	16	q	e	H	ego
r04	17	+	g	H	ego
r04	18	Y	o	H	ego
r04	19	3	f	H	filius
r04	20	V	i	H	filius
r04	21	9	l	H	filius
r04	22	V	i	H	filius
r04	23	cc	u	H	filius
r04	24	P	s	H	filius
r04	25	PW	=dux	H	dux
r04	26	O	=Luneburg	H	de_lune
r05	8	q	e	H	ego
r05	9	+	g	H	ego
r05	10	Y	o	H	ego
r05	11	V	i	S	joachim
r05	12	Y	o	S	joachim
r05	13	L	c	S	joachim
r05	14	Π	h	S	joachim
r05	15	V	i	S	joachim
r05	16	U	n	S	joachim
r05	17	cc	u	H	ut
r05	18	Po	t	H	ut
r06	1	4	p	H	proposui
r06	2	R2	r	H	proposui
r06	3	Y	o	H	proposui
r06	4	4	p	H	proposui
r06	5	Y	o	H	proposui
r06	6	P	s	H	proposui
r06	7	cc	u	H	proposui
r06	8	V	i	H	proposui
r06	9	F	=marchio	H	marchio
r06	10	L	c	H	commissionem
r06	11	Y	o	H	commissionem
r06	12	U	m	H	commissionem
r06	13	D	m	H	commissionem
r06	14	V	i	H	commissionem
r06	15	P	s	H	commissionem
r06	16	P	s	H	commissionem
r06	17	D	i	H	commissionem
r06	18	Y	o	H	commissionem
r06	19	U	n	H	commissionem
r06	20	q	e	H	commissionem
r06	21	D	m	H	commissionem
r06	22	D	m	H	meam
r06	23	q	e	H	meam
r06	24	6	a	H	meam
r06	25	D	m	H	meam
r07	3	O	=Luneburg	H	de_luneburg
r07	6	PW	=Mekleburg	H	mekle
r07	11	F	=marchio	H	marchion
r08	4	F	=marchio	H	marchio
r08	5	L	c	H	cum
r08	6	cc	u	H	cum
r08	7	D	m	H	cum
r08	8	6	a	H	auxilio
r08	9	cc	u	H	auxilio
r08	10	II	x	H	auxilio
r08	11	V	i	H	auxilio
r08	12	9	l	H	auxilio
r08	13	V	i	H	auxilio
r08	14	Y	o	H	auxilio
r08	15	O	=Luneburg	H	de_luneborg
r08	16	?BLOT	?	unread	
r08	17	q	e	H	et
r08	18	Po	t	H	et
r09	1	PW	=Mekleburg	H	mekleburg
r09	6	3	f	H	fedus
r09	7	q	e	H	fedus
r09	8	T	d	H	fedus
r09	9	cc	u	H	fedus
r09	10	P	s	H	fedus
r09	11	g		M	
r09	12	L	c	H	concludatur
r09	13	Y	o	H	concludatur
r09	14	U	n	H	concludatur
r09	15	L	c	H	concludatur
r09	16	9	l	H	concludatur
r09	17	cc	u	H	concludatur
r09	18	T	d	H	concludatur
r09	19	6	a	H	concludatur
r09	20	Po	t	H	concludatur
r10	1	cc	u	H	concludatur
r10	2	R	r	H	concludatur
r10	3	o		M	
r10	4	g		M	
r11	3	K	=christianissimus	H	chrmo
r11	8	K	=christianissimus	H	chro
r12	2	q	e	H	eos
r12	3	Y	o	H	eos
r12	4	P	s	H	eos
r12	5	q	e	H	et
r12	6	Po	t	H	et
r12	7	Z	q	H	qui
r12	8	cc	u	H	qui
r12	9	V	i	H	qui
r12	10	V	i	H	inter
r12	11	U	n	H	inter
r12	12	Po	t	H	inter
r12	13	q	e	H	inter
r12	14	R	r	H	inter
r12	15	+	g	H	germanie
r12	16	q	e	H	germanie
r12	17	R	r	H	germanie
r12	18	D	m	H	germanie
r12	19	6	a	H	germanie
r12	20	U	n	H	germanie
r12	21	V	i	H	germanie
r12	22	q	e	H	germanie
r12	23	4	p	H	principes
r12	24	R	r	H	principes
r13	1	V	i	H	principes
r13	2	U	n	H	principes
r13	3	L	c	H	principes
r13	4	V	i	H	principes
r13	5	4	p	H	principes
r13	6	q	e	H	principes
r13	7	P	s	H	principes
r13	8	6	a	H	attrahi
r13	9	Po	t	H	attrahi
r13	10	Po	t	H	attrahi
r13	11	R	r	H	attrahi
r13	12	6	a	H	attrahi
r13	13	Π	h	H	attrahi
r13	14	V	i	H	attrahi
r13	15	4	p	H	possunt
r13	16	Y	o	H	possunt
r13	17	P	s	H	possunt
r13	18	P	s	H	possunt
r13	19	cc	u	H	possunt
r13	20	U	n	H	possunt
r13	21	Po	t	H	possunt
r13	22	3	f	H	fiat
r13	23	V	i	H	fiat
r13	24	6	a	H	fiat
r13	25	Po	t	H	fiat
r13	26	g		M	
r14	1	3	f	H	fedus
r14	2	q	e	H	fedus
r14	3	T	d	H	fedus
r14	4	cc	u	H	fedus
r14	5	P	s	H	fedus
r14	6	?BLOT	?	unread	
r14	7	q	e	H	et
r14	8	Po	t	H	et
r14	9	cc	u	H	unus
r14	10	U	n	H	unus
r14	11	cc	u	H	unus
r14	12	P	s	H	unus
r14	13	6	a	H	articulus
r14	14	R	r	H	articulus
r14	15	Po	t	H	articulus
