line	signs_A	signs_B	agree	columns	share
r01	13	13	12	13	0.923
r02	18	16	15	18	0.833
r03	6	6	2	6	0.333
r04	23	23	22	23	0.957
r05	17	17	14	17	0.824
r06	22	22	22	22	1.000
r07	15	15	14	15	0.933
r08	13	12	10	13	0.769
r09	23	23	23	23	1.000
r10	19	19	19	19	1.000
r11	17	17	17	17	1.000
r12	13	13	12	13	0.923
r13	16	16	16	16	1.000
r14	22	22	22	22	1.000
r15	20	20	20	20	1.000
r16	21	21	21	21	1.000
r17	21	21	21	21	1.000
r18	21	21	21	21	1.000
r19	20	20	20	20	1.000
r20	21	20	19	21	0.905
r21	20	20	20	20	1.000
r22	21	21	21	21	1.000
r23	20	20	20	20	1.000
r24	20	20	20	20	1.000
v01	20	20	19	20	0.950
v02	20	20	20	20	1.000
v03	20	20	20	20	1.000
v04	19	18	18	19	0.947
v05	18	18	18	18	1.000
v06	18	18	18	18	1.000
v07	16	16	16	16	1.000
v08	18	18	18	18	1.000
v09	16	16	15	16	0.938
v10	12	12	12	12	1.000
v11	15	15	13	15	0.867
v12	19	19	19	19	1.000
v13	14	14	13	14	0.929
v14	13	12	9	13	0.692
v15	12	12	9	12	0.750
v16	3	3	2	3	0.667
