line	position	sign	confidence
R1	1	unk1	L
R1	2	unk2	L
R1	3	null	M
R1	4	unk3	L
R1	5	unk4	L
R1	6	unk5	L
R2	1	unk1	L
R2	2	null	M
R2	3	word:grand	H
R2	4	unk2	L
R2	5	unk3	L
R2	6	unk4	M
R2	7	unk5	L
R2	8	unk6	L
R2	9	unk7	L
R2	10	unk8	L
R2	11	unk9	L
R2	12	unk10	L
R2	13	unk11	L
R2	14	unk12	M
R2	15	unk13	L
R2	16	unk14	L
R2	17	unk15	L
R2	18	unk16	L
R2	19	unk17	L
R2	20	unk18	L
R3	1	word:grand	H
R3	2	word:ou	M
R3	3	null	H
R3	4	unk1	L
R3	5	unk2	L
R3	6	word:Dont	H
R3	7	word:je	H
R3	8	word:puis	H
R3	9	word:cy	M
R3	10	word:poynt	M
R3	11	word:de	H
R3	12	word:pouoir	M
R3	13	word:que	H
R3	14	unk3	L
R3	15	unk4	L
R4	1	word:Par	H
R4	2	unk1	L
R4	3	unk2	L
R4	4	unk3	M
R4	5	unk4	L
R4	6	unk5	L
R4	7	unk6	L
R4	8	unk7	L
R4	9	unk8	L
R4	10	unk9	L
R4	11	unk10	M
R4	12	unk11	L
R4	13	unk12	L
R4	14	null	M
R4	15	unk13	L
R4	16	unk14	L
R4	17	unk15	L
R5	1	unk1	L
R5	2	unk2	L
R5	3	unk3	L
R5	4	unk4	M
R5	5	word:suet	M
R5	6	unk5	L
R5	7	unk6	L
R5	8	unk7	L
R5	9	unk8	L
R5	10	null	M
R5	11	unk9	L
R5	12	unk10	L
R5	13	unk11	L
R5	14	word:oy	M
R5	15	word:anoit	M
R6	1	word:affaire	H
R6	2	unk1	L
R6	3	unk2	L
R6	4	unk3	L
R6	5	unk4	L
R6	6	unk5	L
R6	7	unk6	L
R6	8	unk7	L
R6	9	unk8	L
R6	10	unk9	L
R6	11	unk10	L
R6	12	unk11	L
R6	13	unk12	L
R6	14	unk13	L
R7	1	unk1	L
R7	2	unk2	L
R7	3	unk3	L
R7	4	unk4	L
R7	5	unk5	L
R7	6	word:quand	H
R7	7	unk6	L
R7	8	unk7	L
R7	9	null	H
R7	10	unk8	L
R7	11	null	M
R7	12	unk9	L
R8	1	null	H
R8	2	unk1	L
R8	3	unk2	L
R8	4	unk3	L
R8	5	unk4	L
R8	6	unk5	L
R8	7	unk6	L
R8	8	unk7	L
R8	9	unk8	L
R8	10	unk9	L
R8	11	unk10	L
R8	12	word:de	M
R8	13	unk11	L
V1	1	unk1	L
V1	2	unk2	L
V1	3	unk3	L
V1	4	unk4	L
V1	5	unk5	L
V1	6	unk6	L
V1	7	unk7	L
V1	8	unk8	L
V1	9	unk9	M
V1	10	unk10	L
V1	11	unk11	L
V1	12	null	H
V1	13	unk12	L
V1	14	unk13	L
V2	1	unk1	L
V2	2	unk2	L
V2	3	unk3	L
V2	4	unk4	L
V2	5	unk5	M
V2	6	word:par	H
V2	7	unk6	L
V2	8	unk7	L
V2	9	unk8	L
V2	10	unk9	L
V2	11	unk10	L
V2	12	unk11	L
V2	13	unk12	L
V2	14	unk13	L
V2	15	unk14	L
V2	16	unk15	L
V3	1	unk1	L
V3	2	unk2	L
V3	3	unk3	M
V3	4	unk4	L
V3	5	word:grand	H
V3	6	null	H
V3	7	unk5	L
V3	8	unk6	L
V3	9	unk7	L
V3	10	unk8	L
V3	11	unk9	L
V3	12	unk10	L
V4	1	word:de	M
V4	2	word:toujours	M
V4	3	unk1	L
V4	4	unk2	L
V4	5	word:quand	H
V4	6	unk3	L
V4	7	unk4	L
V4	8	null	M
V4	9	unk5	L
V4	10	unk6	L
V4	11	unk7	L
V4	12	unk8	L
V5	1	unk1	L
V5	2	unk2	L
V5	3	unk3	L
V5	4	unk4	L
V5	5	unk5	L
V5	6	unk6	L
V5	7	unk7	L
V5	8	unk8	L
V5	9	word:par	M
V5	10	unk9	L
V5	11	unk10	L
V5	12	unk11	L
V5	13	unk12	L
V6	1	unk1	L
V6	2	unk2	L
V6	3	unk3	L
V6	4	unk4	L
V6	5	unk5	L
V6	6	unk6	L
V6	7	unk7	L
V6	8	unk8	L
V6	9	null	M
V6	10	word:solontuire	L
V6	11	unk9	L
V6	12	unk10	L
V7	1	unk1	L
V7	2	unk2	L
V7	3	unk3	L
V7	4	unk4	L
V7	5	null	H
V7	6	word:je	H
V7	7	word:say	M
V7	8	word:requis	M
V7	9	word:comme	H
V7	10	word:vous	H
V7	11	word:savez	M
V7	12	word:par	H
V8	1	word:les	H
V8	2	word:lettres	H
V8	3	word:du	H
V8	4	word:roy	H
V8	5	unk1	L
V8	6	unk2	L
V8	7	unk3	L
V8	8	unk4	L
V8	9	unk5	L
V8	10	unk6	L
V8	11	unk7	L
V8	12	unk8	L
V9	1	unk1	L
V9	2	unk2	L
V9	3	word:d'autre	M
V9	4	word:part	H
V9	5	unk3	L
V9	6	unk4	L
V9	7	unk5	L
V9	8	unk6	L
V9	9	unk7	L
V9	10	unk8	L
V10	1	unk1	L
V10	2	unk2	L
V10	3	unk3	M
V10	4	null	H
V10	5	word:sont	M
V10	6	unk4	L
V10	7	unk5	L
V10	8	unk6	L
V10	9	unk7	L
V10	10	word:fust	M
V10	11	word:de	M
V10	12	word:rs	L
V11	1	unk1	L
V11	2	unk2	L
V11	3	unk3	L
V11	4	unk4	L
V11	5	unk5	L
V11	6	unk6	L
V11	7	unk7	L
V11	8	null	M
V11	9	unk8	L
V11	10	unk9	L
V11	11	word:incontinent	H
V11	12	word:quil	H
V11	13	word:sera	M
V12	1	word:venu	L
V12	2	unk1	L
V12	3	unk2	L
V12	4	unk3	L
V12	5	unk4	L
V12	6	unk5	L
V12	7	unk6	L
V12	8	unk7	L
V12	9	unk8	L
V12	10	unk9	L
V13	1	word:le	M
V13	2	word:plus	H
V13	3	word:commodement	H
V13	4	word:quil	H
V13	5	word:me	H
V13	6	word:sera	M
V13	7	word:possible	H
V13	8	word:et	H
V13	9	word:say	M
V13	10	word:bien	H
V13	11	word:quil	H
V13	12	word:y	H
V14	1	word:fera	H
V14	2	word:ce	H
V14	3	word:quil	H
V14	4	word:pourra	H
V14	5	word:cependant	M
V14	6	word:jay	M
V14	7	word:suy	M
V14	8	word:voulu	M
V14	9	word:faire	H
V14	10	word:ceste	M
V14	11	word:depesche	M
V15	1	word:affin	H
V15	2	word:que	H
V15	3	word:vous	H
V15	4	word:puissiez	M
V15	5	word:congnoistre	M
V15	6	word:lestat	M
V15	7	word:des	H
V15	8	word:affaires	H
V15	9	word:de	H
V15	10	word:ce	H
V15	11	word:royaulme	H
V16	1	word:la	H
V16	2	word:promesse	H
V16	3	word:que	H
V16	4	word:de	H
V16	5	word:long	H
V16	6	word:temps	H
V16	7	word:ma	H
V16	8	word:este	H
V16	9	word:faicte	H
V16	10	word:la	H
V16	11	word:asseurance	M
V16	12	word:que	H
V16	13	word:soy	M
