line	sign
1	_
1	_
1	_
1	_
1	_
1	_
1	_
1	_
1	_
1	s20
1	s8
1	_
1	s9
1	s24
1	s24
1	s12
1	s27
1	s10
1	s16
1	s0
1	s21
1	s25
1	s8
1	s12
1	s21
1	s22
2	s10
2	s3
2	s27
2	s9
2	_
2	s19
2	s10
2	s18
2	s7
2	s30
2	s23
2	s3
2	s30
2	s7
2	s17
2	s34
2	s1
2	s12
2	_
2	s0
2	s25
2	s29
2	s7
2	s19
2	s7
2	s21
2	s25
2	s5
2	s20
3	s5
3	s10
3	s26
3	s4
3	s18
3	s0
3	s16
3	s4
3	s10
3	s21
3	s27
3	_
3	_
3	s18
3	s16
3	s9
3	_
3	_
3	_
3	_
3	_
3	_
3	_
3	_
3	_
3	_
3	_
3	_
3	_
3	_
3	s23
3	s9
4	s16
4	s16
4	s5
4	_
4	s9
4	s19
4	s12
4	s25
4	s5
4	s26
4	s26
4	s0
4	s22
4	s21
4	s1
4	s4
4	s17
4	s7
4	s28
4	s3
4	s11
4	s18
4	s28
4	s10
4	s14
4	s7
5	s12
5	s22
5	s19
5	s27
5	s27
5	s23
5	s1
5	s13
5	s8
5	s3
5	s28
5	_
5	s9
5	_
5	_
5	_
5	_
5	_
5	_
5	_
5	_
5	_
5	_
5	_
5	_
5	_
6	s14
6	s4
6	s13
6	s7
6	s28
6	s9
6	s20
6	s3
6	s14
6	s11
6	s7
6	_
6	s0
6	s20
6	_
6	s28
6	s20
6	s9
6	s25
6	s29
6	s8
6	s0
6	s9
6	s13
6	s11
6	s18
6	s4
6	s24
7	s11
7	s26
7	s7
7	s17
7	s16
7	s10
7	_
7	s8
7	s26
7	s2
7	s4
7	s27
7	s10
7	s28
7	s13
7	s7
7	s25
7	s29
7	s7
7	s26
7	s10
7	s1
7	s18
7	s8
7	s12
7	s19
7	s9
7	s19
7	s12
7	s27
8	s10
8	s14
8	s24
8	s11
8	s15
8	s4
8	s6
8	s13
8	s12
8	s23
8	s1
8	_
8	s4
8	s33
8	_
8	s21
8	s16
8	s6
8	s9
8	s1
8	s24
8	s25
8	s17
8	s21
8	_
9	_
9	_
9	s9
9	_
9	_
9	_
9	_
9	_
9	_
9	_
9	_
9	_
9	s26
9	s27
9	_
9	_
9	_
9	s19
9	s25
9	_
9	s30
9	_
9	s12
10	s23
10	s15
10	s13
10	s11
10	s25
10	s4
10	s21
10	s12
10	s27
10	s4
10	s0
10	s14
10	s19
10	s16
10	s0
10	s24
10	_
10	s5
10	s20
10	s26
10	s1
10	s23
10	s26
10	s8
10	s18
10	s15
11	_
11	_
11	s12
11	s25
11	s25
11	s6
11	s26
11	s12
11	s18
11	s28
11	s4
11	s10
11	s20
11	s4
11	_
11	s13
11	s10
11	s21
11	s0
11	s31
11	s18
11	s4
11	s14
11	s3
11	s12
11	s27
11	s14
11	s8
11	s30
12	_
12	_
12	_
12	s25
12	s5
12	s18
12	s15
12	s19
12	s16
12	s15
12	s4
12	s0
12	s24
12	_
12	s14
12	s5
12	s25
12	s29
12	s8
12	s21
12	s2
12	s28
12	s8
12	s30
12	s18
12	_
12	s5
12	s19
12	s20
13	s7
13	_
13	s14
13	s26
13	s1
13	s3
13	s17
13	s33
13	_
13	s22
13	s15
13	s12
13	s18
13	s8
13	s25
13	s8
13	s21
13	s22
13	s2
13	s16
13	s11
13	_
13	_
13	_
13	s27
13	_
14	_
14	s33
14	s19
14	s8
14	s21
14	s16
14	s6
14	s32
14	s8
14	_
14	s31
14	s1
14	s34
14	s0
14	s4
14	s28
14	s4
14	s19
14	_
14	s6
14	s17
14	s5
14	s14
14	s2
14	s27
14	s6
14	_
15	_
15	_
15	_
15	_
15	_
15	_
15	_
15	s23
15	s11
15	s26
15	s2
15	s29
15	s11
15	_
15	_
15	_
15	_
15	s24
15	_
15	_
15	s7
15	s15
16	_
16	_
16	_
16	_
16	_
16	s14
16	_
16	_
16	_
16	s31
16	_
16	s16
16	_
16	s29
16	_
16	s17
16	_
16	s21
16	_
16	_
16	s14
16	s12
16	s16
16	s5
16	_
16	s14
16	_
16	_
16	_
17	s20
17	_
17	_
17	s6
17	s19
17	s9
17	s26
17	s32
17	s13
17	s7
17	s26
17	s28
17	s35
17	s24
17	s0
17	s28
17	s3
17	s20
17	s22
17	s19
17	s26
17	s3
17	s24
17	s8
17	_
17	_
18	_
18	s22
18	s9
18	s13
18	s20
18	s6
18	s0
18	_
18	s4
18	_
18	s26
18	s4
18	s32
18	s5
18	s14
18	s14
18	s5
18	s35
18	_
18	_
18	_
18	_
19	_
19	s5
19	s22
19	s2
19	s30
19	_
19	s14
19	s26
19	_
19	_
19	s21
19	_
19	_
19	_
19	_
19	_
19	s6
19	_
19	_
19	s1
19	s17
19	s6
19	s27
19	s11
19	_
19	s18
19	s1
19	_
