pos	sign
0	s18
1	s18
2	s10
3	s14
4	s5
5	s14
6	s27
7	s10
8	s18
9	s0
10	s20
11	s20
12	s0
13	s26
14	s29
15	s9
16	s0
17	s13
18	s21
19	s8
20	s15
21	s6
22	s9
23	s23
24	s23
25	s11
26	s27
27	s10
28	s17
29	s3
30	s19
31	s26
32	s8
33	s10
34	s20
35	s20
36	s11
37	s1
38	s27
39	s8
40	s16
41	s19
42	s21
43	s10
44	s14
45	s7
46	s30
47	s24
48	s1
49	s30
50	s8
51	s14
52	s34
53	s3
54	s11
55	s27
56	s4
57	s0
58	s26
59	s29
60	s9
61	s22
62	s9
63	s19
64	s26
65	s5
66	s22
67	s5
68	s12
69	s25
70	s6
71	s14
72	s1
73	s17
74	s6
75	s12
76	s20
77	s27
78	s15
79	s11
80	s25
81	s7
82	s14
83	s18
84	s9
85	s28
86	s12
87	s23
88	s28
89	s22
90	s26
91	s12
92	s3
93	s14
94	s18
95	s7
96	s20
97	s7
98	s26
99	s29
100	s7
101	s0
102	s24
103	s19
104	s22
105	s4
106	s13
107	s1
108	s27
109	s5
110	s17
111	s8
112	s9
113	s23
114	s8
115	s18
116	s18
117	s5
118	s10
119	s21
120	s8
121	s22
122	s12
123	s26
124	s4
125	s25
126	s25
127	s3
128	s20
129	s19
130	s1
131	s5
132	s13
133	s8
134	s28
135	s2
136	s11
137	s13
138	s28
139	s10
140	s15
141	s7
142	s11
143	s20
144	s21
145	s27
146	s27
147	s24
148	s0
149	s15
150	s7
151	s1
152	s28
153	s2
154	s31
155	s7
156	s17
157	s17
158	s0
159	s20
160	s22
161	s4
162	s0
163	s19
164	s22
165	s32
166	s1
167	s17
168	s6
169	s20
170	s3
171	s11
172	s26
173	s4
174	s7
175	s20
176	s9
177	s13
178	s7
179	s23
180	s31
181	s22
182	s15
183	s4
184	s16
185	s9
186	s28
187	s7
188	s22
189	s0
190	s15
191	s10
192	s7
193	s27
194	s15
195	s0
196	s22
197	s5
198	s3
199	s28
200	s21
201	s9
202	s26
203	s29
204	s8
205	s2
206	s8
207	s16
208	s11
209	s13
210	s6
211	s24
212	s11
213	s25
214	s9
215	s13
216	s18
217	s11
218	s18
219	s3
220	s8
221	s25
222	s0
223	s5
224	s27
225	s11
226	s28
227	s16
228	s7
229	s26
230	s29
231	s9
232	s25
233	s12
234	s1
235	s14
236	s7
237	s12
238	s22
239	s9
240	s21
241	s11
242	s27
243	s10
244	s16
245	s23
246	s11
247	s18
248	s5
249	s6
250	s15
251	s11
252	s24
253	s0
254	s32
255	s9
256	s5
257	s33
258	s22
259	s8
260	s20
261	s17
262	s4
263	s9
264	s3
265	s23
266	s26
267	s14
268	s19
269	s5
270	s9
271	s33
272	s21
273	s2
274	s14
275	s8
276	s22
277	s13
278	s27
279	s16
280	s3
281	s25
282	s12
283	s24
284	s6
285	s4
286	s14
287	s4
288	s16
289	s9
290	s26
291	s29
292	s7
293	s1
294	s25
295	s27
296	s5
297	s15
298	s17
299	s4
300	s27
301	s2
302	s22
303	s26
304	s29
305	s4
306	s30
307	s14
308	s2
309	s10
310	s24
311	s17
312	s16
313	s12
314	s26
315	s6
316	s19
317	s12
318	s27
319	s6
320	s1
321	s15
322	s21
323	s18
324	s2
325	s24
326	s9
327	s3
328	s5
329	s21
330	s25
331	s0
332	s23
333	s25
334	s8
335	s13
336	s17
337	s8
338	s25
339	s0
340	s16
341	s10
342	s26
343	s26
344	s6
345	s25
346	s11
347	s14
348	s28
349	s6
350	s10
351	s22
352	s5
353	s20
354	s18
355	s15
356	s11
357	s19
358	s3
359	s31
360	s14
361	s5
362	s15
363	s2
364	s11
365	s27
366	s15
367	s8
368	s30
369	s11
370	s14
371	s28
372	s5
373	s24
374	s10
375	s26
376	s4
377	s14
378	s17
379	s22
380	s17
381	s17
382	s4
383	s0
384	s24
385	s26
386	s5
387	s15
388	s4
389	s26
390	s29
391	s8
392	s20
393	s1
394	s28
395	s7
396	s30
397	s13
398	s2
399	s20
400	s6
401	s21
402	s21
403	s7
404	s13
405	s0
406	s16
407	s25
408	s0
409	s2
410	s14
411	s33
412	s21
413	s8
414	s19
415	s17
416	s12
417	s14
418	s7
419	s26
420	s8
421	s20
422	s19
423	s3
424	s18
425	s10
426	s8
427	s17
428	s3
429	s6
430	s16
431	s0
432	s27
433	s6
434	s16
435	s16
436	s4
437	s33
438	s22
439	s9
440	s20
441	s18
442	s5
443	s32
444	s7
445	s14
446	s7
447	s31
448	s1
449	s34
450	s2
451	s6
452	s28
453	s5
454	s22
455	s7
456	s19
457	s6
458	s13
459	s4
460	s16
461	s1
462	s27
463	s5
464	s20
465	s18
466	s0
467	s30
468	s23
469	s0
470	s10
471	s24
472	s17
473	s15
474	s0
475	s26
476	s29
477	s7
478	s8
479	s24
480	s24
481	s10
482	s25
483	s2
484	s29
485	s12
486	s31
487	s12
488	s18
489	s17
490	s5
491	s9
492	s18
493	s11
494	s24
495	s22
496	s4
497	s30
498	s4
499	s9
500	s18
501	s9
502	s25
503	s27
504	s6
505	s28
506	s1
507	s25
508	s6
509	s19
510	s18
511	s15
512	s7
513	s16
514	s4
515	s26
516	s5
517	s13
518	s31
519	s11
520	s17
521	s17
522	s2
523	s8
524	s29
525	s1
526	s6
527	s13
528	s4
529	s14
530	s19
531	s6
532	s1
533	s14
534	s30
535	s16
536	s10
537	s17
538	s4
539	s28
540	s3
541	s15
542	s5
543	s25
544	s10
545	s11
546	s24
547	s2
548	s22
549	s1
550	s28
551	s1
552	s13
553	s6
554	s21
555	s9
556	s25
557	s32
558	s15
559	s7
560	s25
561	s28
562	s35
563	s23
564	s2
565	s28
566	s1
567	s22
568	s19
569	s21
570	s25
571	s3
572	s24
573	s9
574	s9
575	s31
576	s2
577	s28
578	s7
579	s24
580	s19
581	s9
582	s16
583	s22
584	s6
585	s1
586	s31
587	s16
588	s6
589	s13
590	s3
591	s25
592	s5
593	s32
594	s6
595	s16
596	s16
597	s5
