design	N_tokens	seed	symbols	symbol_types	token_acc	letter_acc	best_score	true_score	info	time
cm	720	1	720	108	66.9%	66.9%	-1659.0	-1705.7	{"K": 108, "key_K": 126}	15s
cm	720	2	720	108	30.8%	30.8%	-1721.3	-1705.7	{"K": 108, "key_K": 126}	13s
cm	720	3	720	109	21.9%	21.9%	-1701.3	-1705.7	{"K": 109, "key_K": 126}	14s
cm	1400	1	1400	123	29.4%	29.4%	-3473.4	-3300.8	{"K": 123, "key_K": 126}	20s
cm	1400	2	1400	120	68.9%	68.9%	-3386.9	-3300.8	{"K": 120, "key_K": 126}	21s
cm	1400	3	1400	121	87.1%	87.1%	-3193.1	-3300.8	{"K": 121, "key_K": 126}	20s
cm	2800	1	2800	126	88.9%	88.9%	-6675.9	-6588.4	{"K": 126, "key_K": 126}	32s
cm	2800	2	2800	125	89.1%	89.1%	-6635.1	-6588.4	{"K": 125, "key_K": 126}	35s
cm	2800	3	2800	126	94.0%	94.0%	-6507.9	-6588.4	{"K": 126, "key_K": 126}	37s
vi	720	1	1085	46	93.1%	95.4%	-2486.6	-2500.0	{"marked": 0.5069444444444444}	34s
vi	720	2	1085	46	95.7%	97.1%	-2489.9	-2500.0	{"marked": 0.5069444444444444}	33s
vi	720	3	1085	46	93.9%	95.9%	-2480.0	-2500.0	{"marked": 0.5069444444444444}	36s
vi	1400	1	2139	46	97.4%	98.3%	-4900.6	-4922.5	{"marked": 0.5278571428571428}	61s
vi	1400	2	2139	46	98.4%	98.9%	-4909.4	-4922.5	{"marked": 0.5278571428571428}	57s
vi	1400	3	2139	46	96.4%	97.6%	-4912.3	-4922.5	{"marked": 0.5278571428571428}	60s
vi	2800	1	4298	46	99.2%	99.5%	-9809.8	-9825.5	{"marked": 0.535}	93s
vi	2800	2	4298	46	99.8%	99.9%	-9810.8	-9825.5	{"marked": 0.535}	96s
vi	2800	3	4298	46	99.4%	99.6%	-9808.2	-9825.5	{"marked": 0.535}	94s
cm	2820	3	2820	197	34.4%	34.4%	-7169.1	-6622.8	{"K": 197, "key_K": 223, "leaves": "_all"}	16s
cm	2820	1	2820	194	87.3%	87.3%	-6669.0	-6622.8	{"K": 194, "key_K": 223, "leaves": "_all"}	16s
cm	2820	2	2820	191	94.2%	94.2%	-6490.4	-6622.8	{"K": 191, "key_K": 223, "leaves": "_all"}	16s
cm	2820	3	2820	197	93.6%	93.6%	-6492.3	-6622.8	{"K": 197, "key_K": 223, "leaves": "_all", "restarts": 24}	59s
cm	2820	1	2820	194	94.1%	94.1%	-6466.7	-6622.8	{"K": 194, "key_K": 223, "leaves": "_all", "restarts": 24}	59s
cm	2820	2	2820	191	94.2%	94.2%	-6490.4	-6622.8	{"K": 191, "key_K": 223, "leaves": "_all", "restarts": 24}	60s
cm	2820	3	2820	196	25.4%	25.4%	-7617.9	-6622.8	{"K": 196, "key_K": 223, "noise": 0.2, "leaves": "_all", "restarts": 24}	60s
cm	2820	1	2820	190	26.5%	26.5%	-7634.8	-6622.8	{"K": 190, "key_K": 223, "noise": 0.2, "leaves": "_all", "restarts": 24}	62s
cm	2820	2	2820	185	23.7%	23.7%	-7724.8	-6622.8	{"K": 185, "key_K": 223, "noise": 0.2, "leaves": "_all", "restarts": 24}	63s
cm	2820	1	2820	195	42.9%	42.9%	-7347.1	-6622.8	{"K": 195, "key_K": 223, "noise": 0.1, "leaves": "_all", "restarts": 24}	58s
cm	2820	3	2820	194	34.7%	34.7%	-7314.2	-6622.8	{"K": 194, "key_K": 223, "noise": 0.1, "leaves": "_all", "restarts": 24}	60s
cm	2820	2	2820	188	26.5%	26.5%	-7410.9	-6622.8	{"K": 188, "key_K": 223, "noise": 0.1, "leaves": "_all", "restarts": 24}	64s
cm	2820	1	2820	194	26.6%	26.6%	-7309.1	-6622.8	{"K": 194, "key_K": 223, "noise": 0.05, "leaves": "_all", "restarts": 24}	59s
cm	2820	2	2820	194	57.9%	57.9%	-7125.9	-6622.8	{"K": 194, "key_K": 223, "noise": 0.05, "leaves": "_all", "restarts": 24}	60s
cm	2820	3	2820	193	86.8%	86.8%	-6776.9	-6622.8	{"K": 193, "key_K": 223, "noise": 0.05, "leaves": "_all", "restarts": 24}	60s
cm	2820	1	2820	190	27.5%	27.5%	-7756.6	-6622.8	{"K": 190, "key_K": 223, "noise": 0.2, "tol": 0.2, "free": 190, "key_only_tok": "28.2%", "leaves": "_all", "restarts": 24}	161s
cm	2820	2	2820	188	35.7%	35.7%	-7572.2	-6622.8	{"K": 188, "key_K": 223, "noise": 0.1, "tol": 0.1, "free": 81, "key_only_tok": "36.3%", "leaves": "_all", "restarts": 24}	163s
cm	2820	1	2820	195	27.3%	27.3%	-7497.5	-6622.8	{"K": 195, "key_K": 223, "noise": 0.1, "tol": 0.1, "free": 83, "key_only_tok": "28.1%", "leaves": "_all", "restarts": 24}	164s
cm	2820	3	2820	194	39.4%	39.4%	-7398.9	-6622.8	{"K": 194, "key_K": 223, "noise": 0.1, "tol": 0.1, "free": 91, "key_only_tok": "40.1%", "leaves": "_all", "restarts": 24}	164s
