line	pos	script_code	script_marks	share
1	1	L	dot|~	0.79
1	2	S7		1.00
1	3	y	dot|1|dot	1.00
1	4	bh		1.00
1	5	S7	#	1.00
1	6	e		1.00
1	7	tee	dot	1.00
1	8	g		1.00
1	9	bh	dot|dot|dot	1.00
1	10	psi		1.00
1	11	lam		1.00
1	12	lam	5|1	1.00
1	13	H	5	1.00
1	14	y		1.00
1	15	_		0.41
1	16	_		0.43
1	17	w		1.00
1	18	bh		1.00
1	19	a	~	1.00
1	20	nt		1.00
1	21	w		1.00
1	22	m	~	1.00
1	23	w		1.00
1	24	_		1.00
1	25	tee		1.00
1	26	e	dot	1.00
1	27	eps	dot|1	1.00
1	28	H		0.78
1	29	bh		0.60
2	1	g	dot|dot	1.00
2	2	S7		1.00
2	3	lam		1.00
2	4	S4	~	1.00
2	5	dl		1.00
2	6	K		1.00
2	7	_		1.00
2	8	rz		1.00
2	9	S7	+	1.00
2	10	g		1.00
2	11	a	1	1.00
2	12	_		1.00
2	13	e		1.00
2	14	g	1	1.00
2	15	U		0.61
2	16	w		1.00
2	17	rz		1.00
2	18	psi		1.00
2	19	lam	5	1.00
2	20	phi		0.79
2	21	[		0.81
2	22	tee		0.55
2	23	Z	#	1.00
2	24	eps	~	1.00
2	25	g		1.00
2	26	y	~	1.00
2	27	y		1.00
2	28	g	7	1.00
3	1	_		1.00
3	2	eps	5	1.00
3	3	w		1.00
3	4	e		1.00
3	5	lam	5	0.42
3	6	_	dot|+	0.81
3	7	L		1.00
3	8	g	~	1.00
3	9	Z		1.00
3	10	S7		1.00
3	11	_	dot	1.00
3	12	psi		1.00
3	13	lam		1.00
3	14	lam	5	1.00
3	15	e	+	1.00
3	16	H	#	1.00
3	17	_		0.80
3	18	w		1.00
3	19	lam	?	1.00
3	20	eps	7	1.00
3	21	m	7	1.00
3	22	S7		1.00
3	23	w	dot|#	1.00
3	24	S7		1.00
3	25	_	dot|#|dot	1.00
3	26	]	dot|o	1.00
3	27	phi		1.00
4	1	o.		1.00
4	2	tee		1.00
4	3	_		1.00
4	4	_		1.00
4	5	]	ot	1.00
4	6	phi		1.00
4	7	lam		1.00
4	8	S		1.00
4	9	bh		1.00
4	10	lam		1.00
4	11	rz		1.00
4	12	a	5	0.82
4	13	S7		1.00
4	14	lam	7	1.00
4	15	phi		1.00
4	16	H	1|o	1.00
4	17	m	~	1.00
4	18	w		1.00
4	19	]	o	1.00
4	20	psi		1.00
4	21	_		0.61
4	22	_		1.00
4	23	]	o|dot	1.00
4	24	lam	1	1.00
4	25	e		1.00
4	26	_		0.59
4	27	psi		1.00
4	28	bh		1.00
4	29	_		0.60
4	30	_		1.00
5	1	a	~	1.00
5	2	_		1.00
5	3	rz		1.00
5	4	tee		0.59
5	5	eps	1	1.00
5	6	m	7	1.00
5	7	lam		1.00
5	8	S7	#	1.00
5	9	e		1.00
5	10	wd		1.00
5	11	y		0.83
5	12	_		0.80
5	13	y		1.00
5	14	_		0.41
5	15	_		1.00
5	16	_		1.00
5	17	]	o	1.00
5	18	_		0.83
5	19	nt		1.00
5	20	y		1.00
5	21	w		1.00
5	22	e	dot	1.00
5	23	y		1.00
5	24	phi		1.00
5	25	nt		1.00
5	26	f		0.80
6	1	eps	1	1.00
6	2	_		0.40
6	3	lam	1	1.00
6	4	S7		1.00
6	5	#		1.00
6	6	e		1.00
6	7	Z		1.00
6	8	S7		1.00
6	9	lam	~	1.00
6	10	e		1.00
6	11	w		1.00
6	12	a	~	1.00
6	13	eps	5	1.00
6	14	S7		1.00
6	15	L		1.00
6	16	e		1.00
6	17	S7		1.00
6	18	lam		1.00
6	19	H	1|o|~	1.00
6	20	e		1.00
6	21	_		0.62
6	22	_		1.00
6	23	e		1.00
6	24	e		1.00
6	25	_		0.83
6	26	S4		1.00
6	27	_		0.40
