line	pos	script_code	script_marks	share
1	1	y		0.60
1	2	o.		1.00
1	3	y		1.00
1	4	bh		1.00
1	5	e		1.00
1	6	tee		0.59
1	7	S7		0.72
1	8	w		1.00
1	9	y		1.00
1	10	lam		1.00
1	11	wd	~	1.00
1	12	bh		1.00
1	13	g		1.00
1	14	_	#	0.40
1	15	_	dot	0.62
1	16	nt		1.00
1	17	y		0.82
1	18	e		1.00
1	19	w		1.00
1	20	S7		0.39
1	21	Z	dot	0.39
1	22	w		1.00
1	23	H	5|1	1.00
1	24	nt		1.00
1	25	S7		1.00
1	26	_	dot|#|~	1.00
1	27	_	#|dot	0.81
1	28	S		0.61
1	29	S		1.00
2	1	e		1.00
2	2	e	dot|#	1.00
2	3	#	dot|~	1.00
2	4	bh		1.00
2	5	S7		1.00
2	6	Z	dot	1.00
2	7	e		1.00
2	8	wd		1.00
2	9	y		1.00
2	10	a	~	1.00
2	11	_		1.00
2	12	bh		0.77
2	13	a	1	1.00
2	14	a	1	1.00
2	15	S		1.00
2	16	w		1.00
2	17	rz		1.00
2	18	y		1.00
2	19	tee		1.00
2	20	_		1.00
2	21	_		0.80
2	22	_		0.79
2	23	_		1.00
2	24	S7		1.00
2	25	bh		1.00
2	26	g	~	1.00
2	27	y		1.00
2	28	_	o	1.00
2	29	_		1.00
2	30	bh		1.00
2	31	]	o	1.00
2	32	lam	5	1.00
2	33	phi		1.00
2	34	a	7	1.00
3	1	_		0.63
3	2	_		1.00
3	3	m	1	1.00
3	4	w		1.00
3	5	]	o	1.00
3	6	lam	5	1.00
3	7	H	1|5	1.00
3	8	e		1.00
3	9	wd		1.00
3	10	y		1.00
3	11	L		1.00
3	12	w		1.00
3	13	tee		1.00
3	14	o.		1.00
3	15	nt		1.00
3	16	bh		1.00
3	17	]	o	1.00
3	18	e		1.00
3	19	_		1.00
3	20	phi		1.00
3	21	y		0.61
3	22	nt		1.00
3	23	_		1.00
3	24	_		1.00
3	25	g	~	1.00
3	26	g	1	1.00
3	27	g		0.60
4	1	_		1.00
4	2	S4		1.00
4	3	dl		1.00
4	4	y		1.00
4	5	w		0.83
4	6	_		0.85
4	7	_		1.00
4	8	_		1.00
4	9	eps		1.00
4	10	+		1.00
4	11	y		1.00
4	12	y		0.40
4	13	_		0.80
4	14	a	dot	1.00
4	15	_		1.00
4	16	_		1.00
4	17	_		0.42
4	18	_		1.00
4	19	_		1.00
4	20	N		1.00
4	21	_		0.82
4	22	_		1.00
4	23	_		0.60
4	24	_		0.82
4	25	_		1.00
4	26	_		0.43
5	1	y		1.00
5	2	_		1.00
5	3	N		0.44
5	4	_		1.00
5	5	_	1	1.00
5	6	S	dot	1.00
5	7	_		0.79
5	8	_		1.00
5	9	_		0.83
5	10	lam		0.83
5	11	S		1.00
5	12	_		0.63
5	13	phi		1.00
5	14	a	7	1.00
5	15	g	7	1.00
5	16	a	1	1.00
5	17	S7		1.00
5	18	_	dot|+	0.61
5	19	_		1.00
5	20	S7		1.00
5	21	S		1.00
5	22	w		1.00
5	23	_		1.00
5	24	rz		1.00
5	25	lam	5	1.00
6	1	Z		0.61
6	2	psi		1.00
6	3	lam	5	1.00
6	4	eps	5	1.00
6	5	nt		1.00
6	6	[		1.00
6	7	rz		1.00
6	8	g	~	1.00
6	9	Z		1.00
6	10	]	o	1.00
6	11	S7		1.00
6	12	e	#	1.00
6	13	eps	5	1.00
6	14	_		1.00
6	15	lam		1.00
6	16	S		0.62
6	17	_		1.00
6	18	rz		1.00
6	19	]	ot	1.00
6	20	g		0.78
6	21	g	7	1.00
6	22	]	o	1.00
6	23	lam		1.00
6	24	bh		1.00
6	25	S7	#	1.00
6	26	Lx		0.60
6	27	dl		1.00
6	28	y		0.61
6	29	_		1.00
6	30	_		0.80
7	1	_		1.00
7	2	_		1.00
7	3	S		1.00
7	4	S	#	1.00
7	5	ch		1.00
7	6	e		1.00
7	7	_		1.00
