code	desc	count	pages	exemplars	marks_seen
a	bold cursive a	74	f54r,f54v,f55r,f55v,f56r,f56v,f57r,f57v	f54r_02_021,f54r_19_024,f54r_07_006,f54r_15_010,f54r_17_005,f54r_12_007,f54r_08_013,f54r_14_025,f54r_18_016,f54r_13_017	1:23 ~:12 5:12 7:7 dot:3 o:1
e	looped e (ℓ-like): ONE bowl closed by a loop at the top, the stroke rising into the loop; usually carries # or + above. Not eps.	162	f54r,f54v,f55r,f55v,f56r,f56v,f57r,f57v	f54r_15_009,f54r_17_018,f54r_06_005,f54r_18_006,f54r_07_020,f54r_02_024,f54r_02_012,f54r_17_021,f54r_03_009,f54r_15_011	dot:55 #:46 +:20 ot:2 o:1
g	9/g-shaped sign	252	f54r,f54v,f55r,f55v,f56r,f56v,f57r,f57v	f54r_08_015,f54r_03_013,f54r_04_006,f54r_07_011,f54r_12_021,f54r_13_013,f54r_10_021,f54r_11_019,f54r_14_007,f54r_13_003	~:49 1:23 dot:22 5:15 7:10 o:3 #:2 ot:2 +:2
y	cursive y with a looped tail	183	f54r,f54v,f55r,f55v,f56r,f56v,f57r,f57v	f54r_18_017,f54r_05_001,f54r_14_020,f54r_03_008,f54r_06_017,f54r_14_021,f54r_11_017,f54r_04_024,f54r_12_006,f54r_11_020	dot:11 1:6 5:6 ~:6 7:4 #:3 ot:1 o:1
psi	ψ-like forked y (two arms, straight tail)	50	f54r,f54v,f55r,f55v,f56r,f56v,f57r,f57v	f54r_14_008,f54r_08_016,f54r_07_012,f54r_01_022,f54r_10_005,f54r_17_016,f57r_10_006,f56r_19_017,f54v_02_018,f54v_01_010	#:1 ~:1 dot:1 +:1
m	cursive m (often carries ~ above)	72	f54r,f54v,f55r,f55v,f56r,f56v,f57r,f57v	f54r_04_020,f54r_02_003,f54r_11_008,f54r_14_024,f54r_10_020,f54r_08_020,f54r_04_022,f54r_17_015,f54r_10_013,f54r_12_027	~:36 1:12 5:7 7:4 dot:1
w	cursive w/ω, often with a lead-in stroke from the left	174	f54r,f54v,f55r,f55v,f56r,f56v,f57r,f57v	f54r_17_013,f54r_07_004,f54r_18_009,f54r_02_004,f54r_05_008,f54r_13_010,f54r_04_026,f54r_11_009,f54r_06_016,f54r_19_022	dot:6 #:4 ~:2 5:1 1:1
wd	ω joined to a tall right stroke (like "ud")	34	f54r,f54v,f55r,f55v,f56r,f56v,f57r,f57v	f54r_07_026,f54r_17_019,f54r_02_025,f54r_12_011,f56r_18_014,f55v_19_008,f57v_05_005,f56v_07_015,f55v_10_011,f55r_02_008	~:1 #:1
v	curved v with a hooked left arm (ṽ-like)	24	f54r,f55r,f55v,f56r,f56v,f57r,f57v	f54r_12_016,f54r_15_021,f54r_16_023,f54r_18_002,f55v_01_009,f56r_03_014,f57r_02_016,f57v_17_030,f56r_15_003,f57r_12_004	1:10 5:4 #:4 dot:2 7:1 ot:1
N	cursive N / И	44	f54r,f54v,f55r,f55v,f56r,f56v,f57v	f54r_15_004,f54r_19_011,f54r_16_014,f54r_16_006,f54r_03_029,f55r_18_005,f55v_12_004,f55r_14_014,f57v_16_011,f56v_16_007	1:1 dot:1
nt	n joined to a crossed stroke (looks like n+), ONE sign	88	f54r,f54v,f55r,f55v,f56r,f56v,f57r,f57v	f54r_04_016,f54r_12_005,f54r_08_019,f54r_04_007,f54r_10_016,f54r_11_011,f54r_05_018,f54r_10_014,f54r_06_027,f54r_14_016	dot:4 ~:4 1:1
bh	þ/b-like: tall straight stem with a small hooked loop at the upper right, often a lead-in stroke from the left (the only h/b-like cipher code; plain-script b, h, d, ll are '_')	126	f54r,f54v,f55r,f55v,f56r,f56v,f57r,f57v	f54r_17_014,f54r_04_018,f54r_07_005,f54r_04_012,f54r_19_023,f54r_01_020,f54r_07_024,f54r_10_022,f54r_13_011,f54r_02_026	dot:9 7:2 ~:1
p	p with loop, its stem crossed	50	f54r,f54v,f55r,f55v,f56r,f56v,f57r,f57v	f54r_15_018,f54r_16_012,f54r_05_014,f54r_13_025,f54r_13_021,f54r_09_010,f54r_18_003,f54r_01_006,f54r_16_017,f54r_18_021	1:3 dot:1 5:1
f	long f/ſ with a crossbar	51	f54r,f54v,f55r,f55v,f56r,f56v,f57r,f57v	f54r_04_025,f54r_05_007,f54r_03_006,f54r_03_016,f57r_02_017,f57r_07_016,f57r_02_023,f57r_05_005,f56v_08_026,f56r_02_025	dot:5 5:2 ot:1
ch	c followed by a tall looped h (che abbreviation?)	21	f54r,f54v,f55r,f55v,f56r,f56v,f57r,f57v	f54r_19_017,f54r_03_020,f54r_16_010,f54v_17_007,f55r_07_005,f56r_15_025,f55v_09_008,f56v_01_002,f56r_10_013,f56r_01_014	
S	S/ʃ-shaped sign	86	f54r,f54v,f55r,f55v,f56r,f56v,f57r,f57v	f54r_19_008,f54r_19_002,f54r_18_018,f54r_19_003,f54r_03_025,f54r_16_021,f54r_10_008,f54r_15_022,f54r_11_025,f54r_03_022	#:3 dot:3 7:1 1:1
