sid	page	line	pos	x	y	w	h	rh	rw	dy	marks
f54r_01_001	f54r	1	1	85	0	271	242	2.847	3.188	-0.129	f54r_01_m0005
f54r_01_002	f54r	1	2	387	0	266	172	2.024	3.129	-0.541	
f54r_01_003	f54r	1	3	669	0	58	74	0.871	0.682	-1.118	
f54r_01_004	f54r	1	4	711	0	126	222	2.612	1.482	-0.247	
f54r_01_005	f54r	1	5	810	94	91	132	1.553	1.071	0.329	f54r_01_m0001
f54r_01_006	f54r	1	6	945	36	103	126	1.482	1.212	-0.388	
f54r_01_007	f54r	1	7	1024	91	93	80	0.941	1.094	-0.012	
f54r_01_008	f54r	1	8	1095	0	59	72	0.847	0.694	-1.129	
f54r_01_009	f54r	1	9	1158	109	35	50	0.588	0.412	0.024	
f54r_01_010	f54r	1	10	1177	23	119	166	1.953	1.400	-0.306	
f54r_01_011	f54r	1	11	1265	68	93	94	1.106	1.094	-0.200	
f54r_01_012	f54r	1	12	1351	37	197	147	1.729	2.318	-0.253	
f54r_01_013	f54r	1	13	1590	87	73	74	0.871	0.859	-0.094	
f54r_01_014	f54r	1	14	1660	18	68	241	2.835	0.800	0.076	
f54r_01_015	f54r	1	15	1731	101	175	51	0.600	2.059	-0.065	
f54r_01_016	f54r	1	16	1918	82	92	73	0.859	1.082	-0.159	
f54r_01_017	f54r	1	17	1970	92	101	152	1.788	1.188	0.424	
f54r_01_018	f54r	1	18	2077	92	190	122	1.435	2.235	0.247	
f54r_01_019	f54r	1	19	2274	86	84	73	0.859	0.988	-0.112	
f54r_01_020	f54r	1	20	2353	22	69	183	2.153	0.812	-0.218	
f54r_01_021	f54r	1	21	2450	83	99	74	0.871	1.165	-0.141	f54r_01_m0004
f54r_01_022	f54r	1	22	2530	87	99	143	1.682	1.165	0.312	
f54r_01_023	f54r	1	23	2623	73	73	87	1.024	0.859	-0.182	f54r_01_m0002
f54r_01_024	f54r	1	24	2736	89	51	86	1.012	0.600	0.000	f54r_01_m0003
f54r_01_025	f54r	1	25	2799	83	163	172	2.024	1.918	0.435	
f54r_01_026	f54r	1	26	2950	92	68	75	0.882	0.800	-0.029	
f54r_02_001	f54r	2	1	250	314	135	57	0.671	1.588	0.006	
f54r_02_002	f54r	2	2	367	323	65	102	1.200	0.765	0.376	f54r_02_m0016
f54r_02_003	f54r	2	3	481	324	101	49	0.576	1.188	0.076	f54r_02_m0015
f54r_02_004	f54r	2	4	593	337	141	39	0.459	1.659	0.171	
f54r_02_005	f54r	2	5	727	412	24	49	0.576	0.282	1.112	
f54r_02_006	f54r	2	6	765	249	105	120	1.412	1.235	-0.388	
f54r_02_007	f54r	2	7	848	318	78	93	1.094	0.918	0.265	f54r_02_m0017
f54r_02_008	f54r	2	8	977	307	56	64	0.753	0.659	-0.035	
f54r_02_009	f54r	2	9	1035	316	60	66	0.776	0.706	0.082	
f54r_02_010	f54r	2	10	1085	300	68	72	0.847	0.800	-0.071	f54r_02_m0008
f54r_02_011	f54r	2	11	1162	316	70	80	0.941	0.824	0.165	f54r_02_m0011
f54r_02_012	f54r	2	12	1232	321	101	94	1.106	1.188	0.306	f54r_02_m0010
f54r_02_013	f54r	2	13	1329	321	65	103	1.212	0.765	0.359	f54r_02_m0018
f54r_02_014	f54r	2	14	1422	292	159	148	1.741	1.871	0.282	
f54r_02_015	f54r	2	15	1612	253	70	170	2.000	0.824	-0.047	
f54r_02_016	f54r	2	16	1696	305	104	108	1.271	1.224	0.200	
f54r_02_017	f54r	2	17	1827	314	93	53	0.624	1.094	-0.018	f54r_02_m0014
f54r_02_018	f54r	2	18	1941	252	84	115	1.353	0.988	-0.382	f54r_02_m0020
f54r_02_019	f54r	2	19	2042	257	51	160	1.882	0.600	-0.059	f54r_02_m0019
f54r_02_020	f54r	2	20	2101	325	64	71	0.835	0.753	0.218	f54r_02_m0012
f54r_02_021	f54r	2	21	2207	313	54	57	0.671	0.635	-0.006	
f54r_02_022	f54r	2	22	2267	315	61	61	0.718	0.718	0.041	f54r_02_m0009
f54r_02_023	f54r	2	23	2332	286	81	83	0.976	0.953	-0.171	f54r_02_m0007
f54r_02_024	f54r	2	24	2466	312	99	91	1.071	1.165	0.182	f54r_02_m0013
f54r_02_025	f54r	2	25	2581	230	112	124	1.459	1.318	-0.588	
f54r_02_026	f54r	2	26	2709	226	51	171	2.012	0.600	-0.359	
f54r_02_027	f54r	2	27	2804	252	79	113	1.329	0.929	-0.394	
f54r_02_028	f54r	2	28	2918	231	177	173	2.035	2.082	-0.288	f54r_02_m0006
f54r_03_001	f54r	3	1	230	475	56	164	1.929	0.659	0.118	
f54r_03_002	f54r	3	2	292	532	88	50	0.588	1.035	0.118	f54r_03_m0029
f54r_03_003	f54r	3	3	396	462	120	127	1.494	1.412	-0.253	
f54r_03_004	f54r	3	4	526	520	78	53	0.624	0.918	-0.006	f54r_03_m0022|f54r_03_m0027
f54r_03_005	f54r	3	5	614	527	59	68	0.800	0.694	0.165	f54r_03_m0024
f54r_03_006	f54r	3	6	662	507	73	151	1.776	0.859	0.418	
f54r_03_007	f54r	3	7	763	454	122	165	1.941	1.435	-0.124	f54r_03_m0025
f54r_03_008	f54r	3	8	880	509	87	141	1.659	1.024	0.382	
f54r_03_009	f54r	3	9	968	463	105	149	1.753	1.235	-0.112	
f54r_03_010	f54r	3	10	1059	520	51	54	0.635	0.600	0.000	
f54r_03_011	f54r	3	11	1128	527	45	51	0.600	0.529	0.065	
f54r_03_012	f54r	3	12	1170	524	55	51	0.600	0.647	0.029	f54r_03_m0023
f54r_03_013	f54r	3	13	1213	528	77	94	1.106	0.906	0.329	
f54r_03_014	f54r	3	14	1266	469	78	56	0.659	0.918	-0.588	
f54r_03_015	f54r	3	15	1320	474	110	132	1.553	1.294	-0.082	
f54r_03_016	f54r	3	16	1442	488	72	102	1.200	0.847	-0.094	
f54r_03_017	f54r	3	17	1526	448	201	127	1.494	2.365	-0.418	
f54r_03_018	f54r	3	18	1771	464	205	161	1.894	2.412	-0.029	
f54r_03_019	f54r	3	19	1949	514	58	52	0.612	0.682	-0.082	f54r_03_m0026
f54r_03_020	f54r	3	20	2048	446	109	124	1.459	1.282	-0.459	
f54r_03_021	f54r	3	21	2202	512	42	67	0.788	0.494	-0.018	
f54r_03_022	f54r	3	22	2324	512	38	60	0.706	0.447	-0.059	f54r_03_m0021
f54r_03_023	f54r	3	23	2439	443	71	134	1.576	0.835	-0.435	
f54r_03_024	f54r	3	24	2491	511	42	60	0.706	0.494	-0.071	
f54r_03_025	f54r	3	25	2533	509	38	66	0.776	0.447	-0.059	
f54r_03_026	f54r	3	26	2573	514	28	55	0.647	0.329	-0.065	
f54r_03_027	f54r	3	27	2608	431	85	141	1.659	1.000	-0.535	f54r_03_m0028
f54r_03_028	f54r	3	28	2667	500	116	185	2.176	1.365	0.535	
f54r_03_029	f54r	3	29	2743	493	83	73	0.859	0.976	-0.206	
f54r_03_030	f54r	3	30	2819	494	145	153	1.800	1.706	0.276	
f54r_03_031	f54r	3	31	2987	468	96	137	1.612	1.129	-0.124	
f54r_04_001	f54r	4	1	269	672	63	184	2.165	0.741	0.082	
f54r_04_002	f54r	4	2	330	731	80	151	1.776	0.941	0.582	
f54r_04_003	f54r	4	3	405	721	65	77	0.906	0.765	0.029	f54r_04_m0030
f54r_04_004	f54r	4	4	500	679	76	114	1.341	0.894	-0.247	f54r_04_m0039
f54r_04_005	f54r	4	5	593	729	91	56	0.659	1.071	0.000	f54r_04_m0034
f54r_04_006	f54r	4	6	667	734	77	106	1.247	0.906	0.353	f54r_04_m0038
f54r_04_007	f54r	4	7	800	725	136	106	1.247	1.600	0.247	
f54r_04_008	f54r	4	8	945	738	85	91	1.071	1.000	0.312	
f54r_04_009	f54r	4	9	1002	674	75	65	0.765	0.882	-0.594	
f54r_04_010	f54r	4	10	1052	724	95	140	1.647	1.118	0.435	f54r_04_m0033
f54r_04_011	f54r	4	11	1146	740	175	97	1.141	2.059	0.371	
f54r_04_012	f54r	4	12	1316	663	69	201	2.365	0.812	0.076	
f54r_04_013	f54r	4	13	1374	748	156	40	0.471	1.835	0.129	
f54r_04_014	f54r	4	14	1548	683	103	144	1.694	1.212	-0.024	f54r_04_m0036
f54r_04_015	f54r	4	15	1668	719	109	85	1.000	1.282	0.053	
f54r_04_016	f54r	4	16	1797	728	143	100	1.176	1.682	0.247	
f54r_04_017	f54r	4	17	1954	674	119	150	1.765	1.400	-0.094	
f54r_04_018	f54r	4	18	2067	656	69	188	2.212	0.812	-0.082	f54r_04_m0031
f54r_04_019	f54r	4	19	2152	740	79	83	0.976	0.929	0.288	f54r_04_m0032
f54r_04_020	f54r	4	20	2277	731	99	52	0.612	1.165	0.000	f54r_04_m0037
f54r_04_021	f54r	4	21	2390	744	168	44	0.518	1.976	0.106	
f54r_04_022	f54r	4	22	2573	729	103	53	0.624	1.212	-0.018	f54r_04_m0035
f54r_04_023	f54r	4	23	2685	712	74	75	0.882	0.871	-0.088	
f54r_04_024	f54r	4	24	2734	725	120	116	1.365	1.412	0.306	
f54r_04_025	f54r	4	25	2855	676	91	142	1.671	1.071	-0.118	
f54r_04_026	f54r	4	26	2921	726	155	43	0.506	1.824	-0.112	
f54r_05_001	f54r	5	1	242	933	93	127	1.494	1.094	0.418	
f54r_05_002	f54r	5	2	365	940	92	50	0.588	1.082	0.047	f54r_05_m0041|f54r_05_m0047
f54r_05_003	f54r	5	3	472	944	68	89	1.047	0.800	0.324	f54r_05_m0044
f54r_05_004	f54r	5	4	582	926	104	81	0.953	1.224	0.065	f54r_05_m0042|f54r_05_m0043
f54r_05_005	f54r	5	5	712	935	98	50	0.588	1.153	-0.012	f54r_05_m0045
f54r_05_006	f54r	5	6	817	917	61	79	0.929	0.718	-0.053	
f54r_05_007	f54r	5	7	879	902	82	131	1.541	0.965	0.076	
f54r_05_008	f54r	5	8	954	952	165	38	0.447	1.941	0.118	
f54r_05_009	f54r	5	9	1131	888	41	152	1.788	0.482	0.035	
f54r_05_010	f54r	5	10	1201	915	103	94	1.106	1.212	0.012	
f54r_05_011	f54r	5	11	1331	893	105	110	1.294	1.235	-0.153	f54r_05_m0040
f54r_05_012	f54r	5	12	1439	841	158	151	1.776	1.859	-0.524	
f54r_05_013	f54r	5	13	1602	883	119	128	1.506	1.400	-0.165	
f54r_05_014	f54r	5	14	1765	879	80	121	1.424	0.941	-0.253	
f54r_05_015	f54r	5	15	1828	942	110	54	0.635	1.294	0.094	f54r_05_m0049
f54r_05_016	f54r	5	16	1952	923	106	69	0.812	1.247	-0.041	
f54r_05_017	f54r	5	17	2061	862	119	126	1.482	1.400	-0.424	
f54r_05_018	f54r	5	18	2202	929	133	105	1.235	1.565	0.241	f54r_05_m0046
f54r_05_019	f54r	5	19	2373	831	127	148	1.741	1.494	-0.659	
f54r_05_020	f54r	5	20	2527	842	70	153	1.800	0.824	-0.500	
f54r_05_021	f54r	5	21	2577	923	42	68	0.800	0.494	-0.047	
f54r_05_022	f54r	5	22	2619	911	88	73	0.859	1.035	-0.159	
f54r_05_023	f54r	5	23	2738	930	49	83	0.976	0.576	0.124	
f54r_05_024	f54r	5	24	2775	919	66	75	0.882	0.776	-0.053	
f54r_05_025	f54r	5	25	2875	854	76	135	1.588	0.894	-0.465	
f54r_05_026	f54r	5	26	2948	928	112	70	0.824	1.318	0.024	f54r_05_m0048
f54r_06_001	f54r	6	1	257	1107	101	112	1.318	1.188	-0.082	
f54r_06_002	f54r	6	2	377	1139	110	98	1.153	1.294	0.212	
f54r_06_003	f54r	6	3	493	1086	107	158	1.859	1.259	-0.059	
f54r_06_004	f54r	6	4	599	1061	100	136	1.600	1.176	-0.482	
f54r_06_005	f54r	6	5	711	1098	112	137	1.612	1.318	-0.041	
f54r_06_006	f54r	6	6	826	1130	72	71	0.835	0.847	-0.053	
f54r_06_007	f54r	6	7	905	1153	68	75	0.882	0.800	0.241	
f54r_06_008	f54r	6	8	978	1090	100	147	1.729	1.176	-0.076	f54r_06_m0054
f54r_06_009	f54r	6	9	1057	1133	126	98	1.153	1.482	0.141	
f54r_06_010	f54r	6	10	1192	1089	43	147	1.729	0.506	-0.088	
f54r_06_011	f54r	6	11	1243	1140	80	59	0.694	0.941	-0.006	f54r_06_m0055
f54r_06_012	f54r	6	12	1339	1077	117	121	1.424	1.376	-0.382	f54r_06_m0051|f54r_06_m0053
f54r_06_013	f54r	6	13	1466	1136	90	63	0.741	1.059	-0.029	f54r_06_m0052
f54r_06_014	f54r	6	14	1609	1114	96	94	1.106	1.129	-0.106	f54r_06_m0050
f54r_06_015	f54r	6	15	1701	1083	109	234	2.753	1.282	0.353	
f54r_06_016	f54r	6	16	1789	1160	160	36	0.424	1.882	0.094	
f54r_06_017	f54r	6	17	1929	1142	89	127	1.494	1.047	0.418	
f54r_06_018	f54r	6	18	2040	1149	103	49	0.576	1.212	0.041	f54r_06_m0056
