f54r_L01
f54r_L02	x:ornate-R^struck w:dr? w:Dnt? w:lanq3? w:Ptr? w:eq? S4 ch m U y Z^+ ch sq y lam eps dh x:flourish?
f54r_L03	rz? g^~ m^~ w L g^~ o. S7 lam e^# g^~ y K p ]^o ( v p^+ a lam e^# w f K lam #
f54r_L04	phi ]^o N ]^o [^7 lam e^+ y^# ]^7 m g^3 S4^d w:tutto w:quello w:che w:s w:s^tw w:desidera lam^+ S4
f54r_L05	phi psi lam^1 v^dot g^2 nt^# y Z^+ bh w e^# Z nt f bh^# m^2 w m^2 lam y f w
f54r_L06	y ]^dot # Z ]^o tee f w bh Z H^8 dl^3 S4 w:Piu w:uolte w:mi w:ha w:detto w:et w:dici
f54r_L07	S4 nt^+ L e^# [^7 e^+ ]^o bh rz ]^+ H^8 f w y m^3 lam nt Z [ w tee [ nt^+
f54r_L08	]^+ phi U w bh a^~ dh^7 ]^7 g^7 y lam lam^+ S4 rz lam h^7 S7 e g^# [ h^# wd y N^o ]^+ m^2
f54r_L09	g^5 rz tee S4 h^~ N eps^2 g^2 Z^2 ] Z a^o dh^2 rz g^2 y eps w nt^5 m^ot^5 S4 h^~ x:flourish w:con
f54r_L10	w:lauenuta w:et w:Duca w:secondo w:mai w:Poco w:credibile 14 rz^13 rz^3 rz eps^7
f54r_L11	lam^7 lam g^1 y lam lam [ g^2 ]^o m^2 nt rz nt o^f x:ink-blot y^5 ]^o g^3 m g^7 g lam^1 H^10
f54r_L12	U g^~ lam^7 e^# m w rz rz lam x:unclear y [ m g^~ y ]^ot ]^ot^5 g y^5 ]^ot #
f54r_L13	rz tee^7 nt g^1 a^7 lam e wd K^14 e tee U^15 y ] rz^7 g^2 lam a x:unclear y eps^ti m g^7
f54r_L14	rz v^3 g w tee x:unclear rz g^1 f w bh nt^2 g^2 U tee H a^1 eps^# tee dl w:Pure w:ame w:pars
f54r_L15	H^10 ]^ot rz g^7 g y M [ lam ]^7 m rz tee phi^7 lam rz y^1 lam tee m rz w:maxima
f54r_L16	w:sfando w:ancora w:le w:così S4 e^+ dh e^+ rz w:come w:stanno w:Pure w:v.s.
f54r_L17	w:ricordera w:quello w:che w:li w:parra eps w:piaciuto w:a w:s w:M^tw eps w:ricordo w:di
f54r_L18	w:.s. w:.s.^tw K^8 a^7 eps^2 rz phi ]^o U w bh m^1 e^1 ]^# y S4 rz x:flourish w:con
f54r_L19	w:tentasi w:pur S4 e^+ K^1 Lx w Lx +^7 eps^7 [^5 w a^~ y S4 w:laoppinjone
f54r_L20	w:di w:s w:s^tw eps^+ w:desidera w:in w:tal w:caso w:che w:n w:s^m S4 U w bh a^2 dh y ]^o eps^#
