f54r_L01
f54r_L02	x:ornate-R w:dr? w:Dnt? w:lanq3? w:Ptr? w:eq? S4 ch m U y Z ch sq y lam eps dh x:flourish?
f54r_L03	rz? g m w L g o. S7 lam e g y K p ] ( v p a lam e w f K lam #
f54r_L04	phi ] N ] [ lam e y ] m g S4 w:tutto w:quello w:che w:s w:s w:desidera lam S4
f54r_L05	phi psi lam v g nt y Z bh w e Z nt f bh m w m lam y f w
f54r_L06	y ] # Z ] tee f w bh Z H dl S4 w:Piu w:uolte w:mi w:ha w:detto w:et w:dici
f54r_L07	S4 nt L e [ e ] bh rz ] H f w y m lam nt Z [ w tee [ nt
f54r_L08	] phi U w bh a dh ] g y lam lam S4 rz lam h S7 e g [ h wd y N ] m
f54r_L09	g rz tee S4 h N eps g Z ] Z a dh rz g y eps w nt m S4 h x:flourish w:con
f54r_L10	w:lauenuta w:et w:Duca w:secondo w:mai w:Poco w:credibile 14 rz rz rz eps
f54r_L11	lam lam g y lam lam [ g ] m nt rz nt o x:ink-blot y ] g m g g lam H
f54r_L12	U g lam e m w rz rz lam x:unclear y [ m g y ] ] g y ] #
f54r_L13	rz tee nt g a lam e wd K e tee U y ] rz g lam a x:unclear y eps m g
f54r_L14	rz v g w tee x:unclear rz g f w bh nt g U tee H a eps tee dl w:Pure w:ame w:pars
f54r_L15	H ] rz g g y M [ lam ] m rz tee phi lam rz y lam tee m rz w:maxima
f54r_L16	w:sfando w:ancora w:le w:così S4 e dh e rz w:come w:stanno w:Pure w:v.s.
f54r_L17	w:ricordera w:quello w:che w:li w:parra eps w:piaciuto w:a w:s w:M eps w:ricordo w:di
f54r_L18	w:.s. w:.s. K a eps rz phi ] U w bh m e ] y S4 rz x:flourish w:con
f54r_L19	w:tentasi w:pur S4 e K Lx w Lx + eps [ w a y S4 w:laoppinjone
f54r_L20	w:di w:s w:s eps w:desidera w:in w:tal w:caso w:che w:n w:s S4 U w bh a dh y ] eps
