code	agreed	disputed	share_agreed
g	23	4	0.85
eps	8	17	0.32
lam	15	8	0.65
]	18	5	0.78
w	17	3	0.85
rz	14	6	0.70
y	15	5	0.75
m	13	4	0.76
tee	3	10	0.23
h	2	10	0.17
a	7	4	0.64
nt	6	5	0.55
S4	7	4	0.64
Z	7	3	0.70
f	5	2	0.71
[	7	0	1.00
o.	0	6	0.00
S7	1	5	0.17
phi	4	2	0.67
K	5	0	1.00
#	1	4	0.20
H	5	0	1.00
+	1	4	0.20
dl	0	5	0.00
bh	1	3	0.25
psi	1	3	0.25
L	2	2	0.50
dh	1	3	0.25
U	2	2	0.50
N	1	2	0.33
(	1	2	0.33
v	1	2	0.33
x:unclear-cluster	0	2	0.00
ch	2	0	1.00
o	0	2	0.00
Lx	0	2	0.00
e	1	1	0.50
x:unclear	0	2	0.00
S	0	2	0.00
14	1	1	0.50
x:illegible-blot	0	1	0.00
r	0	1	0.00
7	0	1	0.00
4	0	1	0.00
