canvas	stamped_page	content	date	heading
1	-	blank	-	binding/flyleaf: marbled paper, label "2967", pencil "8192", "Manuscrit"
2	-	clear letter	-	"Lettre Escrite au Roy francois premier, Que Charles Dernier Duc de Bourbon Connestable de France" (title leaf, facing text begins)
3	-	clear letter	-	continuation of Bourbon letter to François Ier
4	illegible (thumbnail)	clear letter	-	"Lettre du Mesme Connestable de Bourbon Escrite au Roy francois premier" (new letter title + text)
5	1	clear letter	-	continuation of Bourbon letter (2nd), verso blank
6	illegible (thumbnail)	clear letter	-	continuation of Bourbon letter (2nd), signed, verso blank
7	illegible (thumbnail)	clear letter	-	"Lettre Escrite au Roy francois premier par Charles Bourbon premier prince du sang..." (new title + text)
8	illegible (thumbnail)	clear letter	-	continuation/close of Bourbon prince-du-sang letter, subscription note, mostly blank verso
9	8	clear letter	-	"Lettre du Mesme Duc Dalencon Escrite au Roy francois premier" (new title + text)
10	9	clear letter	-	continuation of Duc d'Alençon letter, signed
11	10	clear letter	-	continuation, faint, mostly blank verso
12	11	clear letter	-	faint text, mostly blank
13	12	clear letter	-	"Lettre Escrite au Roy francois premier par Charles de Bourbon premier Duc de Vendosme..." (new title + text)
14	13	clear letter	-	continuation of Vendôme letter, signed
15	14	clear letter	-	"Lettre Du Mesme Charles Duc de Vendosme Escrite au Roy francois premier" (new title + text)
16	15	clear letter	-	continuation, signed "Charles"
17	16	clear letter	-	"Lettre Du Mesme Charles Duc de Vendosme Escrite au Roy francois premier" (another, new title + text)
18	17	clear letter	-	continuation, signed "Charles"
19	18	clear letter	-	"Lettre Escrite au Roy francois premier par le Marischal de Chabannes..." (new title + text)
20	19	clear letter	-	continuation/close of Chabannes letter, signed
21	20	clear letter	-	"Lettre Escrite au Roy francois premier par Le Seigneur de la Palisse De la Maison De Chalannes Mareschal de France..." (new title + text)
22	21	clear letter	-	continuation, signed "Chandieu"(?)
23	22	clear letter	-	"Lettre Escrite au secretaire dEstat Desfrat Robertet..." (letter to Secretary Robertet, not the king; new title + text)
24	23	clear letter	-	"Lettre Escrite au Roy francois premier par Le Marischal de Chastillon" (new title + text)
25	24	clear letter	-	"Lettre Escrite au Roy francois premier par Le Marquis De Saluces Lieutenant general de l'armee en Italie..." (new title + text)
26	25	clear letter	-	"Lettre Escrite au Roy francois premier par Monsieur de Lautrec De la Maison de Foix Lieutenant general..." (new title + text)
27	26	clear letter	-	continuation of Lautrec letter
28	27	clear letter	-	continuation of Lautrec letter, signed
29	28	clear letter	-	"Lettre Escrite au Roy francois premier par Guillaume Bonnivet Seigneur de Bonnivet Admiral de France Gouverneur de Dauphine..." (new title + text)
30	29	clear letter	-	continuation of Bonnivet letter
31	-	blank	-	mostly blank, faint offset text only
32	30	clear letter	-	"Lettre Escrite au Roy francois premier par Le Marechal De Chastillon faict Mareschal de France par Le Roy Louis douziesme..." (new title + text)
33	-	clear letter	-	continuation of Chastillon (Maréchal) letter
