code	folio	x0	y0	x1	y1	line
2	f29r	773	2696	810	2765	f29r_L03
2	f29r	3230	2941	3263	3005	f29r_L05
2	f29r	3314	2597	3342	2663	f29r_L02
4t	f29r	664	2717	737	2767	f29r_L03
4t	f29r	2249	3306	2334	3364	f29r_L08
4t	f29r	2979	3810	3056	3872	f29r_L12
5	f29r	1150	2713	1198	2775	f29r_L03
5	f29r	1706	3307	1757	3361	f29r_L08
5	f29r	2099	3548	2144	3610	f29r_L10
5b	f29r	3208	2571	3254	2675	f29r_L02
9	f29r	2855	2681	2909	2805	f29r_L03
9	f29r	1480	2793	1508	2894	f29r_L04
9	f29r	612	2905	647	3028	f29r_L05
Af	f29r	2640	3646	2706	3737	f29r_L11
D	f29r	312	3498	385	3605	f29r_L10
D	f29r	879	3878	949	3986	f29r_L13
D	f29r	2482	2934	2543	3034	f29r_L05
E	f29r	2721	2571	2772	2667	f29r_L02
E	f29r	318	3981	382	4079	f29r_L14
H	f29r	841	2723	888	2766	f29r_L03
H	f29r	1720	3680	1760	3723	f29r_L11
H	f29r	2038	3557	2073	3604	f29r_L10
III	f29r	2480	4026	2567	4122	f29r_L14
L2	f29r	2348	2682	2433	2807	f29r_L03
Mx	f29r	1025	3617	1130	3743	f29r_L11
Rt	f29r	309	3271	351	3347	f29r_L08
T	f29r	2138	2571	2200	2697	f29r_L02
T	f29r	1788	3643	1889	3769	f29r_L11
Tb	f29r	682	2913	724	3031	f29r_L05
Tb	f29r	2789	3894	2829	4017	f29r_L13
Th	f29r	1291	3766	1382	3859	f29r_L12
aq	f29r	589	2697	658	2769	f29r_L03
aq	f29r	2502	3283	2581	3366	f29r_L08
b	f29r	402	2922	446	2993	f29r_L05
b	f29r	1287	3989	1329	4062	f29r_L14
b	f29r	1645	3656	1682	3722	f29r_L11
bb	f29r	1723	2690	1761	2799	f29r_L03
bb	f29r	1324	3386	1379	3479	f29r_L09
bb	f29r	322	3163	372	3276	f29r_L07
br	f29r	1428	2676	1477	2796	f29r_L03
br	f29r	1521	2596	1581	2652	f29r_L02
br	f29r	1795	2471	1851	2530	f29r_L01
c	f29r	922	2688	958	2757	f29r_L03
c	f29r	1352	2564	1386	2643	f29r_L02
c	f29r	1554	2793	1598	2867	f29r_L04
d	f29r	2866	2924	2916	2999	f29r_L05
d	f29r	744	3624	786	3701	f29r_L11
dl	f29r	1249	2824	1321	2879	f29r_L04
dl	f29r	1288	2705	1360	2762	f29r_L03
dl	f29r	1420	2484	1496	2533	f29r_L01
eh	f29r	542	2905	584	2995	f29r_L05
eh	f29r	1025	2693	1062	2757	f29r_L03
eh	f29r	2036	3774	2076	3844	f29r_L12
fh	f29r	887	3646	926	3738	f29r_L11
fh	f29r	1462	2595	1497	2674	f29r_L02
fh	f29r	1853	3056	1892	3157	f29r_L06
g	f29r	370	2727	404	2802	f29r_L03
g	f29r	1597	2680	1630	2784	f29r_L03
g	f29r	1794	2695	1830	2805	f29r_L03
g2	f29r	2036	2464	2092	2584	f29r_L01
g2	f29r	1181	3162	1266	3276	f29r_L07
g2	f29r	1490	3647	1537	3721	f29r_L11
h	f29r	999	2794	1055	2869	f29r_L04
h	f29r	1899	2458	1955	2522	f29r_L01
h	f29r	2425	2582	2473	2651	f29r_L02
lam	f29r	2918	2706	3016	2797	f29r_L03
lam	f29r	2589	3287	2672	3366	f29r_L08
lam	f29r	1147	2905	1229	2997	f29r_L05
ll	f29r	1061	2443	1147	2569	f29r_L01
lt	f29r	541	2697	570	2758	f29r_L03
lt	f29r	1378	2692	1410	2759	f29r_L03
lt	f29r	1516	2465	1541	2528	f29r_L01
lz	f29r	2404	3408	2525	3534	f29r_L09
m	f29r	1221	2676	1269	2761	f29r_L03
m	f29r	2669	4005	2718	4103	f29r_L14
m	f29r	3002	2916	3058	3003	f29r_L05
mx	f29r	2918	4023	3021	4122	f29r_L14
n6	f29r	480	2921	518	2995	f29r_L05
n6	f29r	1980	2465	2011	2529	f29r_L01
n6	f29r	2199	2821	2231	2875	f29r_L04
null_o	f29r	3254	4005	3323	4122	f29r_L14
o	f29r	819	3669	851	3704	f29r_L11
o	f29r	2277	2603	2311	2642	f29r_L02
o	f29r	2919	3447	2951	3485	f29r_L09
oi	f29r	476	3152	540	3241	f29r_L07
oi	f29r	1447	3504	1510	3606	f29r_L10
oi	f29r	2519	2681	2574	2774	f29r_L03
p	f29r	1511	3972	1569	4098	f29r_L14
paren	f29r	3427	4037	3473	4112	f29r_L14
q	f29r	736	2495	767	2569	f29r_L01
q	f29r	1557	3790	1590	3868	f29r_L12
q	f29r	1857	2730	1886	2801	f29r_L03
q9	f29r	1478	3896	1550	3975	f29r_L13
r3	f29r	461	2710	509	2802	f29r_L03
r3	f29r	1271	3184	1319	3276	f29r_L07
r3	f29r	1343	2825	1384	2912	f29r_L04
rho	f29r	1850	3518	1925	3644	f29r_L10
rho	f29r	1479	2905	1548	3031	f29r_L05
rho	f29r	1020	3258	1101	3384	f29r_L08
rs	f29r	567	2569	619	2660	f29r_L02
rs	f29r	666	3982	721	4059	f29r_L14
rs	f29r	1639	3026	1705	3135	f29r_L06
sl	f29r	965	2701	1010	2802	f29r_L03
sl	f29r	1180	2477	1206	2569	f29r_L01
sl	f29r	1552	2693	1589	2802	f29r_L03
sq	f29r	1844	4024	1895	4070	f29r_L14
ss2	f29r	2580	2465	2672	2583	f29r_L01
x	f29r	305	2710	353	2799	f29r_L03
x	f29r	318	3885	355	3981	f29r_L13
x	f29r	885	3301	936	3382	f29r_L08
xr	f29r	1088	2718	1143	2802	f29r_L03
xr	f29r	1978	2724	2054	2771	f29r_L03
xr	f29r	2478	3558	2543	3599	f29r_L10
yt	f29r	1486	2720	1525	2794	f29r_L03
yt	f29r	2156	2951	2204	3042	f29r_L05
yt	f29r	2193	2681	2219	2798	f29r_L03
z	f29r	1231	2473	1292	2569	f29r_L01
z3	f29r	2117	2681	2172	2807	f29r_L03
z7	f29r	300	2443	342	2569	f29r_L01
zb	f29r	2030	3168	2073	3281	f29r_L07
zb	f29r	2732	2458	2797	2582	f29r_L01
zu	f29r	2685	3303	2731	3362	f29r_L08
zu	f29r	1254	2925	1287	2990	f29r_L05
zu	f29r	1615	3276	1663	3352	f29r_L08
