line	position	sign	confidence
f30r_L01	0	HASH	h
f30r_L01	1	ss2	h
f30r_L01	2	FL	m
f30r_L01	3	xr	m
f30r_L01	4	zb	m
f30r_L01	5	Af	h
f30r_L01	6	r3	m
f30r_L01	7	BOX	h
f30r_L01	8	ss2	h
f30r_L01	9	zb	m
f30r_L01	10	rs	l
f30r_L01	11	9	m
f30r_L01	12	lam	l
f30r_L01	13	9	h
f30r_L01	14	III	h
f30r_L01	15	nr	l
f30r_L01	16	ss2	h
f30r_L01	17	FL	m
f30r_L01	18	sl	h
f30r_L01	19	zb	m
f30r_L01	20	xr	m
f30r_L01	21	h	h
f30r_L01	22	BOX	h
f30r_L01	23	ss2	h
f30r_L01	24	g	h
f30r_L01	25	fh	h
f30r_L01	26	h	h
f30r_L01	27	2	h
f30r_L01	28	9	h
f30r_L01	29	ss2	h
f30r_L01	30	FL	h
f30r_L01	31	eh	h
f30r_L01	32	xr	m
f30r_L01	33	Af	l
f30r_L01	34	III	h
f30r_L01	35	br	h
f30r_L01	36	9	h
f30r_L01	37	H	l
f30r_L02	0	[?]	l
f30r_L02	1	null_o	m
f30r_L02	2	nq	l
f30r_L02	3	n	m
f30r_L02	4	BOX	h
f30r_L02	5	TRI	l
f30r_L02	6	III	h
f30r_L02	7	n6	h
f30r_L02	8	paren	h
f30r_L02	9	zb	m
f30r_L02	10	2	h
f30r_L02	11	h	h
f30r_L02	12	z3	l
f30r_L02	13	FL	m
f30r_L02	14	zb	m
f30r_L02	15	Mx	l
f30r_L02	16	o	l
f30r_L02	17	FL	m
f30r_L02	18	xr	m
f30r_L02	19	2	h
f30r_L02	20	fh	h
f30r_L02	21	m	h
f30r_L02	22	.	h
f30r_L02	23	QQ	m
f30r_L02	24	9	h
f30r_L02	25	ss2	h
f30r_L02	26	re	l
f30r_L02	27	lt	h
f30r_L02	28	g	h
f30r_L02	29	2	h
f30r_L02	30	zb	m
f30r_L02	31	mx	h
f30r_L02	32	BOX	h
f30r_L02	33	FL	m
f30r_L02	34	5	h
f30r_L02	35	br	h
f30r_L02	36	zb	l
f30r_L02	37	.	h
f30r_L02	38	dl	m
f30r_L02	39	r3	m
f30r_L02	40	9	h
f30r_L03	0	c	l
f30r_L03	1	BOX	h
f30r_L03	2	c	h
f30r_L03	3	x	h
f30r_L03	4	2	h
f30r_L03	5	Rt	h
f30r_L03	6	br	h
f30r_L03	7	zb	m
f30r_L03	8	ss2	h
f30r_L03	9	eh	h
f30r_L03	10	9	h
f30r_L03	11	nq	l
f30r_L03	12	n	m
f30r_L03	13	BOX	h
f30r_L03	14	INF	l
f30r_L03	15	rho	h
f30r_L03	16	z	m
f30r_L03	17	z3	h
f30r_L03	18	5	h
f30r_L03	19	m	h
f30r_L03	20	2	h
f30r_L03	21	dl	h
f30r_L03	22	dl	l
f30r_L03	23	br	h
f30r_L03	24	5	h
f30r_L03	25	9	h
f30r_L03	26	2	h
f30r_L03	27	ST	m
f30r_L03	28	A2	h
f30r_L03	29	.	h
f30r_L03	30	CROSS	l
f30r_L03	31	r3	m
f30r_L03	32	9	h
f30r_L03	33	2	h
f30r_L03	34	FL	m
f30r_L03	35	xr	h
f30r_L03	36	lt	l
f30r_L03	37	9	h
f30r_L04	0	nr	m
f30r_L04	1	III	h
f30r_L04	2	FL	h
f30r_L04	3	m	h
f30r_L04	4	lt	h
f30r_L04	5	z3	m
f30r_L04	6	eh	h
f30r_L04	7	dl	m
f30r_L04	8	Rt	h
f30r_L04	9	h	h
f30r_L04	10	bb	l
f30r_L04	11	Af	l
f30r_L04	12	T	h
f30r_L04	13	m	h
f30r_L04	14	A2	h
f30r_L04	15	n6	m
f30r_L04	16	eh	h
f30r_L04	17	9	h
f30r_L04	18	r3	h
f30r_L04	19	zb	m
f30r_L04	20	ss2	h
f30r_L04	21	z	h
f30r_L04	22	nn	l
f30r_L04	23	c	h
f30r_L04	24	m	h
f30r_L04	25	r3	m
f30r_L04	26	h	h
f30r_L04	27	aq	l
f30r_L04	28	HASH	h
f30r_L04	29	9	h
f30r_L04	30	FL	h
f30r_L04	31	dl	m
f30r_L04	32	III	h
f30r_L04	33	D	l
f30r_L04	34	z	h
f30r_L04	35	n6	m
f30r_L04	36	eh	h
f30r_L04	37	B8	l
f30r_L04	38	h	h
f30r_L04	39	9	h
f30r_L05	0	E	h
f30r_L05	1	z3	l
f30r_L05	2	ss2	h
f30r_L05	3	9	h
f30r_L05	4	nr	h
f30r_L05	5	BOX	h
f30r_L05	6	n6	m
f30r_L05	7	lam	h
f30r_L05	8	fh	h
f30r_L05	9	nr	l
f30r_L05	10	xr	m
f30r_L05	11	nr	m
f30r_L05	12	eh	h
f30r_L05	13	dl	m
f30r_L05	14	lt	h
f30r_L05	15	g	h
f30r_L05	16	r3	h
