draw	sign	count	band	true	proposed	margin	second	correct
0	rs	23	n>=10	R	R	168.7	I	1
0	b	12	n>=10	O	O	83.2	NULL	1
0	o	18	n>=10	S	S	104.1	I	1
0	yt	19	n>=10	T	T	88.0	L	1
0	aq	23	n>=10	Y	I	39.4	V	0
0	bb	21	n>=10	COM	NULL	42.0	I	0
0	D	6	5-9	Q	Q	23.8	NULL	1
0	T	10	n>=10	SS	SS	20.7	S	1
0	zu	11	n>=10	I	I	13.6	NULL	1
0	d	3	2-4	V	V	21.5	I	1
0	null_o	5	5-9	NULL	NULL	11.1	E	1
0	q9	4	2-4	P	NULL	10.2	L	0
0	Af	39	n>=10	M	S	7.3	R	0
0	mx	10	n>=10	NULL	NULL	9.6	L	1
0	Rt	15	n>=10	O	O	29.5	E	1
0	g2	7	5-9	G	G	7.3	NULL	1
0	ll	9	5-9	LL	LL	5.4	L	1
0	rho	19	n>=10	F	F	7.8	L	1
0	paren	3	2-4	NULL	A	4.6	I	0
0	sq	1	2-4	X	R	0.6	E	0
1	oi	30	n>=10	E	E	270.7	I	1
1	rs	23	n>=10	R	R	173.5	I	1
1	yt	19	n>=10	T	T	80.1	I	1
1	b	12	n>=10	O	O	57.5	NULL	1
1	aq	23	n>=10	Y	I	39.4	V	0
1	bb	21	n>=10	COM	NULL	42.0	I	0
1	T	10	n>=10	SS	SS	20.7	S	1
1	p	7	5-9	M	M	18.5	C	1
1	zu	11	n>=10	I	I	13.6	NULL	1
1	d	3	2-4	V	V	21.5	I	1
1	null_o	5	5-9	NULL	NULL	11.1	E	1
1	q9	4	2-4	P	NULL	10.2	L	0
1	Af	39	n>=10	M	S	7.3	R	0
1	mx	10	n>=10	NULL	NULL	9.6	L	1
1	Rt	15	n>=10	O	O	29.5	E	1
1	g2	7	5-9	G	G	7.3	NULL	1
1	ll	9	5-9	LL	LL	5.4	L	1
1	rho	19	n>=10	F	F	7.8	L	1
1	paren	3	2-4	NULL	A	4.6	I	0
1	sq	1	2-4	X	R	0.6	E	0
2	oi	30	n>=10	E	E	257.0	I	1
2	nq	37	n>=10	Q	Q	117.4	L	1
2	b	12	n>=10	O	O	66.9	NULL	1
2	o	18	n>=10	S	S	55.1	NULL	1
2	bb	21	n>=10	COM	NULL	48.2	E	0
2	rho	19	n>=10	F	F	27.7	L	1
2	x	30	n>=10	A	A	68.5	I	1
2	yt	19	n>=10	T	T	88.8	I	1
2	aq	23	n>=10	Y	I	33.1	V	0
2	D	6	5-9	Q	Q	23.8	NULL	1
2	zu	11	n>=10	I	I	19.1	NULL	1
2	d	3	2-4	V	V	21.5	I	1
2	p	7	5-9	M	M	20.2	S	1
2	T	10	n>=10	SS	SS	15.9	S	1
2	null_o	5	5-9	NULL	NULL	15.2	V	1
2	g2	7	5-9	G	G	7.3	NULL	1
2	ll	9	5-9	LL	LL	6.7	L	1
2	Rt	15	n>=10	O	O	2.4	E	1
2	mx	10	n>=10	NULL	NULL	19.7	D	1
2	sq	1	2-4	X	R	0.6	E	0
3	oi	30	n>=10	E	E	221.3	NULL	1
3	rs	23	n>=10	R	R	160.2	I	1
3	yt	19	n>=10	T	T	88.2	I	1
3	b	12	n>=10	O	O	77.0	NULL	1
3	o	18	n>=10	S	S	90.3	NULL	1
3	Af	39	n>=10	M	R	27.2	I	0
3	bb	21	n>=10	COM	NULL	46.3	I	0
3	zu	11	n>=10	I	I	23.7	NULL	1
3	p	7	5-9	M	M	22.1	S	1
3	d	3	2-4	V	V	20.8	I	1
3	null_o	5	5-9	NULL	NULL	15.2	V	1
3	D	6	5-9	Q	Q	12.0	NULL	1
3	q9	4	2-4	P	NULL	8.2	L	0
3	ll	9	5-9	LL	LL	6.7	L	1
3	g2	7	5-9	G	G	4.4	I	1
3	mx	10	n>=10	NULL	NULL	2.9	L	1
3	Rt	15	n>=10	O	O	25.4	E	1
3	paren	3	2-4	NULL	A	4.6	I	0
3	T	10	n>=10	SS	SS	0.7	S	1
3	sq	1	2-4	X	R	0.6	E	0
4	oi	30	n>=10	E	E	233.8	NULL	1
4	rs	23	n>=10	R	R	176.4	NULL	1
4	nq	37	n>=10	Q	Q	103.7	L	1
4	yt	19	n>=10	T	T	71.3	I	1
4	b	12	n>=10	O	O	69.7	I	1
4	o	18	n>=10	S	S	100.1	NULL	1
4	bb	21	n>=10	COM	NULL	48.1	E	0
4	Rt	15	n>=10	O	O	20.7	E	1
4	mx	10	n>=10	NULL	NULL	35.5	R	1
4	zu	11	n>=10	I	I	12.9	NULL	1
4	d	3	2-4	V	V	20.8	I	1
4	D	6	5-9	Q	Q	12.0	NULL	1
4	null_o	5	5-9	NULL	NULL	11.3	V	1
4	p	7	5-9	M	M	12.9	S	1
4	q9	4	2-4	P	NULL	10.2	L	0
4	T	10	n>=10	SS	SS	9.0	S	1
4	g2	7	5-9	G	G	7.3	NULL	1
4	ll	9	5-9	LL	LL	5.4	L	1
4	rho	19	n>=10	F	F	7.5	L	1
4	paren	3	2-4	NULL	A	4.6	I	0
5	rs	23	n>=10	R	R	177.7	I	1
5	z	45	n>=10	A	A	104.1	E	1
5	yt	19	n>=10	T	T	91.9	I	1
5	o	18	n>=10	S	S	77.8	I	1
5	b	12	n>=10	O	O	60.8	NULL	1
5	bb	21	n>=10	COM	NULL	43.3	L	0
5	mx	10	n>=10	NULL	NULL	39.9	L	1
5	aq	23	n>=10	Y	I	27.8	V	0
5	D	6	5-9	Q	Q	23.8	NULL	1
5	T	10	n>=10	SS	SS	13.0	S	1
5	p	7	5-9	M	M	11.7	I	1
5	zu	11	n>=10	I	I	13.6	NULL	1
5	d	3	2-4	V	V	21.5	I	1
5	q9	4	2-4	P	NULL	10.2	L	0
5	null_o	5	5-9	NULL	NULL	8.0	V	1
5	g2	7	5-9	G	G	7.3	NULL	1
5	ll	9	5-9	LL	LL	5.4	L	1
5	rho	19	n>=10	F	F	8.2	L	1
5	paren	3	2-4	NULL	A	4.6	I	0
5	sq	1	2-4	X	R	0.6	E	0
6	oi	30	n>=10	E	E	224.5	NULL	1
6	rs	23	n>=10	R	R	98.8	I	1
6	b	12	n>=10	O	O	63.2	NULL	1
6	bb	21	n>=10	COM	NULL	55.6	E	0
6	o	18	n>=10	S	S	33.0	NULL	1
6	rho	19	n>=10	F	F	20.8	L	1
6	x	30	n>=10	A	A	70.5	I	1
6	yt	19	n>=10	T	T	85.5	I	1
6	zu	11	n>=10	I	I	23.7	NULL	1
6	p	7	5-9	M	M	22.1	S	1
6	Rt	15	n>=10	O	O	20.7	E	1
6	mx	10	n>=10	NULL	NULL	30.7	L	1
6	D	6	5-9	Q	Q	12.0	NULL	1
6	T	10	n>=10	SS	SS	9.0	S	1
6	q9	4	2-4	P	NULL	8.2	L	0
6	null_o	5	5-9	NULL	NULL	8.0	V	1
6	g2	7	5-9	G	G	7.3	NULL	1
6	ll	9	5-9	LL	LL	6.7	L	1
6	paren	3	2-4	NULL	A	4.6	I	0
6	sq	1	2-4	X	R	0.6	E	0
7	oi	30	n>=10	E	E	236.5	I	1
7	nq	37	n>=10	Q	Q	110.1	L	1
7	b	12	n>=10	O	O	63.2	NULL	1
7	bb	21	n>=10	COM	NULL	55.6	E	0
7	o	18	n>=10	S	S	33.0	NULL	1
