column	band	y0	y1	x0	x1	dist_to_header_px
a	single	39	57	2	18	2.0
a	single	64	84	2	19	1.5
a	single	95	113	3	27	3.0
b	single	39	87	28	45	3.5
c	single	36	61	52	66	8.0
d	single	30	57	76	97	5.5
d	single	65	85	78	95	5.5
e	single	37	58	106	119	7.5
e	single	66	82	104	126	5.0
e	single	85	114	105	119	8.0
e	single	116	143	105	126	4.5
e	single	144	164	107	126	3.5
e	double	173	190	106	122	6.0
f	single	35	59	133	160	0.5
f	double	143	162	131	155	3.0
g	single	35	60	164	180	2.0
h	single	33	58	180	206	5.0
i	single	34	56	212	235	1.5
i	single	65	83	212	228	2.0
i	single	91	109	210	227	3.5
l	single	42	57	236	255	2.5
l	double	143	167	237	260	5.5
m	single	42	69	267	279	3.0
m	single	67	84	265	281	3.0
m	single	139	162	257	286	1.5
n	single	37	58	293	306	2.5
n	single	66	84	292	308	2.0
n	single	93	109	292	307	2.5
n	double	147	165	288	319	1.5
o	single	32	58	318	332	5.0
o	single	62	85	319	329	6.0
o	single	90	111	317	336	3.5
p	single	32	56	341	364	5.5
p	single	60	92	343	364	4.5
p	double	143	161	340	366	5.0
q	single	34	57	369	391	4.0
q	single	58	82	371	394	1.5
q	single	86	103	369	391	4.0
q	single	94	107	371	384	6.5
q	single	114	135	373	385	5.0
r	single	35	56	398	415	4.5
r	single	62	82	391	414	8.5
r	single	84	119	396	413	6.5
r	single	140	165	395	418	4.5
s	single	38	53	424	441	2.5
s	single	59	88	422	443	2.5
s	single	94	108	425	439	3.0
s	double	144	164	423	443	2.0
t	single	35	57	453	472	2.5
t	single	63	89	451	470	0.5
t	single	94	110	450	470	0.0
u	single	62	85	475	490	1.5
u	single	93	120	474	491	1.5
x	single	38	57	500	524	0.0
y	single	40	57	529	543	3.0
y	single	60	83	530	543	2.5
z	single	37	58	554	574	2.0
