code	desc	count	pages	exemplars	marks_seen
W	double-loop W shape (24 Sept 2026, LANE R4 O, per K's flagged 22nd sign)	9	f75L	f75L_12_016,f75L_20_021,f75L_36_023,f75L_10_006,f75L_03_010,f75L_25_007,f75L_08_021,f75L_16_018	
arrow	A/triangle arrow shape	18	f75L	f75L_09_019,f75L_26_016,f75L_01_019,f75L_23_018,f75L_33_015,f75L_10_011,f75L_36_019,f75L_42_007	
b8	B/8 loop shape	48	f75L	f75L_11_012,f75L_36_013,f75L_17_019,f75L_35_025,f75L_37_010,f75L_17_016,f75L_03_012,f75L_30_006	
bar	vertical stroke with serif/dot	72	f75L	f75L_39_005,f75L_03_019,f75L_34_027,f75L_16_004,f75L_16_016,f75L_38_016,f75L_26_018,f75L_40_004	
blob	dense ink blob, ff-ligature-like	27	f75L	f75L_29_025,f75L_15_017,f75L_28_029,f75L_26_024,f75L_29_021,f75L_18_003,f75L_29_001,f75L_19_018	
chook	C-shaped hook	19	f75L	f75L_27_013,f75L_13_014,f75L_29_010,f75L_08_018,f75L_13_008,f75L_38_014,f75L_42_014,f75L_38_018	
circ	circle / donut	29	f75L	f75L_27_016,f75L_13_001,f75L_13_005,f75L_07_007,f75L_06_020,f75L_29_004,f75L_16_013,f75L_03_014	
ctlig	ct-ligature / alpha-like shape	64	f75L	f75L_39_015,f75L_31_004,f75L_18_002,f75L_35_009,f75L_29_015,f75L_03_017,f75L_11_010,f75L_01_012	
flag	hook with flag-like top	41	f75L	f75L_36_007,f75L_18_009,f75L_31_009,f75L_35_007,f75L_03_020,f75L_39_017,f75L_21_016,f75L_04_009	
hash	multi-bar cross-hatch (#-like)	58	f75L	f75L_14_012,f75L_13_004,f75L_32_008,f75L_38_007,f75L_22_027,f75L_30_017,f75L_20_015,f75L_38_009	
hash2	double cross-hatch, denser than hash	33	f75L	f75L_18_012,f75L_12_011,f75L_24_021,f75L_21_008,f75L_21_022,f75L_07_022,f75L_02_018,f75L_33_005	
hook	comma-like hook, tail up-left	19	f75L	f75L_26_013,f75L_24_005,f75L_36_005,f75L_30_018,f75L_36_028,f75L_09_009,f75L_35_023,f75L_35_018	
hook2	z-like hook	21	f75L	f75L_03_016,f75L_32_012,f75L_30_013,f75L_07_010,f75L_09_004,f75L_14_014,f75L_02_008,f75L_23_022	
hook7	7/?-like hook	16	f75L	f75L_11_002,f75L_35_013,f75L_23_010,f75L_40_005,f75L_41_019,f75L_19_005,f75L_29_016,f75L_28_004	
hookJ	large cursive J/3-shaped hook	26	f75L	f75L_26_008,f75L_25_012,f75L_21_006,f75L_30_024,f75L_08_007,f75L_07_009,f75L_36_010,f75L_31_014	
hookL	L-shaped hook	39	f75L	f75L_03_007,f75L_19_024,f75L_37_009,f75L_40_017,f75L_03_011,f75L_38_010,f75L_08_010,f75L_05_016	
hookS	S/J cursive hook	51	f75L	f75L_38_023,f75L_29_009,f75L_23_014,f75L_38_019,f75L_31_017,f75L_04_013,f75L_12_013,f75L_07_018	
inf	figure-8 / infinity loop	37	f75L	f75L_05_015,f75L_21_011,f75L_26_017,f75L_38_006,f75L_33_002,f75L_38_022,f75L_31_013,f75L_18_014	
loopMN	m/n-like cursive loop (wave), may be plain script	39	f75L	f75L_08_002,f75L_28_019,f75L_20_012,f75L_03_003,f75L_16_017,f75L_32_015,f75L_11_018,f75L_14_003	
num1	digit 1, tall stroke with serif/flag top	73	f75L	f75L_38_013,f75L_37_014,f75L_21_009,f75L_22_028,f75L_39_011,f75L_01_032,f75L_40_025,f75L_25_006	
plus	simple + cross	32	f75L	f75L_15_020,f75L_19_014,f75L_22_020,f75L_10_002,f75L_25_004,f75L_17_006,f75L_30_029,f75L_20_018	
signA	cursive A-like double-loop sign	14	f75L	f75L_21_014,f75L_02_007,f75L_34_026,f75L_33_017,f75L_24_008,f75L_07_024,f75L_19_001,f75L_31_019	
signN	cursive N-like sign	25	f75L	f75L_29_018,f75L_41_032,f75L_35_027,f75L_34_024,f75L_04_005,f75L_41_010,f75L_24_028,f75L_15_009	
signR	cursive R-like sign, very frequent	21	f75L	f75L_24_019,f75L_37_017,f75L_17_012,f75L_18_015,f75L_24_010,f75L_16_009,f75L_19_022,f75L_22_012	
star	asterisk / star burst	55	f75L	f75L_36_024,f75L_12_010,f75L_23_015,f75L_04_015,f75L_33_018,f75L_19_009,f75L_35_017,f75L_25_001	
tcross	T/F cross-top shape	15	f75L	f75L_24_014,f75L_22_017,f75L_08_006,f75L_07_005,f75L_20_019,f75L_28_012,f75L_22_022,f75L_16_012	
wedge	small wedge/tick mark	38	f75L	f75L_06_013,f75L_21_020,f75L_13_013,f75L_05_004,f75L_20_016,f75L_22_011,f75L_31_018,f75L_13_011	
