sid	page	line	pos	x	y	w	h	rh	rw	dy	marks
f75L_01_001	f75L	1	1	80	385	6	6	0.353	0.353	2.000	f75L_01_m0084|f75L_01_m0091|f75L_01_m0100|f75L_01_m0103|f75L_01_m0106|f75L_01_m0107|f75L_01_m0108|f75L_01_m0109
f75L_01_002	f75L	1	2	299	180	12	15	0.882	0.706	-9.794	f75L_01_m0052|f75L_01_m0058|f75L_01_m0060|f75L_01_m0061|f75L_01_m0062|f75L_01_m0064|f75L_01_m0065|f75L_01_m0066|f75L_01_m0069|f75L_01_m0074|f75L_01_m0076|f75L_01_m0078|f75L_01_m0079|f75L_01_m0080|f75L_01_m0081|f75L_01_m0082|f75L_01_m0083|f75L_01_m0085|f75L_01_m0086|f75L_01_m0087|f75L_01_m0088|f75L_01_m0092|f75L_01_m0093|f75L_01_m0094|f75L_01_m0095|f75L_01_m0096|f75L_01_m0097|f75L_01_m0098|f75L_01_m0104|f75L_01_m0105
f75L_01_003	f75L	1	3	1291	347	21	19	1.118	1.235	0.147	f75L_01_m0063|f75L_01_m0075|f75L_01_m0077
f75L_01_004	f75L	1	4	1313	347	13	8	0.471	0.765	-0.176	f75L_01_m0059
f75L_01_005	f75L	1	5	1482	310	35	84	4.941	2.059	-0.118	
f75L_01_006	f75L	1	6	1514	365	7	20	1.176	0.412	1.235	
f75L_01_007	f75L	1	7	1614	337	44	28	1.647	2.588	-0.176	f75L_01_m0067
f75L_01_008	f75L	1	8	1705	379	6	18	1.059	0.353	2.000	
f75L_01_009	f75L	1	9	1743	394	9	12	0.706	0.529	2.706	
f75L_01_010	f75L	1	10	1795	350	6	9	0.529	0.353	0.029	f75L_01_m0044
f75L_01_011	f75L	1	11	2047	321	36	92	5.412	2.118	0.765	f75L_01_m0028|f75L_01_m0068
f75L_01_012	f75L	1	12	2122	341	30	48	2.824	1.765	0.647	
f75L_01_013	f75L	1	13	2286	335	29	28	1.647	1.706	-0.294	f75L_01_m0110
f75L_01_014	f75L	1	14	2390	389	5	6	0.353	0.294	2.235	
