line	position	sign	confidence	alt	why
f88.1	1	t	M	A:-	gap
f88.1	2	to	M	B:o	differ
f88.1	3	g	M		agree-flagged
f88.1	4	ı	M	B:i	differ
f88.1	5	L	M	B:l	differ
f88.1	6	x	M		agree-flagged
f88.1	7	‡	M		agree-flagged
f88.1	8	q	M		agree-flagged
f88.1	9	λ	M		agree-flagged
f88.1	10	q	M		agree-flagged
f88.1	11	π	M		agree-flagged
f88.1	12	⊥	M	B:L	differ
f88.1	13	y	M		agree-flagged
f88.1	14	v	M		agree-flagged
f88.1	15	E	M	B:-	gap
f88.1	16	2	M	B:-	gap
f88.1	17	4	M	B:9	differ
f88.1	18	4	M		agree-flagged
f88.1	19	T	M		agree-flagged
f88.1	20	n	M	B:-	gap
f88.1	21	∂	M	B:9	differ
f88.1	22	o-	M	B:2	differ
f88.1	23	L	M		agree-flagged
f88.1	24	∂	M	B:d	differ
f88.1	25	##	M	B:‡	differ
f88.1	26	,,	M	B://	differ
f88.2	1	T	M		agree-flagged
f88.2	2	ɔ	M	B:2z	differ
f88.2	3	p	M		agree-flagged
f88.2	4	L	M	B:-	gap
f88.2	5	o	M	B:-	gap
f88.2	6	f	M		agree-flagged
f88.2	7	6	M	A:-	gap
f88.2	8	E	M	B:3	differ
f88.2	9	y	M	B:9	differ
f88.2	10	L	M	B:2	differ
f88.2	11	T	M		agree-flagged
f88.3	1	to	M	B:-	gap
f88.3	2	o	M	B:-	gap
f88.3	3	g	M		agree-flagged
f88.3	4	Δ	M	A:-	gap
f88.3	5	∂	M	B:alpha	differ
f88.3	6	o	M	B:Y	differ
f88.3	7	y	M	B:#	differ
f88.3	8	4	M	B:2	differ
f88.3	9	20	M	B:0	differ
f88.3	10	8	H		agree
f88.3	11	##	M	B:‡	differ
f88.3	12	π	M		agree-flagged
f88.3	13	⊥	M	B:-	gap
f88.4	1	12	H		agree
f88.4	2	Δ	M	B:λ	differ
f88.4	3	C	M	B:ↄ	differ
f88.4	4	m	M		agree-flagged
f88.4	5	7	H		agree
f88.4	6	c	M		agree-flagged
f88.4	7	12	H		agree
f88.4	8	ı	M	B:l	differ
f88.4	9	b	M	B:6	differ
f88.4	10	F	M		agree-flagged
f88.4	11	oo	M		agree-flagged
f88.4	12	+	M	B:-	gap
f88.4	13	40	M	B:-	gap
f88.4	14	w	M	B:4	differ
f88.4	15	L	M	B:o	differ
f88.4	16	x	M	B:oo	differ
f88.4	17	o-	M	B:X-	differ
f88.4	18	e	M		agree-flagged
f88.4	19	y	M		agree-flagged
f88.4	20	4	M	B:-	gap
f88.4	21	x	M	B:7~	differ
f88.4	22	‡	M	B:φ	differ
f88.4	23	q	M		agree-flagged
f88.4	24	ı	M	B:-	gap
f88.4	25	o	M	B:10	differ
f88.4	26	E	M	B:3	differ
f88.4	27	q	M		agree-flagged
f88.4	28	4	H		agree
f88.4	29	x	M	A:-	gap
f88.4	30	xx	M	B:x	differ
f88.4	31	ur	M	B:m	differ
f88.4	32	f	M		agree-flagged
f88.4	33	##	M	B:H	differ
f88.4	34	ɤ	M	B:θ	differ
f88.4	35	π	M		agree-flagged
f88.4	36	C	M	B:c	differ
f88.4	37	L	M	B:l	differ
f88.4	38	x	H		agree
f88.4	39	q	M		agree-flagged
f88.4	40	3	M	B:-	gap
f88.4	41	0	M	B:30	differ
f88.4	42	11	M	B://	differ
f88.4	43	Δ	M		agree-flagged
f88.4	44	ſ	M		agree-flagged
f88.4	45	ll	M	B:iii	differ
f176.1	1	∂	M	B:-	gap
f176.1	2	o	M	B:-	gap
f176.1	3	y	M	B:-	gap
f176.1	4	c	M	B:-	gap
f176.1	5	t3	M	B:-	gap
f176.1	6	π	M	B:-	gap
f176.1	7	⊥	M	B:-	gap
f176.2	1	ſ	M	B:-	gap
f176.2	2	·	M	B:L	differ
f176.2	3	V	M		agree-flagged
f176.2	4	T	M		agree-flagged
f176.2	5	v	M	B:-	gap
f176.2	6	∂	M	B:-	gap
f176.2	7	ß	M	B:β	differ
f176.2	8	m	M		agree-flagged
f176.2	9	o	M	B:-	gap
f176.2	10	⊥	M	B:σ	differ
f176.2	11	Δ	M		agree-flagged
f176.2	12	T	M		agree-flagged
f176.2	13	X	M	B:-	gap
f176.2	14	X	M	B:xx	differ
f176.2	15	o	M		agree-flagged
f176.2	16	tt	M	B:-	gap
f176.3	1	·	M	B:-	gap
f176.3	2	ſ	M	B:f	differ
f176.3	3	14	H		agree
f176.3	4	1	M		agree-flagged
f176.3	5	ſ	M	B:f	differ
f176.3	6	y	M		agree-flagged
f176.3	7	x	M		agree-flagged
f176.3	8	=	M	B:‡	differ
f176.3	9	9	M	B:q	differ
f176.3	10	20	H		agree
f176.3	11	///	M		agree-flagged
f176.3	12	0	M	B:o	differ
f176.3	13	3	M	B:ϛ	differ
f176.4	1	oo	M		agree-flagged
f176.4	2	+	M	B:c	differ
f176.4	3	∂	M	B:t	differ
f176.4	4	h	M		agree-flagged
f176.4	5	4	M	B:⊥	differ
f176.4	6	#	M	B:‡	differ
f176.4	7	L	M	B:E	differ
f176.4	8	x	M		agree-flagged
f176.4	9	7	M	A:-	gap
f176.4	10	‡	M		agree-flagged
f176.4	11	#	M	B:-	gap
f176.4	12	T	M		agree-flagged
f176.4	13	δ	M		agree-flagged
f176.4	14	E	M		agree-flagged
f176.4	15	r	M	B:R	differ
