line	pos	sign	conf
f27_L02	1	=Ma	M
f27_L02	2	=^te	M
f27_L02	3	λ	M
f27_L02	4	p	M
f27_L02	5	i	M
f27_L02	6	g	M
f27_L02	7	t	M
f27_L02	8	t	M
f27_L02	9	o	M
f27_L02	10	.	M
f27_L02	11	j	M
f27_L02	12	.	M
f27_L02	13	b	M
f27_L02	14	v	M
f27_L02	15	4	M
f27_L02	16	g	M
f27_L02	17	t	M
f27_L02	18	c	M
f27_L02	19	f	M
f27_L02	20	8	M
f27_L02	21	///	M
f27_L02	22	f	M
f27_L02	23	y	M
f27_L02	24	p	M
f27_L02	25	v	M
f27_L02	26	ſ	M
f27_L02	27	∞	M
f27_L02	28	t	M
f27_L02	29	o	M
f27_L02	30	g?	L
f27_L02	31	g	M
f27_L02	32	t	M
f27_L02	33	h	M
f27_L02	34	v	M
f27_L02	35	c	M
f27_L02	36	///	M
f27_L02	37	ſ	M
f27_L02	38	∂?	L
f27_L02	39	o	M
f27_L02	40	20	M
f27_L02	41	o	M
f27_L02	42	o	M
f27_L02	43	ß	M
f27_L02	44	i	M
f27_L02	45	∂	M
f27_L02	46	v	M
f27_L02	47	∂	M
f27_L02	48	3?	L
f27_L02	49	8	M
f27_L02	50	⊡	M
f27_L02	51	t	M
f27_L02	52	o	M
f27_L02	53	c	M
f27_L02	54	m	M
f27_L02	55	E	M
f27_L02	56	y	M
f27_L03	1	8	M
f27_L03	2	+	M
f27_L03	3	i	M
f27_L03	4	g	M
f27_L03	5	t	M
f27_L03	6	4	M
f27_L03	7	f	M
f27_L03	8	p	M
f27_L03	9	^	M
f27_L03	10	.	M
f27_L03	11	j	M
f27_L03	12	.	M
f27_L03	13	g	M
f27_L03	14	i	M
f27_L03	15	∂	M
f27_L03	16	∞	M
f27_L03	17	b	M
f27_L03	18	g	M
f27_L03	19	c	M
f27_L03	20	r	M
f27_L03	21	4	M
f27_L03	22	u	M
f27_L03	23	c	M
f27_L03	24	b	M
f27_L03	25	p	M
f27_L03	26	i	M
f27_L03	27	//	M
f27_L03	28	∂	M
f27_L03	29	f	M
f27_L03	30	#	M
f27_L03	31	g	M
f27_L03	32	E	M
f27_L03	33	8	M
f27_L03	34	u	M
f27_L03	35	∂	M
f27_L03	36	+	M
f27_L03	37	p	M
f27_L03	38	∂	M
f27_L03	39	3?	L
f27_L03	40	ſ	M
f27_L03	41	^	M
f27_L03	42	⊡	M
f27_L03	43	π	M
f27_L03	44	∞	M
f27_L03	45	∂	M
f27_L03	46	f	M
f27_L03	47	4	M
f27_L03	48	b	M
f27_L03	49	y	M
f27_L03	50	o	M
f27_L03	51	T	M
f27_L03	52	i	M
f27_L03	53	∂	M
f27_L03	54	‡	M
f27_L03	55	//	M
f27_L03	56	v	M
f27_L03	57	o	M
f27_L03	58	c	M
f27_L03	59	#	M
f27_L03	60	ß	M
f27_L03	61	f	M
f27_L04	1	∂	M
f27_L04	2	c	M
f27_L04	3	m	M
f27_L04	4	b	M
f27_L04	5	u	M
f27_L04	6	v	M
f27_L04	7	g	M
f27_L04	8	t	M
f27_L04	9	o	M
f27_L04	10	g	M
f27_L04	11	4	M
f27_L04	12	g	M
f27_L04	13	o	M
f27_L04	14	8	M
f27_L04	15	f	M
f27_L04	16	p	M
f27_L04	17	i	M
f27_L04	18	.	M
f27_L04	19	j	M
