line	position	sign	confidence	alt	why
f27_L02	1	=Ma	M		agree-flagged
f27_L02	2	=^te	M		agree-flagged
f27_L02	3	λ	M		agree-flagged
f27_L02	4	p	M	B:ꝑ	differ
f27_L02	5	i	M		agree-flagged
f27_L02	6	g	M		agree-flagged
f27_L02	7	t	M		agree-flagged
f27_L02	8	t	M	B:+	differ
f27_L02	9	o	M		agree-flagged
f27_L02	10	j	M		agree-flagged
f27_L02	11	b	M	B:ß	differ
f27_L02	12	v	M		agree-flagged
f27_L02	13	z	M	A:-	gap
f27_L02	14	4	M	B:+	differ
f27_L02	15	g	M		agree-flagged
f27_L02	16	t	M		agree-flagged
f27_L02	17	c	M		agree-flagged
f27_L02	18	f	M		agree-flagged
f27_L02	19	8	M	B:ſ	differ
f27_L02	20	///	M		agree-flagged
f27_L02	21	f	M		agree-flagged
f27_L02	22	y	M		agree-flagged
f27_L02	23	p	M	B:ꝑ	differ
f27_L02	24	v	M		agree-flagged
f27_L02	25	ſ	M		agree-flagged
f27_L02	26	o	M	A:-	gap
f27_L02	27	∞	M	B:o	differ
f27_L02	28	t	M	B:+	differ
f27_L02	29	o	M		agree-flagged
f27_L02	30	g	M	B:¢	differ
f27_L02	31	g	M		agree-flagged
f27_L02	32	t	M		agree-flagged
f27_L02	33	h	M	B:ɔ	differ
f27_L02	34	v	M		agree-flagged
f27_L02	35	c	M		agree-flagged
f27_L02	36	m	M	A:-	gap
f27_L02	37	///	M	B:f	differ
f27_L02	38	ſ	M		agree-flagged
f27_L02	39	∂	M	B:-	gap
f27_L02	40	o	M		agree-flagged
f27_L02	41	20	M	B:2	differ
f27_L02	42	o	M	B:0	differ
f27_L02	43	o	M	B:0	differ
f27_L02	44	ß	M		agree-flagged
f27_L02	45	i	M	B:ι	differ
f27_L02	46	∂	M	B:ϑ	differ
f27_L02	47	v	M		agree-flagged
f27_L02	48	∂	M	B:-	gap
f27_L02	49	3	M	B:⌐	differ
f27_L02	50	8	M		agree-flagged
f27_L02	51	⊡	M	B:∞	differ
f27_L02	52	t	M		agree-flagged
f27_L02	53	o	M		agree-flagged
f27_L02	54	c	M		agree-flagged
f27_L02	55	m	M		agree-flagged
f27_L02	56	E	M	B:e	differ
f27_L02	57	y	M		agree-flagged
f27_L03	1	8	M	B:x	differ
f27_L03	2	+	M		agree-flagged
f27_L03	3	i	M		agree-flagged
f27_L03	4	g	M		agree-flagged
f27_L03	5	t	M		agree-flagged
f27_L03	6	4	M	B:+	differ
f27_L03	7	f	M		agree-flagged
f27_L03	8	p	M	B:f	differ
f27_L03	9	^	M	B:ꝑ	differ
f27_L03	10	j	M		agree-flagged
f27_L03	11	g	M		agree-flagged
f27_L03	12	i	M		agree-flagged
f27_L03	13	v	M	A:-	gap
f27_L03	14	∂	M	B:ſ	differ
f27_L03	15	∞	M	B:a	differ
f27_L03	16	b	M	B:ß	differ
f27_L03	17	g	M		agree-flagged
f27_L03	18	π	M	A:-	gap
f27_L03	19	c	M	B:i	differ
f27_L03	20	r	M	B:z	differ
f27_L03	21	4	M	B:+	differ
f27_L03	22	u	M	B:m	differ
f27_L03	23	c	M		agree-flagged
f27_L03	24	b	M	B:ß	differ
f27_L03	25	p	M	B:ꝑ	differ
f27_L03	26	i	M		agree-flagged
f27_L03	27	//	M	B:///	differ
f27_L03	28	∂	M	B:λ	differ
f27_L03	29	f	M		agree-flagged
f27_L03	30	#	M		agree-flagged
f27_L03	31	g	M	B:q	differ
f27_L03	32	E	M		agree-flagged
f27_L03	33	8	M		agree-flagged
f27_L03	34	u	M	B:v	differ
f27_L03	35	∂	M	B:ꝑ	differ
f27_L03	36	+	M		agree-flagged
f27_L03	37	p	M	B:-	gap
f27_L03	38	∂	M	B:ꝑ	differ
f27_L03	39	3	M	B:r	differ
f27_L03	40	ſ	M	B:i	differ
f27_L03	41	^	M	B:2	differ
f27_L03	42	⊡	M	B:π	differ
f27_L03	43	π	M		agree-flagged
f27_L03	44	∞	M		agree-flagged
f27_L03	45	∂	M	B:ꝑ	differ
f27_L03	46	f	M		agree-flagged
f27_L03	47	4	M		agree-flagged
f27_L03	48	b	M	B:ß	differ
f27_L03	49	y	M		agree-flagged
f27_L03	50	o	M		agree-flagged
f27_L03	51	t	M	A:-	gap
f27_L03	52	T	M	B:i	differ
f27_L03	53	i	M		agree-flagged
f27_L03	54	∂	M		agree-flagged
f27_L03	55	‡	M	B:f	differ
f27_L03	56	//	M	B:///	differ
f27_L03	57	v	M	B:r	differ
f27_L03	58	o	M		agree-flagged
f27_L03	59	c	M		agree-flagged
f27_L03	60	#	M		agree-flagged
f27_L03	61	ß	M		agree-flagged
f27_L03	62	f	M		agree-flagged
f27_L04	1	∂	M	B:g	differ
f27_L04	2	c	M	B:w	differ
f27_L04	3	m	M	B:n	differ
f27_L04	4	b	M		agree-flagged
f27_L04	5	u	M		agree-flagged
f27_L04	6	v	M	B:+	differ
f27_L04	7	g	M		agree-flagged
f27_L04	8	t	M		agree-flagged
f27_L04	9	o	M		agree-flagged
f27_L04	10	g	M		agree-flagged
f27_L04	11	z	M	A:-	gap
f27_L04	12	4	M	B:+	differ
f27_L04	13	g	M		agree-flagged
f27_L04	14	o	M		agree-flagged
f27_L04	15	8	M	B:-	gap
f27_L04	16	f	M	B:-	gap
f27_L04	17	p	M	B:t	differ
f27_L04	18	i	M	B:ꝑ	differ
f27_L04	19	j	M		agree-flagged
f27_L04	20	h	M		agree-flagged
f27_L04	21	9	M	B:g	differ
f27_L04	22	6	M	B:f	differ
f27_L04	23	#	M	B:⊥	differ
f27_L04	24	∂	M	B:ꝑ	differ
f27_L04	25	g	M		agree-flagged
f27_L04	26	λ	M		agree-flagged
f27_L04	27	f	M		agree-flagged
f27_L04	28	√	M	B:ſ	differ
f27_L04	29	o	M		agree-flagged
f27_L04	30	=	M		agree-flagged
f27_L04	31	u	M	B:m	differ
f27_L04	32	x	M		agree-flagged
f27_L04	33	⊥	M		agree-flagged
f27_L04	34	//	M	B:///	differ
f27_L04	35	f	M		agree-flagged
f27_L04	36	r	M	B:z	differ
f27_L04	37	g	M		agree-flagged
f27_L04	38	i	M		agree-flagged
