# BnF fr.4687 items 1-3, cipher passages on Gallica canvases 8, 9, 10 (ark:/12148/btv1b90075058).
# Generated by reconcile.py from passA.tsv, passB.tsv, passC_native.tsv. Do not edit by hand.
# Unit = sign (0-9, y = the ij-shaped sign). The scribe marks no group boundaries (NOTES.md, Segmentation).
# conf: H = A, B and the native reading agree (>=2 readings); M = otherwise. alt: other readings (- = no sign there).
# a_start/b_start: 1 = that pass began a group at this sign, 0 = mid-group, - = pass has no aligned sign.
# Covers the 16 lines both passes read plus f8_L11 (pass B only). Untranscribed cipher lines: NOTES.md.
line	pos	sign	conf	alt	a_start	b_start	note
f8_L2	1	1	M	A:-,B:-	-	-	dotted i right after a struck word; A and B omit it; may belong to the plain text
f8_L2	2	2	H		1	1	
f8_L2	3	2	H		0	0	
f8_L2	4	2	H		1	1	
f8_L2	5	0	H		0	0	
f8_L2	6	5	H		1	1	
f8_L2	7	y	M	A:1,B:9	0	0	
f8_L2	8	6	H		1	1	
f8_L2	9	5	H		0	0	
f8_L2	10	1	H		1	1	
f8_L2	11	8	H		0	0	
f8_L2	12	1	H		1	1	
f8_L2	13	9	H		0	0	
f8_L2	14	1	H		1	1	
f8_L2	15	9	H		0	0	
f8_L2	16	2	H		1	1	
f8_L2	17	1	H		0	0	
f8_L2	18	6	H		0	0	
f8_L3	1	1	H		1	1	
f8_L3	2	4	M	B:9	0	0	
f8_L3	3	1	H		1	1	
f8_L3	4	7	H		0	0	
f8_L3	5	9	H		1	1	
f8_L3	6	6	H		0	0	
f8_L3	7	1	H		1	1	
f8_L3	8	0	H		0	0	
f8_L3	9	2	H		1	1	
f8_L3	10	0	H		0	0	
f8_L3	11	4	M	B:1	0	1	
f8_L3	12	y	M	B:1	1	0	
f8_L3	13	3	H		1	1	
f8_L3	14	1	H		0	0	
f8_L3	15	8	H		0	0	
f8_L3	16	6	H		1	1	
f8_L3	17	1	H		1	0	
f8_L3	18	7	H		0	1	
f8_L3	19	6	H		0	0	
f8_L3	20	7	H		1	1	
f8_L3	21	2	H		0	0	
f8_L3	22	0	H	A:-	-	1	
f8_L3	23	1	H		1	0	
f8_L3	24	9	H		0	0	
f8_L3	25	2	H		1	1	
f8_L3	26	9	H		0	0	
f8_L3	27	9	H	B:-	1	-	
f8_L3	28	1	H		1	1	
f8_L3	29	8	H		0	0	
f8_L3	30	9	H		0	0	
f8_L3	31	7	H		1	1	
f8_L3	32	2	H		0	0	
f8_L3	33	0	H		1	1	
f8_L3	34	4	H		0	0	
f8_L3	35	y	M	A:9,B:9	1	1	
f8_L3	36	5	H		1	0	
f8_L3	37	2	H		0	0	
f8_L3	38	2	H		1	1	
f8_L3	39	1	H		1	0	
f8_L3	40	9	M	B:4	0	0	
f8_L4	1	2	M	A:9	1	1	superscript 24 written over a struck group (2217?): scribal replacement
f8_L4	2	4	H	A:-	-	0	superscript 24 (replacement)
f8_L4	3	4	H	A:-	-	1	
f8_L4	4	8	H		1	0	
f8_L4	5	1	H		1	1	
f8_L4	6	9	H		0	0	
f8_L4	7	1	H		1	1	
f8_L4	8	0	H		0	0	
f8_L4	9	9	H		0	0	
f8_L4	10	2	H		1	1	
f8_L4	11	0	H		0	0	
f8_L4	12	1	H		0	0	
f8_L4	13	3	H		1	0	
f8_L4	14	2	H		0	1	
f8_L4	15	2	H		0	0	
f8_L4	16	1	H		1	0	
f8_L4	17	2	H		0	0	
f8_L4	18	6	H		0	0	
f8_L4	19	5	H		1	1	
f8_L4	20	1	H		0	0	
f8_L4	21	8	H		0	0	
f8_L4	22	1	H		1	1	
f8_L4	23	7	H		0	0	
f8_L4	24	1	H		1	1	
f8_L4	25	5	M	A:8,B:8	0	0	
f8_L4	26	1	H		1	0	
f8_L4	27	2	H		0	0	
f8_L4	28	6	H		0	1	
f8_L4	29	2	H		1	0	
f8_L4	30	0	H		0	0	
f8_L4	31	1	H		0	0	
f8_L4	32	7	H		1	1	
f8_L4	33	5	H		0	0	
f8_L4	34	1	H		1	0	
f8_L4	35	7	H		0	0	
f8_L4	36	1	H		0	0	
f8_L4	37	6	H		1	1	
f8_L4	38	2	H		1	0	
f8_L4	39	8	H		0	0	
f8_L4	40	6	H		0	0	
f8_L5	1	3	M	A:-,B:1	-	1	
f8_L5	2	y	M	B:9	1	0	
f8_L5	3	2	H		1	1	
f8_L5	4	2	H		0	0	
f8_L5	5	0	H		1	0	
f8_L5	6	2	H		0	0	
f8_L5	7	y	M	B:1	1	1	
f8_L5	8	1	H		1	0	
f8_L5	9	3	H		0	0	
f8_L5	10	2	H		0	1	
f8_L5	11	2	H		1	0	
f8_L5	12	1	H		0	0	
f8_L5	13	9	M	B:4	0	0	
f8_L5	14	2	H		1	1	
f8_L5	15	0	H		0	0	
f8_L5	16	1	H		0	0	
f8_L5	17	8	H		0	0	
f8_L5	18	6	H		1	1	
f8_L5	19	3	M	A:-,B:-	-	-	
f8_L5	20	y	H	B:-	1	-	
f8_L5	21	1	H		1	0	
f8_L5	22	9	H		0	0	
f8_L5	23	2	H		1	1	
f8_L5	24	0	H		0	0	
f8_L5	25	5	H		0	0	
f8_L5	26	9	H		1	0	
f8_L5	27	9	H	A:-	-	1	
f8_L5	28	7	H		1	0	
f8_L5	29	3	H	B:-	0	-	
f8_L5	30	2	H		0	0	
f8_L5	31	3	M	A:2	0	0	
f8_L7	1	9	H	B:-	1	-	
f8_L7	2	2	H		1	1	
f8_L7	3	2	H		0	0	
f8_L7	4	9	H		1	1	
f8_L7	5	3	M	A:-,B:2	-	0	
f8_L7	6	1	H		1	0	
f8_L7	7	7	H		0	0	
f8_L7	8	y	M	A:9,B:-	1	-	
f8_L7	9	8	H		1	1	
f8_L7	10	5	H		0	0	
f8_L7	11	9	H		1	0	
f8_L7	12	3	M	A:-,B:-	-	-	
f8_L7	13	2	H		1	1	
f8_L7	14	2	H		0	0	
f8_L7	15	3	H		0	0	
f8_L7	16	5	H		1	0	
f8_L7	17	1	H		0	1	
f8_L7	18	8	H		0	0	
f8_L7	19	1	H		1	0	
f8_L7	20	4	H		0	0	
f8_L7	21	3	H		1	1	
f8_L7	22	1	H		1	0	
f8_L7	23	7	H		0	0	
f8_L7	24	y	M	A:9,B:1	1	0	
f8_L7	25	2	H		1	1	
f8_L7	26	0	H		0	0	
f8_L7	27	8	H		0	0	
f8_L7	28	5	H		1	0	
f8_L7	29	1	H		0	1	
f8_L7	30	7	H		1	0	
f8_L7	31	y	M	A:9,B:1	1	0	
f8_L7	32	4	M	A:9,B:9	1	0	
f8_L7	33	1	H		1	1	
f8_L7	34	8	H		0	0	
f8_L7	35	1	H		1	0	
f8_L7	36	4	M	A:9	0	0	
f8_L8	1	8	H		1	1	
f8_L8	2	4	H		0	0	
f8_L8	3	1	H		1	1	
f8_L8	4	5	H		0	0	
f8_L8	5	1	H		1	1	
f8_L8	6	8	H		0	0	
f8_L8	7	4	M	A:9	0	0	
f8_L8	8	2	H		1	0	
f8_L8	9	6	H		1	1	
f8_L8	10	3	M	B:1	0	0	
f8_L8	11	y	M	B:9	1	0	
f8_L8	12	8	H		1	1	
f8_L8	13	5	H		0	0	
f8_L8	14	1	H		0	0	
f8_L8	15	7	H		1	1	
f8_L8	16	3	H		0	0	
f8_L8	17	1	H		1	0	
f8_L8	18	4	H		0	0	
f8_L8	19	1	H		1	1	
f8_L8	20	8	H		0	0	
f8_L8	21	9	H		0	0	digit written over / blotted
f8_L8	22	9	H		0	0	
f8_L8	23	2	H		1	1	
f8_L8	24	4	H		0	0	
f8_L8	25	1	H		1	1	
f8_L8	26	0	H		0	0	
f8_L8	27	2	H		0	0	
f8_L8	28	0	H		1	0	
f8_L8	29	4	H		0	1	
f8_L8	30	9	M	A:-,B:2	-	0	
f8_L8	31	1	H		1	0	
f8_L8	32	7	H		0	0	
f8_L8	33	3	H		1	1	
f8_L8	34	1	H		0	0	
f8_L8	35	7	H		0	0	
