# Generated from ciphertext.txt (reconciled 588 signs, first reading per sign). line_id<TAB>signs
f8_L2	122205y65181919216
f8_L3	14179610204y3186176720192991897204y52219
f8_L4	2448191092013221265181715126201751716286
f8_L5	3y2202y132219201863y19205997323
f8_L7	9229317y859322351814317y208517y41814
f8_L8	8415184263y851731418992410204917317226
f8_L9	571920141854039485y6243017y20675424851849
f8_L10	493205484y961862y532042294y202232y615184
f8_L11	172208573209932022931817y4y63y7920399
f9_L6	9571542232015429184173527318315941795
f10_L2	1794418y32149y692242061849617y209185y3
f10_L3	20925158517329185320985y6293074203991418
f10_L4	416203918341765226124y51924174739456184
f10_L5	2249179941832418476251751692516193174954
f10_L6	242629618842022991748151791773y1196125620
f10_L7	1751617y2097501740543y8576292516
