code	plaintext
m'	A
3	A
d	B
cn	C
Z	D
q	E
8	F
tt	G
cm	I
11	I
m+	L
12	L
c	M
13	M
y	N
14	N
w	O
15	O
16	P
x	P
17	Q
g	R
18	R
~	S
19	S
z+	T
20	T
21	U
n	U
62_	VV
22	X
23	Y
10_	Y
24	Z
27	BA
40	CA
41	CE
42	CI
43	CO
44	CU
46	DA
47	DE
48	DI
49	DO
50	DU
31^	DUNKERQUE
52	EST
51	ET
55	FA
56	FE
57	FI
58	FO
59	FU
60	GA
61	GE
62	GI
63	GO
64	GU
1_	HA
2_	HE
3_	HI
4_	HO
5_	HU
11_	IL
6_	JA
7_	JE
8_	JO
9_	JU
13_	LA
14_	LE
15_	LI
16_	LO
17_	LU
18_	MA
19_	ME
20_	MI
21_	MO
22_	MU
23_	NA
24_	NE
25_	NI
26	NO
26_	NOS
27_	NU
28_	ON
30_	PA
31_	PE
32_	PI
33_	PO
35_	POUR
34_	PU
37_	QUA
38_	QUE
39_	QUI
40_	QUO
41_	QUU
42_	RA
43_	RE
45_	RI
46_	RO
47_	RU
48_	SA
49_	SE
50_	SI
51_	SO
52_	SU
53_	TA
54_	TE
55_	TI
56_	TO
57_	TU
58_	VA
59_	VE
60_	VI
61_	VO
