line	position	group	confidence
f11_L1	clear	[ceq. nous auva apporte]	medium
f11_L1	1	[connected X+D-like flourish, non-standard]	low
f11_L1	2	23	high
f11_L1	3	11	medium
f11_L1	4	11	medium
f11_L1	5	_16	low
f11_L2	1	_6	medium
f11_L2	2	9	high
f11_L2	3	[looped ascender flourish resembling cursive H/&, non-standard]	low
f11_L2	4	[cursive open hook, like ⊃, non-standard]	low
f11_L2	5	Z	medium
f11_L2	6	[cursive open hook, like ⊃, non-standard]	low
f11_L2	7	34	high
f11_L2	8	_21	medium
f11_L2	9	31	high
f11_L2	10	_7	medium
f11_L2	11	_0	medium
f11_L2	12	_13	medium
f11_L3	1	X	medium
f11_L3	2	tt	medium
f11_L3	3	mm	medium
f11_L3	4	_10	medium
f11_L3	5	X	medium
f11_L3	6	_18	medium
f11_L3	7	[looped ascender flourish resembling cursive H/&, non-standard]	low
f11_L3	8	70	high
f11_L3	9	q	medium
f11_L3	10	61	high
f11_L3	11	m	medium
f11_L3	12	4	high
f11_L4	1	_23	medium
f11_L4	2	11	medium
f11_L4	3	tt	medium
f11_L4	4	_50	medium
f11_L4	5	_21	medium
f11_L4	6	72	high
f11_L4	7	I	medium
f11_L4	8	123	high
f11_L4	9	d	medium
f11_L4	10	mm	medium
f11_L4	11	115	high
f11_L5	1	36	high
f11_L5	2	34	high
f11_L5	3	[cursive open hook, like ⊃, non-standard]	low
f11_L5	4	[looped ascender flourish resembling cursive H/&, non-standard]	low
f11_L5	5	_46	medium
f11_L5	6	23	high
f11_L5	7	_11	medium
f11_L5	8	67	high
f11_L5	9	[cursive open hook, like ⊃, non-standard]	low
f11_L5	10	I	medium
f11_L5	11	[cursive open hook with descender, non-standard]	low
f11_L6	1	45	high
f11_L6	2	46	high
f11_L6	3	66	medium
f11_L6	4	[small flourish attached to 66, non-standard]	low
f11_L6	5	mm	medium
f11_L6	clear	[Mais la mort de M]	medium
f12_L1	clear	[quelles ne l'estoient de son vivant]	medium
f12_L1	1	[cursive open hook, like ⊃, non-standard]	low
f12_L1	2	_0	medium
f12_L1	3	I	medium
f12_L1	4	31	high
f12_L1	5	_6	medium
f12_L2	1	60	high
f12_L2	2	11	medium
f12_L2	3	4	high
f12_L2	4	_23	medium
f12_L2	5	_12	medium
f12_L2	6	_21	medium
f12_L2	7	36	high
f12_L2	8	tt	medium
f12_L2	9	37	high
f12_L2	10	_11	medium
f12_L2	11	4	high
f12_L2	12	_21	medium
f12_L3	1	11	medium
f12_L3	2	21	high
f12_L3	3	tt	medium
f12_L3	4	71	high
f12_L3	5	tt	medium
f12_L3	6	mm	medium
f12_L3	7	_0	medium
f12_L3	8	tt	medium
f12_L3	9	[cursive open hook, like ⊃, non-standard]	low
f12_L3	10	[looped ascender flourish resembling cursive H/&, non-standard]	low
f12_L3	11	_18	medium
f12_L3	12	21	high
f12_L3	13	_21	medium
f12_L4	1	[cursive open hook, like ⊃, non-standard]	low
f12_L4	2	tt	medium
f12_L4	3	_20	medium
f12_L4	4	q	medium
f12_L4	5	62	high
f12_L4	6	[cursive open hook, like ⊃, non-standard]	low
f12_L4	7	_7	medium
f12_L4	8	m	medium
f12_L4	9	tt	medium
f12_L4	10	_4	low
f12_L4	11	X	medium
f12_L4	12	tt	medium
f12_L4	13	_16	medium
f12_L5	1	[looped ascender flourish resembling cursive H/&, non-standard]	low
f12_L5	2	mm	medium
f12_L5	3	_11	medium
f12_L5	4	31	high
f12_L5	5	_28	medium
f12_L5	6	X	medium
f12_L5	7	21	high
f12_L5	8	36	high
f12_L5	9	60	high
f12_L5	10	21	high
f12_L5	11	¨4	medium
f12_L6	1	46	high
f12_L6	2	db	medium
f12_L6	3	mm	medium
f12_L6	clear	[Et tel qui en a le sevre soubz]	low
