folio	line	pos	group	conf	value	grade
f129	L01	1	[PLAIN:en diburez parler a leurs Altesses Royalles]	M	en diburez parler a leurs Altesses Royalles	clear
f129	L01	2	7	H	v	M
f129	L01	3	24	H	0	C
f129	L01	4	7	H	ou	C
f129	L01	6	3	H	d	M
f129	L01	7	21	H	r	C
f129	L02	1	2	M	e	M
f129	L02	2	10	M	z	M
f129	L02	3	_76	M	bien	M
f129	L02	4	_6	H	qu	C
f129	L02	5	56	M	eje	M
f129	L02	6	_28	H	v	C
f129	L02	7	7	H	ou	C
f129	L02	8	20	H	s	C
f129	L02	9	37	M	di	M
f129	L02	10	2	H	e	C
f129	L02	11	_8	H	qu	C
f129	L02	12	18	H	on	C
f129	L02	13	_4	H	pu	C
f129	L02	14	5	M	b	M
f129	L02	15	62	H	i	C
f129	L02	16	2	H	e	C
f129	L02	17	36	M	de	M
f129	L02	18	20	H	s	C
f129	L02	19	73	H	n	C
f129	L02	20	7	H	ou	C
f129	L03	1	_26	H	ve	C
f129	L03	2	16	H	l	C
f129	L03	3	61	H	l	M
f129	L03	4	20	H	s	C
f129	L03	5	36	M	de	M
f129	L03	6	_24	H	tur	C
f129	L03	7	_12	H	i	C
f129	L03	8	18	H	n	C
f129	L03	9	36	M	de	M
f129	L03	10	60	H	la	C
f129	L03	11	_26	H	ve	C
f129	L03	12	_12	H	i	C
f129	L03	13	_21	H	te	C
f129	L03	14	36	M	de	M
f129	L03	16	20	H	s	C
f129	L03	17	_6	H	qu	C
f129	L03	18	16	H	el	C
f129	L03	19	61	H	le	C
f129	L03	20	20	H	s	C
f129	L04	1	15	H	i	C
f129	L04	2	16	H	l	C
f129	L04	3	15	H	i	C
f129	L04	4	17	H	m	C
f129	L04	5	_7	H	po	M
f129	L04	6	21	H	r	C
f129	L04	7	_21	H	te	C
f129	L04	8	_13	H	r	C
f129	L04	9	15	H	oi	C
f129	L04	10	19	H	t	C
f129	L04	11	43	H	fo	C
f129	L04	12	21	H	r	C
f129	L04	13	19	H	t	C
f129	L04	14	36	M	de	M
f129	L04	15	20	H	s	C
f129	L04	16	19	H	t	C
f129	L04	17	_11	H	re	C
f129	L04	18	2	H	e	C
f129	L04	19	20	H	s	C
f129	L04	20	4	H	c	C
f129	L04	21	60	H	la	C
f129	L05	1	15	H	i	C
f129	L05	2	20	H	r	M
f129	L05	3	4	H	c	C
f129	L05	4	9	H	y	C
f129	L05	5	20	H	s	C
f129	L05	6	70	H	a	C
f129	L05	7	_28	H	v	C
f129	L05	8	15	H	oi	C
f129	L05	9	21	H	r	C
f129	L05	10	_6	H	qu	C
f129	L05	11	60	H	la	C
f129	L05	12	1	H	ff	C
f129	L05	13	41	H	e	C
f129	L05	14	4	H	c	C
f129	L05	15	_22	H	t	C
f129	L05	16	24	H	i	C
f129	L05	17	18	H	on	C
f129	L05	18	39	H	du	C
f129	L05	19	42	H	fi	C
f129	L05	20	16	H	l	C
f129	L05	21	10	H	s	C
f129	L06	1	6	H	a	M
f129	L06	2	61	H	le	C
f129	L06	3	18	H	n	C
f129	L06	4	3	M	d	M
f129	L06	5	_17	H	r	M
f129	L06	6	15	H	oi	C
f129	L06	7	19	H	t	C
f129	L06	8	36	M	de	M
f129	L06	9	60	H	la	C
f129	L06	10	66	H	me	C
f129	L06	11	_11	H	re	C
f129	L06	12	18	H	n	C
f129	L06	13	2	H	e	C
f129	L06	14	20	H	s	C
f129	L06	15	19	H	t	C
f129	L06	16	23	H	p	C
f129	L06	17	64	H	lu	C
f129	L06	18	20	H	s	C
f129	L06	19	_17	H	si	C
f129	L06	20	13	H	gr	M
f129	L06	21	_10	H	a	M
f129	L07	1	18	H	n	C
f129	L07	2	36	M	de	M
f129	L07	3	_5	M	qua	M
f129	L07	4	7	H	u	C
f129	L07	5	_0	M	pa	M
f129	L07	6	20	H	s	C
f129	L07	7	_16	H	se	C
f129	L07	9	2	H	e	C
f129	L07	10	19	H	t	C
f129	L07	11	_6	M	qu	M
f129	L07	12	115	M	M.	M
f129	L07	13	_16	M	se	M
f129	L07	14	_13	H	r	C
f129	L07	15	15	H	oi	C
f129	L07	16	19	H	t	C
f129	L07	17	2	H	e	C
f129	L07	18	18	H	n	C
f129	L07	19	154	M	quelque	M
f129	L07	20	_1	H	pe	C
f129	L07	21	18	H	n	C
f129	L07	22	_16	M	se	M
f129	L07	23	2	H	e	C
f129	L08	1	36	M	de	M
f129	L08	2	_16	M	se	M
f129	L08	3	_11	H	re	C
f129	L08	4	_22	H	ti	C
f129	L08	5	_11	H	re	C
f129	L08	6	21	H	r	C
f129	L08	7	39	M	du	M
f129	L08	8	65	H	ma	M
f129	L08	9	72	H	ni	C
f129	L08	10	2	H	e	C
f129	L08	11	66	H	me	C
f129	L08	12	18	H	n	C
f129	L08	13	19	H	t	C
f129	L08	14	36	M	de	M
f129	L08	15	20	H	s	C
f129	L08	16	61	M	af	M
f129	L08	17	40	H	fa	C
f129	L08	18	15	H	i	C
f129	L08	19	_11	H	re	C
f129	L08	20	20	H	s	C
f129	L09	1	[PLAIN:parceque Sil pouvoit estre]	M	parceque Sil pouvoit estre	clear
f129	L09	2	4	H	c	C
f129	L09	3	_10	H	ra	M
f129	L09	4	15	H	i	C
f129	L09	5	18	H	n	C
f129	L09	6	19	H	t	C
f129	L09	7	_7	H	q	C
f129	L09	8	16	H	uil	C
f129	L09	9	6	H	ar	M
